sea;region;area;year;tidal_level;samples;square;B_mean.g;SEM_B;mareography
White;Chupa;Klushiha;2006;middle;10;20;1,1;0,27;middle
White;Chupa;Suhaya;2006;middle;10;10;6,2;1,17;middle
White;Chupa;Lisya;2006;middle;10;20;1,9;0,76;middle
White;Chupa;Podpahta;2006;middle;10;20;1,9;1,21;middle
White;Luvenga;razrez2;1992;high_beatch;7;30;12,4;3,73;high
White;Luvenga;razrez2;1992;fucus_zone;5;30;23,9;10,73;middle
White;Luvenga;razrez2;1992;zostera_zone;5;30;22,5;10,95;low
White;Luvenga;razrez2;1992;low_beatch;3;30;52;34,64;hydrographical_datum
White;Luvenga;razrez2;1993;high_beatch;4;30;11,5;4,56;high
White;Luvenga;razrez2;1993;fucus_zone;5;30;25,6;11,27;middle
White;Luvenga;razrez2;1993;zostera_zone;6;30;73,7;12,88;low
White;Luvenga;razrez2;1993;low_beatch;5;30;50,5;15,95;hydrographical_datum
White;Luvenga;razrez2;1994;high_beatch;5;30;24,6;2,06;high
White;Luvenga;razrez2;1994;fucus_zone;6;30;66,9;16,81;middle
White;Luvenga;razrez2;1994;zostera_zone;6;30;108,9;24,64;low
White;Luvenga;razrez2;1994;low_beatch;3;30;121,1;2,89;hydrographical_datum
White;Luvenga;razrez2;1995;high_beatch;4;30;68,8;9,2;high
White;Luvenga;razrez2;1995;fucus_zone;5;30;83;19,32;middle
White;Luvenga;razrez2;1995;zostera_zone;5;30;61,5;9,75;low
White;Luvenga;razrez2;1995;low_beatch;6;30;113,7;4,21;hydrographical_datum
White;Luvenga;razrez2;1996;high_beatch;4;30;62,2;20,58;high
White;Luvenga;razrez2;1996;fucus_zone;6;30;94,2;23,14;middle
White;Luvenga;razrez2;1996;zostera_zone;4;30;65,2;8,55;low
White;Luvenga;razrez2;1996;low_beatch;6;30;153;19,42;hydrographical_datum
White;Luvenga;razrez2;1997;high_beatch;3;30;74,2;32,49;high
White;Luvenga;razrez2;1997;fucus_zone;6;30;88,4;22,91;middle
White;Luvenga;razrez2;1997;zostera_zone;5;30;96,7;18,36;low
White;Luvenga;razrez2;1997;low_beatch;6;30;160,6;21,58;hydrographical_datum
White;Luvenga;razrez2;1998;high_beatch;4;30;25,6;8,52;high
White;Luvenga;razrez2;1998;fucus_zone;6;30;93;27,49;middle
White;Luvenga;razrez2;1998;zostera_zone;5;30;136,8;22,56;low
White;Luvenga;razrez2;1998;low_beatch;5;30;174,8;17,02;hydrographical_datum
White;Luvenga;razrez2;1999;high_beatch;3;30;14,5;11,84;high
White;Luvenga;razrez2;1999;fucus_zone;6;30;88,8;29,72;middle
White;Luvenga;razrez2;1999;zostera_zone;6;30;95,7;12,27;low
White;Luvenga;razrez2;1999;low_beatch;5;30;140,1;19,6;hydrographical_datum
White;Luvenga;razrez2;2000;high_beatch;2;30;71,3;6,22;high
White;Luvenga;razrez2;2000;fucus_zone;4;30;91,8;20,69;middle
White;Luvenga;razrez2;2000;zostera_zone;5;30;117,7;11,3;low
White;Luvenga;razrez2;2000;low_beatch;4;30;133,6;30,76;hydrographical_datum
White;Luvenga;razrez2;2002;high_beatch;3;30;63,3;12,48;high
White;Luvenga;razrez2;2002;fucus_zone;3;30;150;36,88;middle
White;Luvenga;razrez2;2002;zostera_zone;4;30;140,2;43,61;low
White;Luvenga;razrez2;2002;low_beatch;2;30;76,7;27,47;hydrographical_datum
White;Luvenga;razrez2;2004;high_beatch;3;30;62,5;26,54;high
White;Luvenga;razrez2;2004;fucus_zone;4;30;151,9;23,16;middle
White;Luvenga;razrez2;2004;zostera_zone;5;30;117;10,28;low
White;Luvenga;Goreliy;1992;high;7;30;11,8;2,64;high
White;Luvenga;Goreliy;1992;middle;5;30;9,3;1,1;middle
White;Luvenga;Goreliy;1992;low;2;30;3,2;2,42;low
White;Luvenga;Goreliy;1992;hydrographical_datum;3;30;1,3;0,58;hydrographical_datum
White;Luvenga;Goreliy;1993;high;3;30;7,8;3,59;high
White;Luvenga;Goreliy;1993;middle;3;30;25,8;5,33;middle
White;Luvenga;Goreliy;1993;low;4;30;10,9;2,65;low
White;Luvenga;Goreliy;1993;hydrographical_datum;3;30;9,8;5,04;hydrographical_datum
White;Luvenga;Goreliy;2004;high;3;30;70,4;11,71;high
White;Luvenga;Goreliy;2004;middle;3;30;91,3;8;middle
White;Luvenga;Goreliy;2004;low;3;30;85,5;3,09;low
White;Luvenga;Goreliy;2004;hydrographical_datum;3;30;177,9;16,77;hydrographical_datum
White;Luvenga;Goreliy;2006;high;3;30;86,7;23,82;high
White;Luvenga;Goreliy;2006;middle;3;30;74;16,22;middle
White;Luvenga;Goreliy;2006;low;3;30;66,2;9,79;low
White;Luvenga;Goreliy;2006;hydrographical_datum;3;30;88,2;18,32;hydrographical_datum
White;Luvenga;Goreliy;2007;high;3;30;61;6,55;high
White;Luvenga;Goreliy;2007;middle;3;30;50,1;3,74;middle
White;Luvenga;Goreliy;2007;low;3;30;45,9;16,56;low
White;Luvenga;Goreliy;2007;hydrographical_datum;3;30;85,9;4,57;hydrographical_datum
White;Luvenga;Goreliy;2008;high;3;30;50,2;6,27;high
White;Luvenga;Goreliy;2008;middle;3;30;50,9;2,57;middle
White;Luvenga;Goreliy;2008;low;3;30;45,6;15,77;low
White;Luvenga;Goreliy;2008;hydrographical_datum;3;30;81,3;44,67;hydrographical_datum
White;Luvenga;Goreliy;2011;high;3;30;23,9;10,41;high
White;Luvenga;Goreliy;2011;middle;3;30;54,6;21,7;middle
White;Luvenga;Goreliy;2011;low;3;30;77,2;16,54;low
White;Luvenga;Goreliy;2011;hydrographical_datum;3;30;69,5;9,22;hydrographical_datum
White;Luvenga;Estuary;1992;low;6;30;13,7;3,33;low
White;Luvenga;Estuary;1993;low;6;30;12,2;2,98;low
White;Luvenga;Estuary;1994;low;3;10;73,7;13,23;low
White;Luvenga;Estuary;1995;low;3;10;47,7;7,62;low
White;Luvenga;Estuary;1996;low;3;10;45,1;5,1;low
White;Luvenga;Estuary;1997;low;3;10;38,1;8,15;low
White;Luvenga;Estuary;1998;low;3;10;54,6;5,5;low
White;Luvenga;Estuary;1999;low;3;10;18,2;3,38;low
White;Luvenga;Estuary;2000;low;3;10;54,1;4,83;low
White;Luvenga;Estuary;2001;low;3;10;109;8,74;low
White;Luvenga;Estuary;2002;low;3;10;90,6;11,61;low
White;Luvenga;Estuary;2003;low;3;10;120,5;11,27;low
White;Luvenga;Estuary;2004;low;3;10;141,4;7,73;low
White;Luvenga;Estuary;2005;low;3;10;90,3;5,88;low
White;Luvenga;Estuary;2006;low;3;10;86,4;6,71;low
White;Luvenga;Estuary;2007;low;9;30;111;13,18;low
White;Luvenga;Estuary;2008;low;3;10;113,8;14,63;low
White;Luvenga;Estuary;2009;low;3;10;95,1;26,69;low
White;Luvenga;Estuary;2010;low;3;10;125,1;2,97;low
White;Luvenga;Estuary;2011;low;9;30;159,5;8,5;low
White;Luvenga;Estuary;2012;low;3;10;111;9,2;low
White;North_archipelago;ZRS;1994;middle;2;10;58,3;5,38;middle
White;North_archipelago;ZRS;1995;middle;2;10;74,1;6,42;middle
White;North_archipelago;ZRS;1996;middle;2;10;45,7;14,62;middle
White;North_archipelago;ZRS;1997;middle;2;10;37,1;15,07;middle
White;North_archipelago;ZRS;1998;middle;2;10;101,7;13,83;middle
White;North_archipelago;ZRS;1999;middle;2;10;134,4;59,88;middle
White;North_archipelago;ZRS;2000;middle;2;10;58,8;28,01;middle
White;North_archipelago;ZRS;2001;middle;2;10;130,5;29,17;middle
White;North_archipelago;ZRS;2002;middle;2;10;165,6;24,94;middle
White;North_archipelago;ZRS;2003;middle;2;10;139,2;25,66;middle
White;North_archipelago;ZRS;2004;middle;2;10;133;16,36;middle
White;North_archipelago;ZRS;2005;middle;2;10;137,4;2,63;middle
White;North_archipelago;ZRS;2006;middle;2;10;75,1;16,79;middle
White;North_archipelago;ZRS;2007;middle;2;10;122,7;12;middle
White;North_archipelago;ZRS;2008;middle;2;10;122,5;53,38;middle
White;North_archipelago;ZRS;2009;middle;2;10;110,5;13,99;middle
White;North_archipelago;ZRS;2010;middle;2;10;154,5;30,87;middle
White;North_archipelago;ZRS;2011;middle;2;10;136,5;55,75;middle
White;North_archipelago;ZRS;2012;middle;2;10;88,8;28,64;middle
White;North_archipelago;YuG;2001;hydrographical_datum;9;30;33;7,53;hydrographical_datum
White;North_archipelago;YuG;2002;hydrographical_datum;16;30;37;10,8;hydrographical_datum
White;North_archipelago;YuG;2003;hydrographical_datum;15;30;26,7;9,1;hydrographical_datum
White;North_archipelago;YuG;2004;hydrographical_datum;13;30;9,4;2,35;hydrographical_datum
White;North_archipelago;YuG;2005;hydrographical_datum;15;30;7,3;1,38;hydrographical_datum
White;North_archipelago;YuG;2006;hydrographical_datum;12;30;5,6;1,32;hydrographical_datum
White;North_archipelago;YuG;2007;hydrographical_datum;15;30;11,3;2,49;hydrographical_datum
White;North_archipelago;YuG;2008;hydrographical_datum;10;30;20,8;3,77;hydrographical_datum
White;North_archipelago;YuG;2009;hydrographical_datum;15;30;42,7;10,79;hydrographical_datum
White;North_archipelago;YuG;2010;hydrographical_datum;15;30;30,4;5,42;hydrographical_datum
White;North_archipelago;YuG;2011;hydrographical_datum;15;30;19,1;10,56;hydrographical_datum
White;North_archipelago;YuG;2012;hydrographical_datum;15;30;1,9;1,36;hydrographical_datum
White;North_archipelago;Lomnishniy;2007;hydrographical_datum;10;30;7,8;4,08;hydrographical_datum
White;North_archipelago;Lomnishniy;2008;hydrographical_datum;5;30;29,5;8,71;hydrographical_datum
White;North_archipelago;Lomnishniy;2009;hydrographical_datum;10;30;41,3;13,29;hydrographical_datum
White;North_archipelago;Lomnishniy;2010;hydrographical_datum;10;30;49,2;13,93;hydrographical_datum
White;North_archipelago;Lomnishniy;2011;hydrographical_datum;10;30;13,8;7,78;hydrographical_datum
White;North_archipelago;Lomnishniy;2012;hydrographical_datum;10;30;8,7;5,39;hydrographical_datum
Barents;Kola_bay;Abram;2008;middle;5;20;123,1;41,12;middle
Barents;Kola_bay;Abram;2008;low;5;20;216,5;54,99;low
Barents;Kola_bay;Pala;2007;middle;16;30;35,8;4,02;middle
Barents;Kola_bay;Pala;2007_осень;low;36;30;172;13,02;low
Barents;Kola_bay;Pala;2008_зима;middle;11;20;77,3;13,09;middle
Barents;Kola_bay;Pala;2008;low;10;30;193,2;29,14;low
Barents;East_Murman;Gavrilovo;2008;middle;5;30;119,9;33,26;middle
Barents;East_Murman;Gavrilovo;2008;low;5;30;13,02;6,89;low
Barents;East_Murman;Yarnyshnaya;2007;middle;36;30;24,5;5,62;middle
Barents;East_Murman;Yarnyshnaya;2008;high;5;30;116,9;20,92;high
Barents;East_Murman;Yarnyshnaya;2008;low;5;30;41,1;21,99;low
Barents;East_Murman;DZ;2007;middle;33;30;34,4;5,57;middle
Barents;East_Murman;DZ;2008;low;5;30;43;4,93;low
Barents;East_Murman;Shelpino;2008;high;5;30;14,6;8,02;high
Barents;East_Murman;Shelpino;2008;middle;5;30;23,5;10,15;middle
Barents;East_Murman;Porchnikha;2007;middle;32;30;26,8;5,57;middle
Barents;East_Murman;Ivanovskaya;2008;subtidal;5;20;75,2;1,94;subtidal
