"area";"Bmin";"Bmax";"Bmean"
"1";"Suhaya";6,2;6,2;6,2
"2";"Klushiha";1,1;1,1;1,1
"3";"Podpahta";1,9;1,9;1,9
"4";"Lisya";1,9;1,9;1,9
"5";"YuG";1,9;42,7;20,43
"6";"ZRS";37,1;165,6;106,7
"7";"Lomnishniy";7,8;49,2;25,05
"8";"Goreliy";1,3;177,9;54,15
"9";"Estuary";12,2;159,5;81,48
"10";"razrez2";11,5;174,8;85,13
"11";"Abram";123,1;216,5;169,8
"12";"Pala";35,8;193,2;119,6
"13";"Gavrilovo";13,02;119,9;66,46
"14";"Yarnyshnaya";24,5;116,9;60,83
"15";"DZ";34,4;43;38,7
"16";"Shelpino";14,6;23,5;19,05
"17";"Porchnikha";26,8;26,8;26,8
"18";"Ivanovskaya";75,2;75,2;75,2
