sea;region;area;year;tidal_level;n.samples;square;N.indd;SEM.N;D.N;mareography
White;North_archipelago;YuG;2001;hydrographic_datum;9;30;1257;174,8;14;hydrographic_datum
White;North_archipelago;YuG;2002;hydrographic_datum;16;30;1196;212,5;18;hydrographic_datum
White;North_archipelago;YuG;2003;hydrographic_datum;15;30;1758;333,3;19;hydrographic_datum
White;North_archipelago;YuG;2004;hydrographic_datum;13;30;1913;576;30;hydrographic_datum
White;North_archipelago;YuG;2005;hydrographic_datum;15;30;860;178;21;hydrographic_datum
White;North_archipelago;YuG;2006;hydrographic_datum;12;30;843;203,9;24;hydrographic_datum
White;North_archipelago;YuG;2007;hydrographic_datum;15;30;1412;387,8;27;hydrographic_datum
White;North_archipelago;YuG;2008;hydrographic_datum;10;30;1434;333,4;23;hydrographic_datum
White;North_archipelago;YuG;2009;hydrographic_datum;15;30;1122;198,5;18;hydrographic_datum
White;North_archipelago;YuG;2010;hydrographic_datum;15;30;682;106,5;16;hydrographic_datum
White;North_archipelago;YuG;2011;hydrographic_datum;15;30;364;151,5;42;hydrographic_datum
White;North_archipelago;YuG;2012;hydrographic_datum;15;30;142;39,1;28;hydrographic_datum
White;North_archipelago;Lomnishniy;2007;hydrographic_datum;10;30;501;88,7;18;hydrographic_datum
White;North_archipelago;Lomnishniy;2008;hydrographic_datum;5;30;1530;295;19;hydrographic_datum
White;North_archipelago;Lomnishniy;2009;hydrographic_datum;10;30;813;241,1;30;hydrographic_datum
White;North_archipelago;Lomnishniy;2010;hydrographic_datum;10;30;540;168,1;31;hydrographic_datum
White;North_archipelago;Lomnishniy;2011;hydrographic_datum;10;30;378;118,4;31;hydrographic_datum
White;North_archipelago;Lomnishniy;2012;hydrographic_datum;10;30;513;90,9;18;hydrographic_datum
White;North_archipelago;ZRS;1994;middle;2;10;450;100;22;middle
White;North_archipelago;ZRS;1995;middle;2;10;490;10;2;middle
White;North_archipelago;ZRS;1996;middle;2;10;260;130;50;middle
White;North_archipelago;ZRS;1997;middle;2;10;220;90;41;middle
White;North_archipelago;ZRS;1998;middle;2;10;755;185;25;middle
White;North_archipelago;ZRS;1999;middle;2;10;8530;800;9;middle
White;North_archipelago;ZRS;2000;middle;2;10;2910;440;15;middle
White;North_archipelago;ZRS;2001;middle;2;10;2515;295;12;middle
White;North_archipelago;ZRS;2002;middle;2;10;2690;570;21;middle
White;North_archipelago;ZRS;2003;middle;2;10;1930;300;16;middle
White;North_archipelago;ZRS;2004;middle;2;10;2355;55;2;middle
White;North_archipelago;ZRS;2005;middle;2;10;1825;115;6;middle
White;North_archipelago;ZRS;2006;middle;2;10;795;165;21;middle
White;North_archipelago;ZRS;2007;middle;2;10;1055;185;18;middle
White;North_archipelago;ZRS;2008;middle;2;10;1840;460;25;middle
White;North_archipelago;ZRS;2009;middle;2;10;1745;65;4;middle
White;North_archipelago;ZRS;2010;middle;2;10;1680;460;27;middle
White;North_archipelago;ZRS;2011;middle;2;10;1455;535;37;middle
White;North_archipelago;ZRS;2012;middle;2;10;910;340;37;middle
White;Luvenga;Estuary;1992;low;6;30;55;14,8;27;low
White;Luvenga;Estuary;1993;low;6;30;202;31,3;16;low
White;Luvenga;Estuary;1994;low;3;10;777;129,9;17;low
White;Luvenga;Estuary;1995;low;3;10;473;44,8;9;low
White;Luvenga;Estuary;1996;low;3;10;337;29,1;9;low
White;Luvenga;Estuary;1997;low;3;10;213;14,5;7;low
White;Luvenga;Estuary;1998;low;3;10;750;15,3;2;low
White;Luvenga;Estuary;1999;low;3;10;2073;633,3;31;low
White;Luvenga;Estuary;2000;low;3;10;1913;86,5;5;low
White;Luvenga;Estuary;2001;low;3;10;2607;139,6;5;low
White;Luvenga;Estuary;2002;low;3;10;1917;209;11;low
White;Luvenga;Estuary;2003;low;3;10;2220;235,4;11;low
White;Luvenga;Estuary;2004;low;3;10;3330;315;9;low
White;Luvenga;Estuary;2005;low;3;10;1623;161,8;10;low
White;Luvenga;Estuary;2006;low;3;10;993;131,3;13;low
White;Luvenga;Estuary;2007;low;9;30;2547;341,8;13;low
White;Luvenga;Estuary;2008;low;3;10;1683;343,5;20;low
White;Luvenga;Estuary;2009;low;3;10;1860;146,4;8;low
White;Luvenga;Estuary;2010;low;3;10;2057;231,5;11;low
White;Luvenga;Estuary;2011;low;9;30;1637;60,2;4;low
White;Luvenga;Estuary;2012;low;3;10;1170;23,1;2;low
White;Luvenga;razrez2;1992;high_beatch;7;30;94;35,5;38;high
White;Luvenga;razrez2;1993;high_beatch;4;30;413;127,5;31;high
White;Luvenga;razrez2;1994;high_beatch;5;30;462;179,1;39;high
White;Luvenga;razrez2;1995;high_beatch;4;30;908;222,3;24;high
White;Luvenga;razrez2;1996;high_beatch;4;30;698;257;37;high
White;Luvenga;razrez2;1997;high_beatch;3;30;620;130;21;high
White;Luvenga;razrez2;1998;high_beatch;4;30;2130;623,9;29;high
White;Luvenga;razrez2;1999;high_beatch;3;30;7240;5833,7;81;high
White;Luvenga;razrez2;2000;high_beatch;2;30;2640;870;33;high
White;Luvenga;razrez2;2002;high_beatch;3;30;1360;401,5;30;high
White;Luvenga;razrez2;2004;high_beatch;3;30;2800;1066,6;38;high
White;Luvenga;razrez2;1992;fucus_zone;5;30;114;55,6;49;middle
White;Luvenga;razrez2;1993;fucus_zone;5;30;336;120,9;36;middle
White;Luvenga;razrez2;1994;fucus_zone;6;30;745;220,6;30;middle
White;Luvenga;razrez2;1995;fucus_zone;5;30;1134;269,7;24;middle
White;Luvenga;razrez2;1996;fucus_zone;6;30;770;214,9;28;middle
White;Luvenga;razrez2;1997;fucus_zone;6;30;720;265,6;37;middle
White;Luvenga;razrez2;1998;fucus_zone;6;30;2750;820;30;middle
White;Luvenga;razrez2;1999;fucus_zone;6;30;3895;1354,6;35;middle
White;Luvenga;razrez2;2000;fucus_zone;4;30;2760;373,1;14;middle
