"area";"Nmin";"Nmax";"Nmean"
"1";"Suhaya";992;1165;1096
"2";"Klyushiha";362;1136;647,3
"3";"Podpahta";372;688;530
"4";"Lisya";1006;2832;1728
"5";"YuG";142;1913;1082
"6";"ZRS";220;8530;1811
"7";"Lomnishniy";378;1530;712,5
"8";"Goreliy";13;2740;1079
"9";"Estuary";55;3330;1449
"10";"razrez2";94;7240;1504
"11";"Ura";1267;1267;1267
"12";"Pechenga";767;767;767
"13";"Abram";540;3350;1898
"14";"Nagornoe";390;390;390
"15";"Retinskoe";660;660;660
"16";"Pala";790;1644;1058
"17";"Gavrilovo";24;138;81
"18";"Yarnyshnaya";70;414;281,3
"19";"DZ";30;72;44,78
"20";"Shelpino";36;54;45
"21";"Porchnikha";60;87;73,5
"22";"Ivanovskaya";1208;1208;1208
