year;tidal_level;sample;Length.mm;age
2008;middle;MA10;1,6;1
2008;middle;MA10;2,5;2
2008;middle;MA6;4,5;3
2008;middle;MA8;5,4;4
2008;middle;MA10;5,3;4
2008;middle;MA6;8,5;4
2008;middle;MA8;5,5;4
2008;middle;MA7;5,3;4
2008;middle;MA8;5,3;5
2008;middle;MA6;6,2;5
2008;middle;MA6;7,5;5
2008;middle;MA8;5,5;5
2008;middle;MA8;8,0;5
2008;middle;MA8;7,8;5
2008;middle;MA10;6,2;5
2008;middle;MA6;7,5;5
2008;middle;MA6;8,1;5
2008;middle;MA6;8,4;5
2008;middle;MA6;7,2;6
2008;middle;MA6;8,0;6
2008;middle;MA8;6,6;6
2008;middle;MA8;7,0;6
2008;middle;MA10;6,6;6
2008;middle;MA6;9,0;6
2008;middle;MA8;7,2;6
2008;middle;MA8;9,3;7
2008;middle;MA10;8,1;7
2008;middle;MA10;8,7;7
2008;middle;MA10;7,5;7
2008;middle;MA10;9,0;7
2008;middle;MA10;7,1;7
2008;middle;MA6;9,4;7
2008;middle;MA6;9,7;7
2008;middle;MA6;9,4;7
2008;middle;MA6;11,4;7
2008;middle;MA8;9,1;7
2008;middle;MA10;8,4;7
2008;middle;MA10;10,4;7
2008;middle;MA6;8,5;7
2008;middle;MA6;8,9;7
2008;middle;MA10;10,6;8
2008;middle;MA10;9,4;8
2008;middle;MA10;8,8;8
2008;middle;MA10;10,2;8
2008;middle;MA10;9,7;8
2008;middle;MA10;10,4;8
2008;middle;MA10;9,6;8
2008;middle;MA10;9,5;8
2008;middle;MA10;9,3;8
2008;middle;MA10;10,8;8
2008;middle;MA10;11,8;8
2008;middle;MA10;8,5;8
2008;middle;MA10;10,0;8
2008;middle;MA6;10,5;8
2008;middle;MA6;10,4;8
2008;middle;MA6;11,5;8
2008;middle;MA8;7,9;8
2008;middle;MA8;9,3;8
2008;middle;MA9;8,9;8
2008;middle;MA8;9,6;9
2008;middle;MA10;10,0;9
2008;middle;MA10;10,5;9
2008;middle;MA10;10,5;9
2008;middle;MA10;12,7;9
2008;middle;MA8;11,3;9
2008;middle;MA10;10,0;9
2008;middle;MA10;9,5;9
2008;middle;MA10;10,5;9
2008;middle;MA10;12,2;9
2008;middle;MA10;12,3;9
2008;middle;MA6;10,0;9
2008;middle;MA6;13,6;9
2008;middle;MA6;11,5;9
2008;middle;MA6;11,2;9
2008;middle;MA8;11,1;10
2008;middle;MA10;11,1;10
2008;middle;MA10;10,2;10
2008;middle;MA10;12,0;10
2008;middle;MA10;11,2;10
2008;middle;MA10;12,8;10
2008;middle;MA10;12,0;10
2008;middle;MA10;10,0;10
2008;middle;MA10;10,5;10
2008;middle;MA10;12,0;10
2008;middle;MA10;11,8;10
2008;middle;MA6;13,6;10
2008;middle;MA6;12,5;10
2008;middle;MA6;12,7;10
2008;middle;MA6;12,7;10
2008;middle;MA6;13,5;10
2008;middle;MA6;11,2;10
2008;middle;MA6;13,6;10
2008;middle;MA7;13,1;10
2008;middle;MA8;10,2;10
2008;middle;MA8;12,7;10
2008;middle;MA8;12,1;10
2008;middle;MA8;11,2;10
2008;middle;MA9;11,1;10
2008;middle;MA9;10,7;10
2008;middle;MA10;14,5;11
2008;middle;MA10;12,7;11
2008;middle;MA10;12,5;11
2008;middle;MA10;12,7;11
2008;middle;MA10;12,4;11
2008;middle;MA10;11,8;11
2008;middle;MA6;13,2;11
2008;middle;MA8;11,1;11
2008;middle;MA8;12,8;11
2008;middle;MA8;15,5;13
2008;middle;MA8;14,5;13
2008;middle;MA9;15,2;13
2008;middle;MA10;7,1;NA
2008;middle;MA10;8,5;NA
2008;middle;MA10;7,8;NA
2008;middle;MA10;11,0;NA
2008;middle;MA10;14,9;NA
2008;middle;MA6;15,6;NA
2008;middle;MA6;12,9;NA
2008;middle;MA6;11,0;NA
2008;middle;MA6;12,1;NA
2008;middle;MA6;13,8;NA
2008;middle;MA6;12,4;NA
2008;middle;MA6;13,0;NA
2008;middle;MA6;13,1;NA
2008;middle;MA6;14,5;NA
2008;middle;MA6;13,8;NA
2008;middle;MA6;13,4;NA
2008;middle;MA7;14,7;NA
2008;middle;MA8;14,7;NA
2008;middle;MA8;11,7;NA
2008;middle;MA8;11,7;NA
2008;middle;MA8;13,6;NA
2008;middle;MA8;14,5;NA
2008;middle;MA8;14,2;NA
2008;middle;MA8;15,0;NA
2008;middle;MA9;10,0;NA
2008;middle;MA9;11,0;NA
2008;middle;MA9;10,4;NA
2008;low;MA1;1,5;1
2008;low;MA1;1,7;1
2008;low;MA1;2,0;1
2008;low;MA1;1,6;1
2008;low;MA1;2,2;1
2008;low;MA1;2,1;1
2008;low;MA1;2,0;1
2008;low;MA1;1,8;1
2008;low;MA1;2,3;1
2008;low;MA1;2,1;1
2008;low;MA1;2,0;1
2008;low;MA1;2,0;1
2008;low;MA1;2,1;1
2008;low;MA1;1,5;1
2008;low;MA1;1,7;1
2008;low;MA1;1,5;1
2008;low;MA1;2,0;1
2008;low;MA1;1,6;1
2008;low;MA1;1,8;1
2008;low;MA1;2,5;1
2008;low;MA1;2,2;1
2008;low;MA1;NA;1
2008;low;MA1;2,1;1
2008;low;MA1;2,1;1
2008;low;MA1;1,7;1
2008;low;MA1;1,7;1
2008;low;MA1;1,6;1
2008;low;MA1;2,5;1
2008;low;MA1;2,3;1
2008;low;MA1;NA;1
2008;low;MA1;2,0;1
2008;low;MA1;NA;1
2008;low;MA1;NA;1
2008;low;MA3;1,7;1
2008;low;MA3;1,9;1
2008;low;MA3;1,5;1
2008;low;MA3;1,7;1
2008;low;MA3;2,2;1
2008;low;MA3;1,8;1
2008;low;MA3;1,8;1
2008;low;MA3;NA;1
2008;low;MA3;2,1;1
2008;low;MA3;1,8;1
2008;low;MA3;1,3;1
2008;low;MA3;1,8;1
2008;low;MA3;1,5;1
2008;low;MA3;1,7;1
2008;low;MA3;2,1;1
2008;low;MA3;1,7;1
2008;low;MA3;1,7;1
2008;low;MA3;2,1;1
2008;low;MA3;2,3;1
2008;low;MA3;2,1;1
2008;low;MA3;NA;1
2008;low;MA3;2,1;1
2008;low;MA3;NA;1
2008;low;MA2;2,1;1
2008;low;MA2;2,0;1
2008;low;MA2;2,4;1
2008;low;MA2;2,2;1
2008;low;MA2;2,0;1
2008;low;MA2;2,3;1
2008;low;MA2;2,1;1
2008;low;MA2;2,5;1
2008;low;MA2;1,8;1
2008;low;MA2;NA;1
2008;low;MA2;2,4;1
2008;low;MA2;2,4;1
2008;low;MA2;1,8;1
2008;low;MA4;2,2;1
2008;low;MA4;1,7;1
2008;low;MA4;2,0;1
2008;low;MA4;2,5;1
2008;low;MA4;2,2;1
2008;low;MA4;1,7;1
2008;low;MA4;2,1;1
2008;low;MA4;NA;1
2008;low;MA4;NA;1
2008;low;MA4;1,9;1
2008;low;MA4;2,2;1
2008;low;MA4;2,1;1
2008;low;MA4;2,2;1
2008;low;MA4;NA;1
2008;low;MA4;1,7;1
2008;low;MA4;1,9;1
2008;low;MA4;2,1;1
2008;low;MA4;NA;1
2008;low;MA4;1,9;1
2008;low;MA4;2,1;1
2008;low;MA4;1,5;1
2008;low;MA5;1,7;1
2008;low;MA5;1,7;1
2008;low;MA5;2,1;1
2008;low;MA5;1,5;1
2008;low;MA5;1,4;1
2008;low;MA5;1,9;1
2008;low;MA5;1,9;1
2008;low;MA5;2,0;1
2008;low;MA5;2,0;1
2008;low;MA5;1,8;1
2008;low;MA5;1,9;1
2008;low;MA5;1,8;1
2008;low;MA5;1,5;1
2008;low;MA5;2,4;1
2008;low;MA5;2,1;1
2008;low;MA5;1,6;1
2008;low;MA5;2,0;1
2008;low;MA5;1,5;1
2008;low;MA1;3,4;2
2008;low;MA3;2,6;2
2008;low;MA3;2,6;2
2008;low;MA3;2,4;2
2008;low;MA3;2,3;2
2008;low;MA3;2,5;2
2008;low;MA3;3,1;2
2008;low;MA3;3,5;2
2008;low;MA3;3,1;2
2008;low;MA3;3,0;2
2008;low;MA3;2,9;2
2008;low;MA2;3,4;2
2008;low;MA2;3,1;2
2008;low;MA2;3,0;2
2008;low;MA4;2,6;2
2008;low;MA4;2,6;2
2008;low;MA4;2,4;2
2008;low;MA5;2,1;2
2008;low;MA5;2,6;2
2008;low;MA5;2,1;2
2008;low;MA5;2,5;2
2008;low;MA5;2,4;2
2008;low;MA1;3,9;3
2008;low;MA1;5,1;3
2008;low;MA1;4,2;3
2008;low;MA1;4,6;3
2008;low;MA1;4,2;3
2008;low;MA1;5,0;3
2008;low;MA1;5,0;3
2008;low;MA3;3,6;3
