"Var1";"Var2";"Freq"
"1";"10m2";"2002";NA
"2";"10m3";"2002";NA
"3";"11m1";"2002";NA
"4";"11m2";"2002";NA
"5";"11m3";"2002";NA
"6";"12m1";"2002";NA
"7";"12m2";"2002";NA
"8";"12m3";"2002";NA
"9";"13m1";"2002";NA
"10";"13m2";"2002";NA
"11";"13m3";"2002";NA
"12";"14m1";"2002";NA
"13";"14m2";"2002";NA
"14";"14m3";"2002";NA
"15";"15m1";"2002";NA
"16";"15m3";"2002";NA
"17";"16m3";"2002";NA
"18";"17m1";"2002";NA
"19";"17m2";"2002";NA
"20";"17m3";"2002";NA
"21";"18m1";"2002";NA
"22";"18m3";"2002";NA
"23";"19m1";"2002";NA
"24";"19m2";"2002";NA
"25";"19m3";"2002";NA
"26";"1m1";"2002";NA
"27";"1m2";"2002";NA
"28";"1m3";"2002";NA
"29";"20m2";"2002";NA
"30";"20m3";"2002";NA
"31";"21m1";"2002";NA
"32";"21m2";"2002";NA
"33";"21m3";"2002";NA
"34";"22m1";"2002";NA
"35";"22m2";"2002";NA
"36";"22m3";"2002";NA
"37";"23m1";"2002";NA
"38";"23m2";"2002";NA
"39";"23m3";"2002";NA
"40";"24m1";"2002";NA
"41";"24m2";"2002";NA
"42";"2m1";"2002";NA
"43";"2m2";"2002";NA
"44";"2m3";"2002";NA
"45";"3m1";"2002";NA
"46";"3m2";"2002";NA
"47";"3m3";"2002";NA
"48";"4m1";"2002";NA
"49";"4m2";"2002";NA
"50";"4m3";"2002";NA
"51";"5m1";"2002";NA
"52";"5m2";"2002";NA
"53";"5m3";"2002";NA
"54";"6m1";"2002";NA
"55";"6m2";"2002";NA
"56";"6m3";"2002";NA
"57";"7m1";"2002";NA
"58";"7m2";"2002";NA
"59";"7m3";"2002";NA
"60";"8m1";"2002";NA
"61";"8m2";"2002";NA
"62";"8m3";"2002";NA
"63";"9m1";"2002";NA
"64";"9m2";"2002";NA
"65";"9m3";"2002";NA
"66";"I-1";"2002";0
"67";"I-2";"2002";0
"68";"I-3";"2002";60
"69";"II-1";"2002";30
"70";"II-2";"2002";0
"71";"II-3";"2002";30
"72";"III-1";"2002";150
"73";"III-2";"2002";60
"74";"III-3";"2002";0
"75";"IV-1";"2002";60
"76";"IV-2";"2002";60
"77";"IV-3";"2002";120
"78";"M-1";"2002";NA
"79";"M-10";"2002";NA
"80";"M-11";"2002";NA
"81";"M-13";"2002";NA
"82";"M-14";"2002";NA
"83";"M-15";"2002";NA
"84";"M-16";"2002";NA
"85";"M-17";"2002";NA
"86";"M-18";"2002";NA
"87";"M-19";"2002";NA
"88";"M-2";"2002";NA
"89";"M-20";"2002";NA
"90";"M-21";"2002";NA
"91";"M-22";"2002";NA
"92";"M-23";"2002";NA
"93";"M-24";"2002";NA
"94";"M-25";"2002";NA
"95";"M-3";"2002";NA
"96";"M-4";"2002";NA
"97";"M-5";"2002";NA
"98";"M-6";"2002";NA
"99";"M-7";"2002";NA
"100";"M-8";"2002";NA
"101";"M-9";"2002";NA
"102";"mr11";"2002";10
"103";"mr13";"2002";40
"104";"mr14";"2002";30
"105";"mr15";"2002";60
"106";"mr16";"2002";10
"107";"mr18";"2002";20
"108";"mr19";"2002";40
"109";"mr20";"2002";NA
"110";"mr21";"2002";NA
"111";"mr22";"2002";NA
