year;tidal_zone;sample;species;Length.mm;age;k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12
2007;middle;9m1;Macoma balthica;2,5;1;0,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;6m3;Macoma balthica;3,0;1;1,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;3m2;Macoma balthica;5,8;1;1,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;10m2;Macoma balthica;6,5;2;1,5;4,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;12m3;Macoma balthica;6,9;2;1,0;5,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;7m1;Macoma balthica;7,4;2;1,5;4,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;3m1;Macoma balthica;7,9;2;1,3;5,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;10m3;Macoma balthica;8,1;2;1,2;5,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;2m1;Macoma balthica;8,4;2;1,2;5,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;9m2;Macoma balthica;8,4;2;1,4;4,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;11m3;Macoma balthica;8,5;2;1,4;5,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;12m3;Macoma balthica;8,8;2;1,5;5,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;4m2;Macoma balthica;9,5;2;1,2;6,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;9m1;Macoma balthica;9,5;2;1,1;5,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;3m1;Macoma balthica;9,8;2;1,5;7,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;4m1;Macoma balthica;9,8;2;1,7;6,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;8m3;Macoma balthica;10,2;3;1,5;4,0;7,0;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;1m1;Macoma balthica;9,4;4;1,2;5,2;7,5;8,5;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;3m2;Macoma balthica;13,4;4;NA;5,7;8,6;11,5;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;12m3;Macoma balthica;14,0;4;NA;4,9;11,6;13,0;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;6m2;Macoma balthica;15,2;4;NA;5,0;9,7;12,5;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;2m3;Macoma balthica;12,4;5;NA;4,8;8,2;9,8;11,5;NA;NA;NA;NA;NA;NA;NA
2007;middle;4m2;Macoma balthica;14,5;5;NA;4,0;9,1;11,8;13,0;NA;NA;NA;NA;NA;NA;NA
2007;middle;8m3;Macoma balthica;15,0;5;NA;5,0;9,0;12,4;13,6;NA;NA;NA;NA;NA;NA;NA
2007;middle;12m1;Macoma balthica;15,2;5;NA;4,5;9,0;11,2;13,3;NA;NA;NA;NA;NA;NA;NA
2007;middle;11m3;Macoma balthica;15,7;5;NA;NA;9,5;12,7;14,4;NA;NA;NA;NA;NA;NA;NA
2007;middle;6m2;Macoma balthica;16,5;5;NA;4,1;8,3;12,2;14,2;NA;NA;NA;NA;NA;NA;NA
2007;middle;12m2;Macoma balthica;14,0;6;2,4;4,3;7,4;10,2;11,7;13,3;NA;NA;NA;NA;NA;NA
2007;middle;5m1;Macoma balthica;14,4;6;NA;6,5;9,1;10,0;12,0;13,2;NA;NA;NA;NA;NA;NA
2007;middle;7m3;Macoma balthica;14,5;6;NA;NA;7,2;9,5;11,2;12,7;NA;NA;NA;NA;NA;NA
2007;middle;12m1;Macoma balthica;14,6;6;NA;NA;NA;10,2;12,2;13,2;NA;NA;NA;NA;NA;NA
2007;middle;3m1;Macoma balthica;14,8;6;NA;4,5;8,0;10,6;12,1;13,8;NA;NA;NA;NA;NA;NA
