year;sample;Length.mm
2002;VI-2;16,6
2002;VI-2;9,3
2002;I-3;8,7
2002;I-3;4,1
2002;II-1;7,5
2002;II-3;4,5
2002;III-1;4,7
2002;III-1;3,4
2002;III-1;10,6
2002;III-1;15,8
2002;III-1;16,2
2002;III-2;18,6
2002;III-2;16,3
2002;IV-1;14,1
2002;IV-1;7,5
2002;IV-2;9,2
2002;IV-2;5,3
2002;IV-3;14,7
2002;IV-3;12,5
2002;IV-3;8,9
2002;IV-3;10,8
2002;mr11;2,6
2002;mr13;7,7
2002;mr13;7
2002;mr13;7,5
2002;mr13;9,6
2002;mr14;4,7
2002;mr14;12,1
2002;mr14;8,3
2002;mr15;14,2
2002;mr15;15
2002;mr15;15,4
2002;mr15;17,5
2002;mr15;18,2
2002;mr15;18,3
2002;mr16;4
2002;mr18;7,2
2002;mr18;4,7
2002;mr19;3
2002;mr19;5,7
2002;mr19;9,2
2002;mr19;14
2002;mr6;10,2
2002;mr6;14,3
2002;mr6;7,6
2002;mr6;8,4
2002;mr6;10,5
2002;mr8;11,2
2002;mr8;4,4
2002;mr8;11,9
2002;mr8;3,4
2002;mr9;10,8
2002;mr9;4,7
2002;mr9;13,5
2002;mr9;8
2002;V-1;7,3
2002;V-1;15,7
2002;V-2;8,7
2002;V-2;12,4
2002;V-3;15,6
2002;V-3;11,4
2002;VI-1;8,3
2002;VI-1;6,6
2002;VII-1;9,7
2002;VII-1;11
2002;VII-1;6,2
2002;VII-1;3,3
2002;VII-1;4,9
2002;VII-1;6,3
2002;VII-2;5,7
2002;VII-2;8,2
2002;VII-3;13,8
2002;VIII-1;9,1
2002;VIII-1;10,1
2002;VIII-1;10,1
2002;VIII-1;9
2002;VIII-1;9,1
2002;VIII-1;11,2
2002;VIII-2;2,6
2002;VIII-3;17,7
2002;VIII-3;13,5
2002;VIII-3;18,8
2003;I-2;12,8
2003;I-2;7,5
2003;II-1;8,1
2003;III-1;10,8
2003;III-2;5,9
2003;III-2;7,8
2003;III-2;9,4
2003;III-2;12
2003;III-2;7,5
2003;III-2;12,1
2003;III-3;12,1
2003;III-3;12,1
2003;IV-1;16,8
2003;IV-1;17,2
2003;IV-3;8,7
2003;IV-3;9,5
2003;mr19;9,3
2003;mr19;11,1
2003;mr19;6,7
2003;mr19;15,6
2003;mr19;11,7
2003;mr19;7,8
2003;mr19;11,3
2003;mr19;19,2
2003;mr20;18,7
2003;mr20;8,2
2003;mr20;7,3
2003;mr20;9,8
2003;mr20;10,1
2003;mr20;12,8
2003;mr20;16,3
2003;mr20;14,2
2003;mr20;16,3
2003;mr20;14
2003;mr21;16,2
2003;mr22;13,1
2003;mr25;7,2
2003;V-1;9,8
2003;V-2;17,3
2003;V-2;13,5
2003;VI-1;7,6
2003;VI-2;9,2
2003;VI-2;10,5
2003;VI-2;17,8
2003;VI-2;7,6
2003;VI-3;16,8
2003;VII-1;11,8
2003;VII-1;9
2003;VII-1;11,2
2003;VII-2;14,7
2003;VII-2;11,7
2003;VII-2;10,5
2003;VII-2;19,9
2003;VII-3;12,6
2003;VII-3;10,6
