year;sample;Length.mm;age
2007;1m1;9,4;4
2007;1m1;15,1;NA
2007;1m3;14,8;NA
2007;1m3;18;NA
2007;1m3;19;NA
2007;2m1;8,4;2
2007;2m1;15,2;NA
2007;2m1;17,3;NA
2007;2m2;17,4;7
2007;2m2;17,6;6
2007;2m2;18,4;7
2007;2m3;12,4;5
2007;2m3;18,1;7
2007;3m1;7,9;2
2007;3m1;9,8;2
2007;3m1;13,9;8
2007;3m1;14,8;6
2007;3m1;17,8;7
2007;3m2;5,8;1
2007;3m2;13,4;4
2007;3m2;17;7
2007;4m1;9,8;2
2007;4m1;14,6;NA
2007;4m2;9,5;2
2007;4m2;14,5;5
2007;4m2;16,3;6
2007;5m1;14,4;6
2007;5m3;15;6
2007;6m2;15,2;4
2007;6m2;16,2;6
2007;6m2;16,5;5
2007;6m3;3;1
2007;7m1;7,4;2
2007;7m3;14,5;6
2007;7m3;14,8;NA
2007;7m3;15,5;NA
2007;7m3;15,5;7
2007;8m2;18,2;NA
2007;8m3;10,2;3
2007;8m3;15;5
2007;9m1;2,5;1
2007;9m1;9,5;2
2007;9m2;8,4;2
2007;9m2;13,7;7
2007;9m3;20;NA
2007;10m2;6,5;2
2007;10m2;15,6;6
2007;10m3;8,1;2
2007;10m3;14;NA
2007;10m3;17,7;8
2007;11m1;15,6;6
2007;11m1;15,9;6
2007;11m3;8,5;2
2007;11m3;15,5;NA
2007;11m3;15,7;6
2007;11m3;15,7;5
2007;12m1;14,6;6
2007;12m1;15,2;5
2007;12m2;14;6
2007;12m3;6,9;2
2007;12m3;8,8;2
2007;12m3;14;4
2008;12m1;13,8;9
2008;12m1;17;12
2008;1m3;3;2
2008;1m3;15;10
2008;1m3;18;NA
2008;1m2;16,5;11
2008;1m2;16,5;12
2008;1m2;17,5;NA
2008;7m3;2,1;2
2008;7m3;6,8;6
2008;7m3;9;8
2008;7m3;13;9
2008;7m3;17,3;13
2008;7m3;13,2;NA
2008;7m3;17,3;13
2008;11m1;4,8;2
2008;5m2;15,3;11
2008;5m2;16,3;13
2008;5m2;18,2;NA
2008;12m2;18;14
2008;6m3;4,6;2
2008;6m3;13,3;9
2008;6m3;17,8;12
2008;6m3;17,5;13
2008;6m3;19,6;NA
2008;11m3;3,1;2
2008;11m3;3;2
2008;11m3;16,9;10
2008;7m1;13,6;11
2008;7m1;15,5;13
2008;7m1;15,3;NA
2008;7m1;15,7;13
2008;8m3;8,9;6
2008;8m3;9,3;8
2008;8m3;17,3;14
2008;5m3;13;11
2008;12m3;7,6;7
