year;sample
2007;1m1
2007;1m3
2007;2m1
2007;2m2
2007;2m3
2007;3m1
2007;3m2
2007;4m1
2007;4m2
2007;5m1
2007;5m3
2007;6m2
2007;6m3
2007;7m1
2007;7m3
2007;8m2
2007;8m3
2007;9m1
2007;9m2
2007;9m3
2007;10m2
2007;10m3
2007;11m1
2007;11m3
2007;12m1
2007;12m2
2007;12m3
2008;1m1
2008;1m2
2008;1m3
2008;2m1
2008;2m2
2008;2m3
2008;3m1
2008;3m2
2008;3m3
2008;4m1
2008;4m2
2008;4m3
2008;5m1
2008;5m2
2008;5m3
2008;6m1
2008;6m2
2008;6m3
2008;7m1
2008;7m2
2008;7m3
2008;8m1
2008;8m2
2008;8m3
2008;9m1
2008;9m2
2008;9m3
2008;10m1
2008;10m2
2008;10m3
2008;11m1
2008;11m2
2008;11m3
2008;12m1
2008;12m2
2008;12m3
2008;13m1
2008;13m2
2008;13m3
2008;14m1
2008;14m2
2008;14m3
2008;15m1
2008;15m2
2008;15m3
2008;16m1
2008;16m2
2008;16m3
2008;17m1
2008;17m2
2008;17m3
2008;18m1
2008;18m2
2008;18m3
2008;19m1
2008;19m2
2008;19m3
2008;20m1
2008;20m2
2008;20m3
2008;21m1
2008;21m2
2008;21m3
2008;22m1
2008;22m2
2008;22m3
2008;23m1
2008;23m2
2008;23m3
2008;24m1
2008;24m2
2008;24m3
