year;sample;square
2002;VI-2;30
2002;I-3;30
2002;II-1;30
2002;II-3;30
2002;III-1;30
2002;III-2;30
2002;IV-1;30
2002;IV-2;30
2002;IV-3;30
2002;mr11;10
2002;mr13;10
2002;mr14;10
2002;mr15;10
2002;mr16;10
2002;mr18;10
2002;mr19;10
2002;mr6;10
2002;mr8;10
2002;mr9;10
2002;V-1;30
2002;V-2;30
2002;V-3;30
2002;VI-1;30
2002;VII-1;30
2002;VII-2;30
2002;VII-3;30
2002;VIII-1;30
2002;VIII-2;30
2002;VIII-3;30
2002;I-1;30
2002;I-2;30
2002;II-1;30
2002;II-2;30
2002;III-3;30
2002;VI-3;30
2002;mr1;10
2002;mr2;10
2002;mr3;10
2002;mr4;10
2002;mr5;10
2002;mr7;10
2002;mr10;10
2002;mr17;10
2003;I-2;30
2003;II-1;30
2003;III-1;30
2003;III-2;30
2003;III-3;30
2003;IV-1;30
2003;IV-3;10
2003;mr19;10
2003;mr20;10
2003;mr21;10
2003;mr22;10
2003;mr25;10
2003;V-1;30
2003;V-2;30
2003;VI-1;30
2003;VI-2;30
2003;VI-3;30
2003;VII-1;30
2003;VII-2;30
2003;VII-3;30
2003;VIII-3;30
2003;I-1;30
2003;I-3;30
2003;II-2;30
2003;II-3;30
2003;IV-2;30
2003;V-3;30
2003;VIII-1;30
2003;VIII-2;30
2003;mr1;10
2003;mr2;10
2003;mr3;10
2003;mr4;10
2003;mr5;10
2003;mr6;10
2003;mr7;10
2003;mr8;10
2003;mr9;10
2003;mr10;10
2003;mr11;10
2003;mr13;10
2003;mr14;10
2003;mr15;10
2003;mr16;10
2003;mr17;10
2003;mr18;10
2003;mr23;10
2003;mr24;10
2004;III-1;30
2004;III-2;30
2004;III-3;30
2004;M-19;10
2004;M-1;10
2004;M-13;10
2004;M-14;10
2004;M-16;10
2004;M-17;10
2004;M-18;10
2004;M-2;10
2004;M-23;10
2004;M-24;10
2004;M-23;10
2004;M-3;10
2004;I-1;30
2004;I-2;30
2004;I-3;30
2004;M-11;10
2004;M-13;10
2004;M-13;10
2004;M-20;10
2004;M-21;10
2004;M-22;10
2004;M-4;10
2004;M-6;10
2004;M-7;10
2004;M-8;10
2004;II-1;30
2004;II-2;30
2004;II-3;30
2004;M-3;10
2004;M-9;10
2004;M10;10
2005;I-1;30
2005;I-2;30
2005;I-3;30
2005;II-1;30
2005;II-2;30
2005;II-3;30
2005;III-1;30
2005;III-2;30
2005;III-3;30
2005;M-10;10
2005;M-11;10
2005;M-13;10
2005;M-14;10
2005;M-15;10
2005;M-16;10
2005;M-18;10
2005;M-19;10
2005;M-20;10
2005;M-21;10
2005;M-22;10
2005;M-23;10
2005;M-24;10
2005;M-25;10
2005;M-3;10
2005;M-4;10
2005;M-5;10
2005;M-6;10
2005;M-7;10
2005;M-8;10
2005;M-9;10
2006;I-2;30
2006;M-6;10
2006;M-8;10
2006;M-7;10
2006;III-1;30
2006;III-2;30
2006;III-3;30
2006;II-2;30
2006;II-3;30
2006;M-11;10
2006;M-20;10
2006;M-9;10
2006;M-15;10
2006;M-25;10
2006;M-16;10
2006;M-17;10
2006;M-18;10
2006;M-19;10
2006;M-13;10
2006;M-14;10
2006;M-24;10
2006;M-23;10
2006;M-22;10
2006;M-21;10
2006;M-5;10
2006;M-3;10
2006;M-2;10
2006;M-1;10
2007;I-1;30
2007;I-2;30
2007;II-2;30
2007;III-1;30
2007;III-2;30
2007;III-3;30
2007;1m1;30
2007;1m2;30
2007;1m3;30
2007;2m1;30
2007;2m2;30
2007;2m3;30
2007;3m1;30
2007;3m2;30
2007;3m3;30
2007;4m1;30
2007;4m2;30
2007;4m3;30
2007;5m1;30
2007;5m2;30
2007;5m3;30
2007;6m1;30
2007;6m2;30
2007;6m3;30
2007;7m1;30
2007;7m2;30
2007;7m3;30
2007;8m1;30
2007;8m2;30
2007;8m3;30
2007;9m1;30
2007;9m2;30
2007;9m3;30
2007;10m1;30
2007;10m2;30
2007;10m3;30
2007;11m1;30
2007;11m2;30
2007;11m3;30
2007;12m1;30
2007;12m2;30
2007;12m3;30
2008;1M1;30
2008;1M2;30
2008;1M3;30
2008;2M1;30
2008;2M2;30
2008;2M3;30
2008;3M1;30
2008;3M2;30
2008;3M3;30
2008;4M1;30
2008;4M2;30
2008;4M3;30
2008;5M1;30
2008;5M2;30
2008;5M3;30
2008;6M1;30
2008;6M2;30
2008;6M3;30
2008;7M1;30
2008;7M2;30
2008;7M3;30
2008;8M1;30
2008;8M2;30
2008;8M3;30
2008;9M1;30
2008;9M2;30
2008;9M3;30
2008;10M1;30
2008;10M2;30
2008;10M3;30
2008;11M1;30
2008;11M2;30
2008;11M3;30
2008;12M1;30
2008;12M2;30
2008;12M3;30
2008;13m1;30
2008;13m2;30
2008;13m3;30
2008;14m1;30
2008;14m2;30
2008;14m3;30
2008;15m1;30
2008;15m2;30
2008;15m3;30
2008;16m1;30
2008;16m2;30
2008;16m3;30
2008;17m1;30
2008;17m2;30
2008;17m3;30
2008;18m1;30
2008;18m2;30
2008;18m3;30
2008;19m1;30
2008;19m2;30
2008;19m3;30
2008;20m1;30
2008;20m2;30
2008;20m3;30
2008;21m1;30
2008;21m2;30
2008;21m3;30
2008;22m1;30
2008;22m2;30
2008;22m3;30
2008;23m1;30
2008;23m2;30
2008;23m3;30
2008;24m1;30
2008;24m2;30
2008;24m3;30
