year;sample;square
2007;1m1;30
2007;1m3;30
2007;2m1;30
2007;2m2;30
2007;2m3;30
2007;3m1;30
2007;3m2;30
2007;4m1;30
2007;4m2;30
2007;5m1;30
2007;5m3;30
2007;6m2;30
2007;6m3;30
2007;7m1;30
2007;7m3;30
2007;8m2;30
2007;8m3;30
2007;9m1;30
2007;9m2;30
2007;9m3;30
2007;10m2;30
2007;10m3;30
2007;11m1;30
2007;11m3;30
2007;12m1;30
2007;12m2;30
2007;12m3;30
2008;1m1;30
2008;1m2;30
2008;1m3;30
2008;2m1;30
2008;2m2;30
2008;2m3;30
2008;3m1;30
2008;3m2;30
2008;3m3;30
2008;4m1;30
2008;4m2;30
2008;4m3;30
2008;5m1;30
2008;5m2;30
2008;5m3;30
2008;6m1;30
2008;6m2;30
2008;6m3;30
2008;7m1;30
2008;7m2;30
2008;7m3;30
2008;8m1;30
2008;8m2;30
2008;8m3;30
2008;9m1;30
2008;9m2;30
2008;9m3;30
2008;10m1;30
2008;10m2;30
2008;10m3;30
2008;11m1;30
2008;11m2;30
2008;11m3;30
2008;12m1;30
2008;12m2;30
2008;12m3;30
2008;13m1;30
2008;13m2;30
2008;13m3;30
2008;14m1;30
2008;14m2;30
2008;14m3;30
2008;15m1;30
2008;15m2;30
2008;15m3;30
2008;16m1;30
2008;16m2;30
2008;16m3;30
2008;17m1;30
2008;17m2;30
2008;17m3;30
2008;18m1;30
2008;18m2;30
2008;18m3;30
2008;19m1;30
2008;19m2;30
2008;19m3;30
2008;20m1;30
2008;20m2;30
2008;20m3;30
2008;21m1;30
2008;21m2;30
2008;21m3;30
2008;22m1;30
2008;22m2;30
2008;22m3;30
2008;23m1;30
2008;23m2;30
2008;23m3;30
2008;24m1;30
2008;24m2;30
2008;24m3;30
