"diff";"lwr";"upr";"p adj"
"2003-2002";-18,668730650155;-46,1190848340432;8,78162353373332;0,402445847406586
"2004-2002";-19,9391480730223;-49,3322065224281;9,45391037638347;0,405659808613792
"2005-2002";-22,3529411764705;-51,4804177823831;6,77453542944222;0,256480831210854
"2006-2002";-13,781512605042;-43,4564855426581;15,8934603325741;0,810771451236898
"2007-2002";19,4652406417112;-8,95016982486533;47,8806511082877;0,393328957391293
"2008-2002";19,6470588235293;-9,48041778238335;48,774535429442;0,412842428768032
"2004-2003";-1,27041742286735;-29,9425215441619;27,4016866984272;0,999999543677454
"2005-2003";-3,6842105263155;-32,0839915670236;24,7155705143926;0,999736385646706
"2006-2003";4,88721804511297;-24,0738193772657;33,8482554674917;0,998805706911027
"2007-2003";38,1339712918661;10,4649774229847;65,8029651607475;0,00112457884439165
"2008-2003";38,3157894736843;9,91600843297621;66,7155705143924;0,00157128163070863
"2005-2004";-2,41379310344816;-32,6954295081974;27,8678433013011;0,999984922032717
"2006-2004";6,15763546798032;-24,6509936603936;36,9662645963543;0,996912708563754
"2007-2004";39,4043887147335;9,80703812544139;69,0017393040255;0,0019224648043884
"2008-2004";39,5862068965516;9,30457049180241;69,8678433013009;0,00251521953894851
"2006-2005";8,57142857142848;-21,9839250869323;39,1267822297892;0,981020416674108
"2007-2005";41,8181818181816;12,4845633860264;71,1518002503368;0,000642889703532989
"2008-2005";41,9999999999998;11,9760843365285;72,0239156634711;0,000883056995192977
"2007-2006";33,2467532467531;3,36941575253299;63,1240907409733;0,0184434634983228
"2008-2006";33,4285714285713;2,87321777021059;63,983925086932;0,0219535122256799
"2008-2007";0,181818181818173;-29,151800250337;29,5154366139734;0,999999999996568
