"Var1";"Var2";"Freq"
"1";"(1,2]";"A";0
"2";"(2,3]";"A";8,69565217391304
"3";"(3,4]";"A";4,34782608695652
"4";"(4,5]";"A";0
"5";"(5,6]";"A";0
"6";"(6,7]";"A";4,34782608695652
"7";"(7,8]";"A";0
"8";"(8,9]";"A";0
"9";"(9,10]";"A";4,34782608695652
"10";"(10,11]";"A";0
"11";"(11,12]";"A";0
"12";"(12,13]";"A";0
"13";"(13,14]";"A";0
"14";"(14,15]";"A";13,0434782608696
"15";"(15,16]";"A";4,34782608695652
"16";"(16,17]";"A";17,3913043478261
"17";"(17,18]";"A";26,0869565217391
"18";"(18,19]";"A";13,0434782608696
"19";"(19,20]";"A";4,34782608695652
