year;tidal_level;sample;Length.mm;age
2008;middle;MG3;2,3;1
2008;middle;MG1;2,7;2
2008;middle;MG4;3,2;3
2008;middle;MG1;6,2;6
2008;middle;MG2;10;8
2008;middle;MG5;15;10
2008;middle;MG5;15;11
2008;middle;MG5;17,9;11
2008;middle;MG1;17,2;12
2008;middle;MG5;17,5;12
2008;middle;MG3;16,6;13
2008;middle;MG5;18,2;13
2008;middle;MG5;18,4;14
2008;middle;MG2;14,3;14
2008;middle;MG2;18;14
2008;middle;MG2;16;14
2008;middle;MG5;17,8;14
2008;middle;MG3;16,7;15
2008;middle;MG4;16,5;15
2008;middle;MG2;16,2;15
2008;middle;MG4;18,8;15
2008;middle;MG3;19,9;16
2008;middle;MG4;17,8;NA
2008;low;MG6+7+10;4,8;3
2008;low;MG6+7+10;11,8;8
2008;low;MG6+7+10;14,8;9
2008;low;MG6+7+10;17,9;12
