year;tidal_level;sample;Length.mm;age
2007;middle;Pala01;1,4;1
2007;middle;Pala01;1,7;2
2007;middle;Pala01;2,3;2
2007;middle;Pala01;2,3;2
2007;middle;Pala01;2,7;2
2007;middle;Pala01;2,7;2
2007;middle;Pala01;2,7;2
2007;middle;Pala01;2,8;2
2007;middle;Pala01;2,8;2
2007;middle;Pala01;2,8;2
2007;middle;Pala01;2,9;2
2007;middle;Pala01;3;2
2007;middle;Pala01;3,2;2
2007;middle;Pala01;3,2;2
2007;middle;Pala01;3,2;2
2007;middle;Pala01;3,4;2
2007;middle;Pala01;3,4;2
2007;middle;Pala01;3,6;2
2007;middle;Pala01;4,2;2
2007;middle;Pala01;4,2;3
2007;middle;Pala01;4,6;4
2007;middle;Pala01;4,8;3
2007;middle;Pala01;9,2;5
2007;middle;Pala01;9,4;7
2007;middle;Pala01;9,6;7
2007;middle;Pala01;9,7;7
2007;middle;Pala01;9,7;6
2007;middle;Pala01;13;NA
2007;middle;Pala02;2,4;2
2007;middle;Pala02;2,6;2
2007;middle;Pala02;2,7;2
2007;middle;Pala02;2,9;2
2007;middle;Pala02;2,9;2
2007;middle;Pala02;2,9;2
2007;middle;Pala02;3,1;2
2007;middle;Pala02;3,1;3
2007;middle;Pala02;3,2;2
2007;middle;Pala02;3,4;2
2007;middle;Pala02;3,6;3
2007;middle;Pala02;3,7;2
2007;middle;Pala02;3,7;2
2007;middle;Pala02;3,9;3
2007;middle;Pala02;4,3;3
2007;middle;Pala02;4,9;3
2007;middle;Pala02;5;3
2007;middle;Pala02;6,2;3
2007;middle;Pala02;15,5;NA
2007;middle;Pala02;16;NA
2007;middle;Pala03;1,2;1
2007;middle;Pala03;1,6;1
2007;middle;Pala03;1,7;1
2007;middle;Pala03;2,2;2
2007;middle;Pala03;2,2;2
2007;middle;Pala03;2,5;2
2007;middle;Pala03;2,5;2
2007;middle;Pala03;2,6;2
2007;middle;Pala03;2,7;2
2007;middle;Pala03;2,8;2
2007;middle;Pala03;2,9;2
2007;middle;Pala03;3;2
2007;middle;Pala03;3,1;2
2007;middle;Pala03;3,1;2
2007;middle;Pala03;3,1;2
2007;middle;Pala03;3,2;2
2007;middle;Pala03;3,3;3
2007;middle;Pala03;3,3;2
2007;middle;Pala03;3,4;2
2007;middle;Pala03;3,5;2
2007;middle;Pala03;3,6;2
2007;middle;Pala03;3,7;2
2007;middle;Pala03;3,8;3
2007;middle;Pala03;4;3
2007;middle;Pala03;4,2;3
2007;middle;Pala03;4,3;2
2007;middle;Pala03;5,3;3
2007;middle;Pala03;11,7;NA
2007;middle;Pala03;11,9;NA
2007;middle;Pala03;14,4;NA
2007;middle;Pala04;1,9;1
2007;middle;Pala04;2,1;2
2007;middle;Pala04;2,3;2
2007;middle;Pala04;2,4;2
2007;middle;Pala04;2,4;2
2007;middle;Pala04;2,5;2
2007;middle;Pala04;2,7;2
2007;middle;Pala04;2,9;2
2007;middle;Pala04;3;2
2007;middle;Pala04;3,1;2
2007;middle;Pala04;3,3;2
2007;middle;Pala04;3,3;2
2007;middle;Pala04;3,5;2
2007;middle;Pala04;3,6;2
2007;middle;Pala04;3,7;2
2007;middle;Pala04;3,7;2
2007;middle;Pala04;4;3
2007;middle;Pala04;4,2;2
2007;middle;Pala04;4,3;3
2007;middle;Pala04;4,3;3
2007;middle;Pala04;4,8;3
2007;middle;Pala04;7,1;4
2007;middle;Pala04;11;NA
2007;middle;Pala04;12;NA
2007;middle;Pala04;12,7;NA
2007;middle;Pala04;13,9;NA
2007;middle;Pala04;15;NA
2007;middle;Pala05;2,2;2
2007;middle;Pala05;2,6;2
2007;middle;Pala05;2,6;2
2007;middle;Pala05;2,6;2
2007;middle;Pala05;2,7;2
2007;middle;Pala05;2,7;2
2007;middle;Pala05;2,7;2
2007;middle;Pala05;2,8;2
2007;middle;Pala05;2,9;2
2007;middle;Pala05;3;2
2007;middle;Pala05;3;2
2007;middle;Pala05;3,2;2
2007;middle;Pala05;3,2;2
2007;middle;Pala05;3,2;2
2007;middle;Pala05;3,2;2
2007;middle;Pala05;3,4;2
2007;middle;Pala05;3,5;2
2007;middle;Pala05;3,5;2
2007;middle;Pala05;3,5;2
2007;middle;Pala05;3,6;2
2007;middle;Pala05;3,7;3
2007;middle;Pala05;3,7;2
2007;middle;Pala05;4;3
2007;middle;Pala05;4;3
2007;middle;Pala05;4;2
2007;middle;Pala05;4,1;2
2007;middle;Pala05;4,1;3
2007;middle;Pala05;5,5;4
2007;middle;Pala05;5,8;3
2007;middle;Pala05;11;NA
2007;middle;Pala05;11,7;NA
2007;middle;Pala05;12,9;NA
2007;middle;Pala05;13,5;NA
2007;middle;Pala06;1,4;1
2007;middle;Pala06;1,8;1
2007;middle;Pala06;2,3;2
2007;middle;Pala06;2,4;2
2007;middle;Pala06;2,4;2
2007;middle;Pala06;2,5;2
2007;middle;Pala06;2,5;2
2007;middle;Pala06;2,5;2
2007;middle;Pala06;2,5;2
2007;middle;Pala06;2,6;2
2007;middle;Pala06;2,6;2
2007;middle;Pala06;2,6;2
2007;middle;Pala06;2,7;2
2007;middle;Pala06;2,7;2
2007;middle;Pala06;2,8;2
2007;middle;Pala06;2,8;2
2007;middle;Pala06;2,8;2
2007;middle;Pala06;2,8;2
2007;middle;Pala06;2,8;2
2007;middle;Pala06;2,8;2
2007;middle;Pala06;3;2
2007;middle;Pala06;3,1;2
2007;middle;Pala06;3,2;2
2007;middle;Pala06;3,2;2
2007;middle;Pala06;3,2;3
2007;middle;Pala06;3,2;2
2007;middle;Pala06;3,3;2
2007;middle;Pala06;3,6;2
2007;middle;Pala06;3,6;3
2007;middle;Pala06;3,9;2
2007;middle;Pala06;4;2
2007;middle;Pala06;4,5;2
2007;middle;Pala06;5,7;3
2007;middle;Pala06;8,6;4
2007;middle;Pala06;12,5;NA
2007;middle;Pala06;13,9;8
2007;middle;Pala07;2,1;1
2007;middle;Pala07;2,2;2
2007;middle;Pala07;2,2;2
2007;middle;Pala07;2,2;2
2007;middle;Pala07;2,3;2
2007;middle;Pala07;2,3;2
2007;middle;Pala07;2,3;2
2007;middle;Pala07;2,4;2
2007;middle;Pala07;2,5;2
2007;middle;Pala07;2,5;2
2007;middle;Pala07;2,5;2
2007;middle;Pala07;2,5;2
2007;middle;Pala07;2,6;2
2007;middle;Pala07;2,6;2
2007;middle;Pala07;2,7;2
2007;middle;Pala07;2,7;2
2007;middle;Pala07;2,8;2
2007;middle;Pala07;2,8;2
