year;sample;Length.mm;age
2007;Por03;5,0;3
2007;Por03;5,2;3
2007;Por03;6,4;4
2007;Por03;9,1;3
2007;Por04;3,4;1
2007;Por04;6,8;5
2007;Por04;7,5;3
2007;Por05;18,3;6
2007;Por05;20,5;6
2007;Por07;4,6;2
2007;Por07;5,4;4
2007;Por07;5,7;2
2007;Por07;6,6;3
2007;Por08;6,5;3
2007;Por09;8,4;3
2007;Por09;10,5;3
2007;Por10;9,3;4
2007;Por11;7,0;4
2007;Por11;9,6;4
2007;Por12;6,8;2
2007;Por12;7,0;3
2007;Por12;8,6;3
2007;Por12;18,0;5
2007;Por12;19,0;10
2007;Por13;3,2;2
2007;Por13;4,5;3
2007;Por13;5,2;3
2007;Por13;6,9;2
2007;Por14;4,0;2
2007;Por14;5,1;2
2007;Por14;9,5;3
2007;Por14;10,6;4
2007;Por14;17,2;6
2007;Por15;5,4;3
2007;Por15;5,4;2
2007;Por15;6,0;3
2007;Por15;18,5;7
2007;Por16;11,6;4
2007;Por17;4,8;2
2007;Por17;5,3;3
2007;Por17;9,7;3
2007;Por18;3,2;2
2007;Por18;4,8;3
2007;Por18;5,0;3
2007;Por18;5,3;3
2007;Por18;8,2;3
2007;Por18;10,2;3
2007;Por18;18,7;6
2007;Por19;10,4;5
2007;Por20;6,7;2
2007;Por21;5,1;2
2007;Por21;6,1;4
2007;Por21;9,0;3
2007;Por21;19,4;9
2007;Por22;4,1;2
2007;Por22;4,3;2
2007;Por22;4,4;2
2007;Por22;12,7;3
2007;Por22;17,3;5
2007;Por23;4,1;2
2007;Por23;10,3;4
2007;Por23;10,6;NA
2007;Por23;16,8;6
2007;Por23;17,5;5
2007;Por24;4,2;2
2007;Por24;18,9;5
2007;Por25;3,8;2
2007;Por25;4,3;2
2007;Por25;4,5;3
2007;Por25;4,7;2
2007;Por25;8,8;4
2007;Por25;10,0;3
2007;Por25;11,3;4
2007;Por25;12,8;5
2007;Por25;14,8;5
2007;Por26;5,0;2
2007;Por26;13,6;5
2007;Por26;19,6;6
2007;Por27;11,1;3
2007;Por27;13,5;
2007;Por27;15,1;4
2007;Por29;4,5;3
2007;Por29;9,3;NA
2007;Por29;19,0;
2007;Por30;3,4;2
2007;Por30;4,2;2
2007;Por30;4,7;2
2007;Por31;13,3;3
2007;Por31;14,5;5
2007;Por32;3,6;1
