"Var1";"Var2";"Freq"
"1";"(1,2]";"A";0
"2";"(2,3]";"A";0
"3";"(3,4]";"A";7,77777777777778
"4";"(4,5]";"A";20
"5";"(5,6]";"A";12,2222222222222
"6";"(6,7]";"A";11,1111111111111
"7";"(7,8]";"A";1,11111111111111
"8";"(8,9]";"A";5,55555555555556
"9";"(9,10]";"A";7,77777777777778
"10";"(10,11]";"A";6,66666666666667
"11";"(11,12]";"A";3,33333333333333
"12";"(12,13]";"A";2,22222222222222
"13";"(13,14]";"A";3,33333333333333
"14";"(14,15]";"A";2,22222222222222
"15";"(15,16]";"A";1,11111111111111
"16";"(16,17]";"A";1,11111111111111
"17";"(17,18]";"A";4,44444444444444
"18";"(18,19]";"A";6,66666666666667
"19";"(19,20]";"A";2,22222222222222
"20";"(20,21]";"A";1,11111111111111
