"Var1";"Var2";"Freq"
"1";"(1,2]";"2007";NA
"2";"(2,3]";"2007";NA
"3";"(3,4]";"2007";NA
"4";"(4,5]";"2007";NA
"5";"(5,6]";"2007";NA
"6";"(6,7]";"2007";NA
"7";"(7,8]";"2007";NA
"8";"(8,9]";"2007";NA
"9";"(9,10]";"2007";NA
"10";"(10,11]";"2007";NA
"11";"(11,12]";"2007";NA
"12";"(12,13]";"2007";NA
"13";"(13,14]";"2007";NA
"14";"(14,15]";"2007";NA
"15";"(15,16]";"2007";NA
"16";"(16,17]";"2007";NA
"17";"(17,18]";"2007";NA
"18";"(18,19]";"2007";NA
"19";"(19,20]";"2007";NA
"20";"(20,21]";"2007";NA
"21";"(21,22]";"2007";NA
"22";"(1,2]";"2008";0
"23";"(2,3]";"2008";0
"24";"(3,4]";"2008";10,2941176470588
"25";"(4,5]";"2008";32,3529411764706
"26";"(5,6]";"2008";33,8235294117647
"27";"(6,7]";"2008";1,47058823529412
"28";"(7,8]";"2008";0
"29";"(8,9]";"2008";0
"30";"(9,10]";"2008";0
"31";"(10,11]";"2008";1,47058823529412
"32";"(11,12]";"2008";0
"33";"(12,13]";"2008";0
"34";"(13,14]";"2008";0
"35";"(14,15]";"2008";0
"36";"(15,16]";"2008";0
"37";"(16,17]";"2008";5,88235294117647
"38";"(17,18]";"2008";5,88235294117647
"39";"(18,19]";"2008";1,47058823529412
"40";"(19,20]";"2008";1,47058823529412
"41";"(20,21]";"2008";4,41176470588235
"42";"(21,22]";"2008";1,47058823529412
