"Var1";"Var2";"Freq"
"1";"(1,2]";"2007";NA
"2";"(2,3]";"2007";NA
"3";"(3,4]";"2007";NA
"4";"(4,5]";"2007";NA
"5";"(5,6]";"2007";NA
"6";"(6,7]";"2007";NA
"7";"(7,8]";"2007";NA
"8";"(8,9]";"2007";NA
"9";"(9,10]";"2007";NA
"10";"(10,11]";"2007";NA
"11";"(11,12]";"2007";NA
"12";"(12,13]";"2007";NA
"13";"(13,14]";"2007";NA
"14";"(14,15]";"2007";NA
"15";"(15,16]";"2007";NA
"16";"(16,17]";"2007";NA
"17";"(17,18]";"2007";NA
"18";"(18,19]";"2007";NA
"19";"(19,20]";"2007";NA
"20";"(20,21]";"2007";NA
"21";"(21,22]";"2007";NA
"22";"(1,2]";"2008";0
"23";"(2,3]";"2008";8,19672131147541
"24";"(3,4]";"2008";54,0983606557377
"25";"(4,5]";"2008";13,1147540983607
"26";"(5,6]";"2008";3,27868852459016
"27";"(6,7]";"2008";0
"28";"(7,8]";"2008";3,27868852459016
"29";"(8,9]";"2008";0
"30";"(9,10]";"2008";1,63934426229508
"31";"(10,11]";"2008";0
"32";"(11,12]";"2008";1,63934426229508
"33";"(12,13]";"2008";1,63934426229508
"34";"(13,14]";"2008";3,27868852459016
"35";"(14,15]";"2008";1,63934426229508
"36";"(15,16]";"2008";3,27868852459016
"37";"(16,17]";"2008";1,63934426229508
"38";"(17,18]";"2008";3,27868852459016
"39";"(18,19]";"2008";0
"40";"(19,20]";"2008";0
"41";"(20,21]";"2008";0
"42";"(21,22]";"2008";0
