"Var1";"Var2";"Freq"
"1";"(1,2]";"2007";0
"2";"(2,3]";"2007";4,8780487804878
"3";"(3,4]";"2007";17,0731707317073
"4";"(4,5]";"2007";14,6341463414634
"5";"(5,6]";"2007";6,09756097560976
"6";"(6,7]";"2007";2,4390243902439
"7";"(7,8]";"2007";3,65853658536585
"8";"(8,9]";"2007";3,65853658536585
"9";"(9,10]";"2007";7,31707317073171
"10";"(10,11]";"2007";1,21951219512195
"11";"(11,12]";"2007";1,21951219512195
"12";"(12,13]";"2007";1,21951219512195
"13";"(13,14]";"2007";7,31707317073171
"14";"(14,15]";"2007";7,31707317073171
"15";"(15,16]";"2007";4,8780487804878
"16";"(16,17]";"2007";6,09756097560976
"17";"(17,18]";"2007";9,75609756097561
"18";"(18,19]";"2007";0
"19";"(19,20]";"2007";1,21951219512195
"20";"(20,21]";"2007";0
"21";"(21,22]";"2007";0
"22";"(1,2]";"2008";NA
"23";"(2,3]";"2008";NA
"24";"(3,4]";"2008";NA
"25";"(4,5]";"2008";NA
"26";"(5,6]";"2008";NA
"27";"(6,7]";"2008";NA
"28";"(7,8]";"2008";NA
"29";"(8,9]";"2008";NA
"30";"(9,10]";"2008";NA
"31";"(10,11]";"2008";NA
"32";"(11,12]";"2008";NA
"33";"(12,13]";"2008";NA
"34";"(13,14]";"2008";NA
"35";"(14,15]";"2008";NA
"36";"(15,16]";"2008";NA
"37";"(16,17]";"2008";NA
"38";"(17,18]";"2008";NA
"39";"(18,19]";"2008";NA
"40";"(19,20]";"2008";NA
"41";"(20,21]";"2008";NA
"42";"(21,22]";"2008";NA
