year;tidal_level;sample;Length.mm;age
2008;high;Mya5;3,1;2
2008;high;Mya4;3,3;2
2008;high;Mya4;3,4;3
2008;high;Mya5;4;3
2008;high;Mya2;3,9;3
2008;high;Mya1;4,7;3
2008;high;Mya2;4,4;3
2008;high;Mya4;5,1;3
2008;high;Mya5;4,2;3
2008;high;Mya5;4,7;3
2008;high;Mya1;4,2;3
2008;high;Mya1;4,5;3
2008;high;Mya1;4,5;3
2008;high;Mya2;5,5;3
2008;high;Mya2;3,9;3
2008;high;Mya1;4,7;3
2008;high;Mya5;4,2;3
2008;high;Mya2;4;3
2008;high;Mya1;4,7;3
2008;high;Mya3;4,6;4
2008;high;Mya5;4,3;4
2008;high;Mya1;4,2;4
2008;high;Mya1;4,2;4
2008;high;Mya5;4,4;4
2008;high;Mya1;4,4;4
2008;high;Mya3;5,7;4
2008;high;Mya3;4,9;4
2008;high;Mya5;5,5;4
2008;high;Mya1;5,4;4
2008;high;Mya1;4,9;4
2008;high;Mya4;4,2;4
2008;high;Mya4;5,2;4
2008;high;Mya5;5,1;4
2008;high;Mya1;4,7;4
2008;high;Mya2;4,8;4
2008;high;Mya2;5,2;4
2008;high;Mya3;6;4
2008;high;Mya3;6;4
2008;high;Mya3;5,1;4
2008;high;Mya4;5,2;4
2008;high;Mya4;6;4
2008;high;Mya5;5,4;4
2008;high;Mya5;5,6;4
2008;high;Mya5;5,7;4
2008;high;Mya1;5,3;4
2008;high;Mya1;6,1;4
2008;high;Mya3;5,9;4
2008;high;Mya5;5,4;4
2008;high;Mya2;5,5;4
2008;high;Mya2;5,5;4
2008;high;Mya3;5,5;4
2008;high;Mya2;5;4
2008;high;Mya5;5,6;5
2008;high;Mya1;10,3;10
2008;high;Mya1;16,1;10
2008;high;Mya4;16,4;11
2008;high;Mya1;16,5;12
2008;high;Mya1;16,4;12
2008;high;Mya3;20,2;12
2008;high;Mya3;18,6;12
2008;high;Mya3;19,8;13
2008;high;Mya5;20,3;13
2008;high;Mya3;17,7;13
2008;high;Mya4;17,3;13
2008;high;Mya5;22;14
2008;high;Mya2;17,2;NA
2008;high;Mya4;20,8;NA
2008;high;Mya1;17,9;NA
2007;middle;13m1;3,8;2
2007;middle;13m1;9,2;4
2007;middle;13m1;9,8;5
2007;middle;13m1;14,6;7
2007;middle;13m2;2,3;1
2007;middle;13m2;2,9;1
2007;middle;13m2;3,2;1
2007;middle;13m2;3,7;1
2007;middle;13m2;8,4;4
2007;middle;13m3;7,4;4
2007;middle;13m3;12,8;5
2007;middle;13m3;16;7
2007;middle;14m2;4;2
2007;middle;14m2;6,4;3
2007;middle;14m2;16,8;9
2007;middle;14m3;3,8;2
2007;middle;14m3;4,6;2
2007;middle;14m3;5,7;2
2007;middle;14m3;14,8;8
2007;middle;14m3;17,3;7
2007;middle;14m3;18;10
2007;middle;15m1;9,4;3
2007;middle;15m1;14,8;6
2007;middle;15m3;8,3;5
2007;middle;16m1;4,3;2
2007;middle;16m2;5,5;2
2007;middle;17m1;4,8;1
2007;middle;17m1;5;2
2007;middle;17m1;5;2
2007;middle;17m1;6,3;2
2007;middle;17m1;7,3;4
2007;middle;17m1;NA;NA
2007;middle;17m2;13,1;5
2007;middle;17m2;15;5
2007;middle;17m2;19,5;8
2007;middle;18m1;4,7;2
2007;middle;18m1;4,8;2
2007;middle;18m1;5,2;2
2007;middle;18m2;17,1;5
2007;middle;18m3;15,6;6
2007;middle;18m3;16,7;7
2007;middle;18m3;17;8
2007;middle;19m1;3,4;1
2007;middle;19m1;7,6;4
2007;middle;19m2;3,7;1
2007;middle;19m3;4,2;1
2007;middle;20m1;3,1;2
