year;tidal_level;sample
2007;middle;13m1
2007;middle;13m2
2007;middle;13m3
2007;middle;14m1
2007;middle;14m2
2007;middle;14m3
2007;middle;15m1
2007;middle;15m2
2007;middle;15m3
2007;middle;16m1
2007;middle;16m2
2007;middle;16m3
2007;middle;17m1
2007;middle;17m2
2007;middle;17m3
2007;middle;18m1
2007;middle;18m2
2007;middle;18m3
2007;middle;19m1
2007;middle;19m2
2007;middle;19m3
2007;middle;20m1
2007;middle;20m2
2007;middle;20m3
2007;middle;21m1
2007;middle;21m2
2007;middle;21m3
2007;middle;22m1
2007;middle;22m2
2007;middle;22m3
2007;middle;23m1
2007;middle;23m2
2007;middle;23m3
2007;middle;24m1
2007;middle;24m2
2007;middle;24m3
2008;high;Mya1
2008;high;Mya2
2008;high;Mya3
2008;high;Mya4
2008;high;Mya5
2008;low;Mya6
2008;low;Mya7
2008;low;Mya8
2008;low;Mya9
2008;low;Mya10
