sample;X;Y;N_Cerastoderma_edule;B_Cerastoderma_edule;N_Macoma_balthica;B_Macoma_balthica;N_Mya_arenaria;B_Mya_arenaria;N_Pseudolibrotus_littoralis;B_Pseudolibrotus_littoralis;N_Mytilus_edulis;B_Mytilus_edulis;N_Gammarus_sp.
1m1;1168,5;42;0;;2;0,762;0;;1;0,006;1;0,304;0
1m2;1105,5;157,5;0;0;0;0;0;0;0;0;0;0;0
1m3;952,5;52,5;1;1,14;3;3,45;0;0;1;0,008;0;0;0
2m1;753;73,5;3;2,196;3;1,806;0;0;4;0,026;1;0,278;2
2m2;858;187;0;0;3;3,38;1;0,544;7;0,042;0;0;1
2m3;652,5;147;0;0;2;1,89;1;0,142;11;0,166;0;0;1
3m1;537;63;0;0;5;3,43;1;0,75;5;0,26;1;0,092;0
3m2;436,5;229;1;0,86;3;1,83;1;0,172;7;0,15;0;0;0
3m3;373,5;52,5;0;0;0;0;2;1,84;3;0,086;1;0,156;0
4m1;174;31,5;0;0;2;0,83;0;0;2;0,06;1;0,019;2
4m2;268,5;218,5;1;7,05;3;1,688;1;0,726;4;0,028;0;0;0
4m3;31,5;147;0;0;0;0;0;0;4;0,092;0;0;0
5m1;111;323,5;0;0;1;0,588;0;0;6;0,086;0;0;0
5m2;52,5;428,5;1;1,89;0;0;0;0;10;0,066;0;0;1
5m3;247,5;405,5;1;0,748;1;0,614;0;0;14;0,258;0;0;0
6m1;489;447,5;0;0;0;0;1;0,652;10;0,108;0;0;0
6m2;373,5;344,5;0;0;3;2,82;0;0;5;0,1;0;0;0
6m3;547,5;323,5;0;0;1;0,004;2;0,594;19;0,218;0;0;0
7m1;715,5;323,5;1;0,272;1;0,68;1;0,494;5;0,072;1;0,178;0
7m2;652,5;447,5;1;0,958;0;0;0;0;5;0,076;0;0;0
7m3;847,5;395;0;0;4;3,22;0;0;6;0,088;0;0;1
8m1;994,5;302,5;1;13,92;0;0;0;0;5;0,163;1;0,278;0
8m2;1147,5;302,5;0;0;1;1,25;0;0;8;0,13;0;0;0
8m3;1042,5;447,5;1;0,298;2;0,788;1;1,16;4;0,018;0;0;0
9m1;1137;542;0;0;2;0,12;0;0;4;0,097;2;0,228;3
9m2;952,5;552,5;0;0;2;0,54;0;0;0;0;0;0;1
9m3;1063,5;657,5;0;0;1;1,88;1;0,148;2;0,049;0;0;8
10m1;847,5;697,5;0;0;0;0;0;0;5;0,03;1;0,558;0
10m2;784,5;552,5;0;0;2;0,928;0;0;9;0,104;0;0;0
10m3;694,5;708;0;0;3;1,76;0;0;5;0,032;0;0;0
11m1;505,5;687;0;0;2;1,68;0;0;3;0,019;0;0;0
11m2;537;542;0;0;0;0;0;0;7;0,066;0;0;0
11m3;352,5;542;0;0;4;2,336;0;0;3;0,018;0;0;0
12m1;210;594,5;0;0;2;1,63;0;0;5;0,032;0;0;0
12m2;126;729;0;0;1;0,658;1;0,162;3;0,022;0;0;2
12m3;226,5;676,5;0;0;3;0,76;0;0;12;0,17;0;0;1
