sample;X;Y;N_Macoma_balthica;B_Macoma_balthica;N_Gammarus_sp.;B_Gammarus_sp.;N_Pseudolibrotus_littoralis;B_Pseudolibrotus_littoralis;N_Mytilus_edulis;B_Mytilus_edulis;N_Mya_arenaria;B_Mya_arenaria;N_Cerastoderma_edule;B_Cerastoderma_edule;Priapulus_N_caudatus;B_Priapulus_caudatus
1m1;1155;65;2;1,55;1;0,01;4;0,25;0;0;0;0;0;0;0;0
1m2;980;55;3;2,89;0;0;2;0,11;0;0;0;0;0;0;0;0
1m3;1080;180;3;1,72;3;0,01;0;0;0;0;0;0;0;0;0;0
2m1;850;215;0;0;0;0;1;0,6;0;0;0;0;0;0;0;0
2m2;700;195;2;0,55;0;0;0;1;0,05;0;0;0;0;0;0;0
2m3;790;60;6;4,42;1;0,01;1;0,05;0;0;0;0;0;0;0;0
3m1;465;50;4;1,28;0;0;1;0,04;0;0;2;2,33;0;0;0;0
3m2;340;55;7;6,32;1;0,01;0;0;0;0;0;0;0;0;0;0
3m3;410;210;0;0;0;0;13,3;0,05;1;0,01;1;1,23;1;1,69;0;0
4m1;55;20;1;1,48;0;0;0;0;0;0;1;1,37;0;0;0;0
4m2;60;205;0;0;0;0;11,7;0,04;0;0;1;2,65;1;0,47;0;0
4m3;210;190;4;2,11;0;0;2;0,13;0;0;0;0;0;0;0;0
5m1;1140;305;0;0;1;0,01;1;0,7;0;0;0;0;1;0,01;0;0
5m2;950;345;3;2,87;0;0;1;0,06;0;0;0;0;0;0;0;0
5m3;985;410;1;0,38;0;0;1;0,6;0;0;0;0;0;0;0;0
6m1;900;460;2;0,37;0;0;0;0;0;0;0;0;2;4,78;0;0
6m2;670;420;1;0,64;0;0;1;0,005;0;0;0;0;1;20,03;0;0
6m3;840;410;5;4,52;0;0;1;0,7;0;0;2;3,17;1;0,2;0;0
7m1;520;310;4;2,58;2;0,01;1;0,6;0;0;0;0;0;0;0;0
7m2;435;355;4;2,84;0;0;1;0,05;0;0;0;0;0;0;0;0
7m3;505;375;7;2,78;0;0;0;0;1;0,13;0;0;0;0;0;0
8m1;105;385;1;1,41;0;0;1;0,05;1;0,32;0;0;0;0;0;0
8m2;100;410;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8m3;260;385;3;1,23;0;0;0;0;0;0;2;4,24;1;0,01;0;0
9m1;1200;620;3;2,19;0;0;0;0;0;0;0;0;0;0;0;0
9m2;955;610;2;0,46;0;0;1;0,05;0;0;0;0;0;0;0;0
9m3;1135;700;4;0,16;1;0,01;1;0,06;0;0;0;0;0;0;0;0
10m1;750;580;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10m2;675;705;2;1,26;0;0;0;0;0;0;0;0;0;0;0;0
10m3;840;685;9;4,15;1;0,01;0;0;1;0,05;1;2,83;0;0;0;0
11m1;540;560;1;0,01;0;0;1;0,06;1;0,01;0;0;0;0;0;0
11m2;390;550;3;1,73;0;0;0;0;0;0;0;0;0;0;1;0,8
11m3;470;690;3;1,02;0;0;1;0,7;0;0;1;2,05;0;0;0;0
12m1;120;580;2;1,76;0;0;0;0;0;0;0;0;0;0;0;0
12m2;65;655;1;1,19;0;0;0;0;0;0;0;0;0;0;0;0
12m3;205;690;3;0,8;0;0;1;0,7;0;0;0;0;0;0;0;0
