sample;X;Y;N_Macoma_balthica;B_Macoma_balthica;N_Mytilus_edulis;B_Mytilus_edulis;N_Pseudolibrotus_littoralis;B_Pseudolibrotus_littoralis;N_Mya_arenaria;B_Mya_arenaria;N_Cerastoderma_edule;B_Cerastoderma_edule
13m1;1145;65;1;1,49;1;0,01;1;0,05;0;0;0;0
13m2;993;98;1;0,24;1;0,01;0;0;0;0;0;0
13m3;1064;173;3;0,73;0;0;0;0;0;0;0;0
14m1;704;65;3;2,18;0;0;1;0,07;0;0;0;0
14m2;690;194;4;1,12;0;0;2;0,07;1;0,03;0;0
14m3;890;100;2;1,71;0;0;0;0;0;0;0;0
15m1;493;50;6;3,5;2;0,23;2;0,12;0;0;0;0
15m2;360;43;0;0;4;1,89;1;0,07;0;0;0;0
15m3;336;230;4;3,31;0;0;1;0,05;1;2,12;0;0
16m1;219;63;0;0;1;0,82;0;0;1;0,61;0;0
16m2;5;200;0;0;1;0,01;1;0,05;0;0;0;0
16m3;236;203;2;1,04;0;0;1;0,07;1;2,49;1;2,95
17m1;1158;303;2;1,5;0;0;0;0;0;0;0;0
17m2;961;332;1;0,78;0;0;4;0,18;0;0;0;0
17m3;1003;470;3;1,84;0;0;0;0;0;0;0;0
18m1;847;437;2;0,7;2;0,01;0;0;1;2,08;0;0
18m2;694;334;0;0;0;0;1;0,07;0;0;0;0
18m3;633;442;4;2,11;0;0;0;0;1;0,93;0;0
19m1;527;329;3;2,87;0;0;1;0,07;0;0;0;0
19m2;349;415;1;1,18;0;0;0;0;0;0;0;0
19m3;519;470;2;0,38;0;0;1;0,07;0;0;0;0
20m1;217;400;0;0;0;0;0;0;0;0;0;0
20m2;270;285;1;0,06;0;0;2;0,11;0;0;0;0
20m3;15;338;2;1,71;0;0;0;0;1;1,87;0;0
21m1;950;547;1;0,76;0;0;0;0;0;0;0;0
21m2;1153;540;5;3,65;2;0,06;0;0;0;0;0;0
21m3;1085;695;4;3,61;1;0,01;0;0;0;0;0;0
22m1;837;565;6;4,93;0;0;0;0;1;0,25;0;0
22m2;652;544;1;0,62;0;0;0;0;0;0;0;0
22m3;700;677;1;0,18;0;0;0;0;1;1,34;0;0
23m1;518;551;3;0,75;1;0,01;1;0,05;1;1,55;0;0
23m2;547;698;2;0,55;1;0,1;0;0;0;0;0;0
23m3;338;700;1;0,85;0;0;0;0;0;0;0;0
24m1;230;656;1;1,24;0;0;0;0;0;0;0;0
24m2;52;720;1;0,94;0;0;1;0,07;1;1,02;0;0
24m3;44;532;0;0;0;0;1;0,07;0;0;0;0
