sample;X;Y;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14
25m1;1128;68;1;4;3;4;6;1;1;7;1;3;0;0;0;2
25m2;972;78;1;2;0;0;2;1;2;2;4;3;3;1;0;0
25m3;1046;220;0;11;6;5;5;2;0;5;6;3;0;3;2;0
26m1;740;115;0;0;0;0;0;3;0;5;8;4;3;0;0;0
26m2;794;199;0;3;0;0;2;2;0;3;4;5;2;0;1;0
26m3;626;205;1;6;1;0;0;1;2;4;1;2;0;0;0;0
27m1;488;97;0;1;0;1;1;0;3;4;0;4;0;0;0;0
27m2;364;70;0;0;0;1;4;4;2;1;8;5;1;1;0;0
27m3;431;210;0;0;1;1;0;2;2;2;2;2;1;1;1;1
28m1;269;57;1;0;0;2;0;1;1;8;4;5;0;1;0;0
28m2;104;176;0;0;0;0;1;3;7;3;2;0;0;0;0;0
28m3;237;175;0;1;0;0;0;3;3;1;3;1;0;0;0;0
29m1;188;310;1;0;0;1;2;1;3;4;0;1;0;0;0;0
29m2;40;438;0;1;0;0;1;0;1;4;0;1;0;0;0;0
29m3;222;424;0;0;0;0;0;0;2;3;2;2;0;0;0;0
30m1;529;330;0;7;1;0;1;3;3;2;0;1;0;1;0;0
30m2;366;302;0;0;2;0;1;1;2;3;4;0;0;1;0;0
30m3;442;458;0;0;0;0;2;1;1;2;2;0;0;1;0;0
31m1;644;423;0;0;5;2;3;0;3;0;3;2;1;0;0;0
31m2;711;310;0;1;1;0;3;3;4;3;1;0;0;0;0;0
31m3;837;450;1;2;2;0;1;1;0;2;5;1;4;2;1;0
32m1;955;303;2;6;5;3;2;3;6;4;2;0;0;1;0;0
32m2;1111;340;1;7;4;6;6;3;4;5;1;1;0;0;0;0
32m3;1045;446;0;8;5;1;3;4;0;6;5;2;3;1;0;0
33m1;1050;696;0;6;3;1;5;0;1;8;7;4;0;0;0;0
33m2;958;554;0;13;8;7;1;3;6;5;3;3;0;0;0;0
33m3;1129;535;1;10;7;1;4;5;1;3;3;3;1;0;0;0
34m1;642;687;1;4;1;0;0;4;3;3;2;1;0;0;0;0
34m2;740;570;0;0;3;1;0;1;2;1;3;1;1;1;1;0
34m3;834;707;1;15;4;1;3;9;6;1;1;0;0;0;0;0
35m1;340;540;1;3;0;1;0;1;2;1;1;4;1;0;2;0
35m2;565;533;1;2;3;1;1;1;2;1;3;3;0;0;1;1
35m3;466;684;0;0;2;0;1;2;4;3;0;2;0;1;0;0
36m1;129;578;0;2;0;4;0;1;0;0;0;0;0;0;0;0
36m2;45;670;1;1;1;0;0;0;0;1;1;2;0;0;0;0
36m3;248;700;0;2;2;3;4;1;0;0;1;1;0;0;0;0
