sample;X;Y;N_Macoma_balthica;B_Macoma_balthica;N_Cerastoderma_edule;B_Cerastoderma_edule;N_Priapulus_caudatus;B_Priapulus_caudatus;N_Crangon_crangon
25m1;1128;68;40;10,46;0;0;1;0,26;0
25m2;972;78;17;8,39;0;0;2;0,2;0
25m3;1046;220;52;10,65;0;0;1;0,27;1
26m1;740;115;32;10,43;0;0;1;0,03;0
26m2;794;199;28;5,59;0;0;1;0,03;0
26m3;626;205;24;6,24;0;0;1;0,02;0
27m1;488;97;21;6,91;0;0;6;0,49;0
27m2;364;70;31;7,85;0;0;7;0,12;0
27m3;431;210;18;7,09;0;0;3;0,26;0
28m1;269;57;25;5,73;0;0;6;0,24;1
28m2;104;176;24;5,4;0;0;8;0,23;0
28m3;237;175;20;5,71;0;0;2;0,08;1
29m1;188;310;20;6,54;0;0;3;0,05;1
29m2;40;438;14;3,84;0;0;9;0,3;0
29m3;222;424;12;3,46;0;0;5;0,8;0
30m1;529;330;27;4,16;1;3,26;1;0,01;0
30m2;366;302;17;3,86;1;4,99;0;0;0
30m3;442;458;10;2,27;0;0;2;0,2;0
31m1;644;423;28;4,26;2;5,76;0;0;0
31m2;711;310;22;5,19;1;3,8;4;0,86;0
31m3;837;450;26;6;0;0;2;0,22;0
32m1;955;303;45;9,85;1;6,42;0;0;1
32m2;1111;340;44;5,15;0;0;0;0;0
32m3;1045;446;21;7,66;0;0;1;0,25;0
33m1;1050;696;42;10,11;0;0;2;0,4;0
33m2;958;554;55;6,7;1;11,02;0;0;2
33m3;1129;535;48;7,64;0;0;0;0;1
34m1;642;687;21;2,49;1;2,89;0;0;2
34m2;740;570;22;5,34;1;4,7;1;0,02;0
34m3;834;707;45;4,58;0;0;1;0,03;0
35m1;340;540;20;4,22;0;0;5;0,31;0
35m2;565;533;24;5,49;0;0;1;0,15;0
35m3;466;684;18;2,57;0;0;10;0,44;1
36m1;129;578;14;2,47;0;0;2;0,16;0
36m2;45;670;7;1,41;0;0;3;0,13;0
36m3;248;700;14;0,72;0;0;7;0,09;0
