sample;X;Y;N_Cerastoderma_edule;B_Cerastoderma_edule;N_Macoma_balthica;B_Macoma_balthica;N_Mya_arenaria;B_Mya_arenaria;N_Mytilus_edulis;B_Mytilus_edulis
13m1;1179;52,5;0;0;4;1,2;0;0;102;13,6
13m2;921;176,5;0;0;5;0,1;0;0;93;10,5
13m3;963;47,25;0;0;3;1,1;0;0;80;13,6
14m1;773,5;218,5;0;0;0;0;0;0;26;4,95
14m2;710,5;31,5;1;8,7;3;1,2;0;0;135;22,4
14m3;642;208;0;0;6;3,7;0;0;39;5
15m1;500;31,5;1;0,186;2;0,86;0;0;9;3,02
15m2;489,5;229;0;0;0;0;0;0;4;0,7
15m3;331,5;84;0;0;1;0,165;0;0;10;0,4
16m1;258;218,5;0;0;1;0,009;1;0,54;56;13,82
16m2;100;57,75;0;0;1;0,246;0;0;18;4,68
16m3;52,5;218,5;0;0;0;0;0;0;13;2,81
17m1;47,25;463,25;0;0;6;0,17;0;0;15;3,55
17m2;242,25;328,75;0;0;3;2,55;0;0;20;1,83
17m3;126;437;0;0;0;0;0;0;0;0
18m1;363;281,5;0;0;3;0,045;0;0;33;8,98
18m2;426;405,5;0;0;1;1,15;0;0;0;0
18m3;547,5;276,25;1;0,44;3;2,5;0;0;79;12,96
19m1;631,5;405,5;0;0;2;0,0707514052;1;NA;73;15,4
19m2;837;292;0;0;1;0,014;1;0,175;45;7,91
19m3;805,5;426,5;0;0;1;0,014;0;0;141;20,23
20m1;973,5;281,5;0;0;4;3,3;0;0;61;8,8
20m2;1095;479;0;0;0;0;0;0;117;14,85
20m3;1116;292;0;0;2;0,0933760285;0;0;162;31,2
21m1;1142,25;536,75;0;0;2;1,35;0;0;78;7,63
21m2;1147,5;655,5;0;0;2;0,0018829309;0;0;90;10,1
21m3;973,5;563;0;0;7;1,9;0;0;97;13,4
22m1;800,25;708;0;0;0;0;0;0;99;13,1
22m2;705;563;0;0;3;0,169;0;0;146;22,23
22m3;684;708;1;NA;4;1;1;5;138;29
23m1;489,75;708;0;0;5;4;0;0;21;5
23m2;436,5;552,5;0;0;4;0,73;0;0;81;10,45
23m3;373,5;697,5;0;0;2;0,68;0;0;27;3,59
24m1;195;536,75;0;0;0;0;0;0;6;0,38
24m2;141,75;708;0;0;2;1,1;0;0;27;2,5
24m3;73,5;542;1;NA;1;0,0128451714;0;NA;52;27
