region	site	Cerastoderma_edule_=_Cardium_edule	Macoma_balthica_=_Tellina_balthica	Mya_arenaria	Mytilus_edulis	Turtonia_minuta	Hyale_prevosti	Gammarus_spp.	Pontoporeia_femorata	Pseudalibrotus_littoralis	Balanus_balanoides	Crangon_crangon	Jaera_marina	Chironomidae_larvae_=_Tendipididae	Buccinum_spp.	Hydrobia_ulvae	Littorina_littorea	Littorina_sp.	Skeneopsis_planorbis_=_Skenea_planorbis	Balanoglossum_mereschkowskii	Nemertini	Oligochaeta	Arenicola_marina	Capitellidae	Glycera_capitata=Glycera_setosa	Nephtydae	Nereidae	Orbiniidae	Pectinaria_koreni	Phyllodocidae	Sabellidae	Spionidae	Halicryptus_spinulosus	Priapulus_caudatus	
1	Ekaterininskaya_gavan	0	10	0	6	0	0	3	1	0	0	0	2	5	0	1	1	6	3	0	1	7	2	3	0	0	0	2	1	3	9	8	9	5	
1	Pala	3	4	0	3	0	1	2	0	0	0	1	0	1	0	2	1	2	0	0	1	5	2	2	0	1	3	1	0	3	3	3	0	2	
1	Olenya	3	6	2	2	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	3	1	0	3	0	6	1	2	3	8	5	3	
1	Sayda	1	4	2	3	0	0	0	0	0	1	0	0	0	0	4	2	1	0	0	0	0	2	1	0	0	0	0	1	2	1	0	1	2	
1	Lopskiy	1	3	2	2	0	0	1	0	0	0	1	0	0	1	1	4	0	0	0	0	2	5	0	0	1	0	4	2	2	2	8	0	4	
1	Bol_Oleniy	1	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	2	0	1	1	2	1	3	
1	Volokovaya	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	2	1	4	1	1	
1	Antonova	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	1	1	2	0	0	
1	Tyuva	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	2	1	
1	Srednyaya	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	
1	Vaenga	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	1	1	
1	Varlamova	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	
1	Gryaznaya	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	3	1	0	
1	Chemplushka	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	3	2	0	
1	Roslyakova	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	
1	reka_Rosta	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	3	0	0	
1	Kupchinka	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	
1	Bazisniy	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	
1	Murmansk	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	3	2	0	
1	uste_Koly	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
1	Pitkova	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
1	Belokamenka	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	2	1	0	
1	Lavna	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	1	0	
1	uste_Tulomy	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
1	Dvory	1	7	3	3	0	0	4	1	0	0	0	0	0	2	0	0	3	0	0	2	5	8	4	1	1	0	4	2	6	3	4	7	7	
2	Ura	4	7	3	2	0	0	1	0	3	0	0	0	0	0	0	2	0	0	0	0	1	8	5	7	7	0	6	6	10	6	11	1	3	
2	Ara	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	2	1	1	0	
2	Titovka	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	4	0	1	0	0	
2	Kutovaya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	2	0	1	0	0	
2	Ozerki	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	
2	Vayda	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	
3	Teriberka	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	2	0	3	0	2	1	4	1	1	
3	Porchnikha	1	2	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	3	1	1	0	0	0	3	0	0	1	2	1	2	
3	Rynda	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	0	0	0	2	0	1	1	4	0	0	
3	estuariy_Zolotoy	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	
3	Dalniy_Plyazh	5	7	5	8	1	0	1	0	2	0	0	0	2	0	0	0	1	2	1	8	11	6	4	0	0	0	10	0	7	4	6	2	4	
3	Yarnyshnaya	2	4	3	4	0	0	2	0	0	0	0	1	3	0	1	1	2	1	0	4	8	2	0	0	0	0	2	0	2	2	2	0	0	
1	Abram	0	2	0	2	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	1	4	0	1	0	0	1	1	0	0	1	1	0	0	
3	Gavrilovskaya	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	6	0	1	0	0	0	1	0	0	1	2	0	0	
3	Shelpinskaya	0	2	0	2	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	4	2	0	0	0	0	0	0	0	2	2	0	0	
3	Ivanovskaya	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	
