area;tidal_level;start_size;growth.mm
Abram-mys;middle;<3,0;1,3
Abram-mys;middle;<3,0;1,2083333333
Abram-mys;middle;<3,0;1,0041666667
Abram-mys;middle;<3,0;1,325
Abram-mys;middle;<3,0;0,7333333333
Abram-mys;middle;<3,0;1,0666666667
Abram-mys;middle;<3,0;1,15
Abram-mys;middle;<3,0;1,1
Abram-mys;middle;<3,0;1,5
Abram-mys;middle;<3,0;1,675
Abram-mys;middle;<3,0;1,225
Abram-mys;middle;<3,0;0,685
Abram-mys;middle;<3,0;1,2666666667
Abram-mys;middle;<3,0;1,1208333333
Abram-mys;middle;<3,0;1,4166666667
Abram-mys;middle;<3,0;1,2
Abram-mys;middle;3,1-6,0;0,825
Abram-mys;middle;3,1-6,0;1,1
Abram-mys;middle;3,1-6,0;1
Abram-mys;middle;3,1-6,0;1,26
Abram-mys;middle;3,1-6,0;1,2013888889
Abram-mys;middle;3,1-6,0;0,6933333333
Abram-mys;middle;3,1-6,0;0,7
Abram-mys;middle;3,1-6,0;1,1
Abram-mys;middle;3,1-6,0;1,175
Abram-mys;middle;3,1-6,0;0,88
Abram-mys;middle;3,1-6,0;1,0036363636
Abram-mys;middle;3,1-6,0;1,3111111111
Abram-mys;middle;3,1-6,0;1,165
Abram-mys;middle;3,1-6,0;0,86
Abram-mys;middle;3,1-6,0;1
Abram-mys;middle;3,1-6,0;0,88
Abram-mys;middle;3,1-6,0;1,2363636364
Abram-mys;middle;3,1-6,0;1,1909090909
Abram-mys;middle;3,1-6,0;1,2583333333
Abram-mys;middle;3,1-6,0;1,0233333333
Abram-mys;middle;3,1-6,0;0,7
Abram-mys;middle;6,1-9,0;1,0727272727
Abram-mys;middle;6,1-9,0;1,2272727273
Abram-mys;middle;6,1-9,0;1,1166666667
Abram-mys;middle;6,1-9,0;1,3
Abram-mys;middle;6,1-9,0;0,7333333333
Abram-mys;middle;6,1-9,0;0,8909090909
Abram-mys;middle;6,1-9,0;1,1
Abram-mys;middle;6,1-9,0;1,05
Abram-mys;middle;6,1-9,0;1,5666666667
Abram-mys;middle;6,1-9,0;0,95
Abram-mys;middle;6,1-9,0;0,95
Abram-mys;middle;6,1-9,0;1,4
Abram-mys;middle;9,1-12,0;1,0333333333
Abram-mys;middle;9,1-12,0;1,2333333333
Abram-mys;middle;9,1-12,0;1
Abram-mys;low;< 3,0;1,1
Abram-mys;low;< 3,0;1,1380952381
Abram-mys;low;< 3,0;0,9
Abram-mys;low;< 3,0;1,7666666667
Abram-mys;low;< 3,0;0,9333333333
Abram-mys;low;< 3,0;1,625
Abram-mys;low;< 3,0;1,15
Abram-mys;low;< 3,0;1,05
Abram-mys;low;< 3,0;1,3366666667
Abram-mys;low;< 3,0;1,1
Abram-mys;low;< 3,0;0,9466666667
Abram-mys;low;< 3,0;1,5416666667
Abram-mys;low;< 3,0;1,425
Abram-mys;low;< 3,0;1,6
Abram-mys;low;< 3,0;1,1666666667
Abram-mys;low;3,1-6,0;1,3
Abram-mys;low;3,1-6,0;1,4333333333
Abram-mys;low;3,1-6,0;1,48
Abram-mys;low;3,1-6,0;0,8833333333
Abram-mys;low;3,1-6,0;1,025
Abram-mys;low;3,1-6,0;1,4
Abram-mys;low;3,1-6,0;1,0166666667
Abram-mys;low;3,1-6,0;1,0166666667
Abram-mys;low;3,1-6,0;1,14
Abram-mys;low;3,1-6,0;1,325
Abram-mys;low;3,1-6,0;1,225
Abram-mys;low;3,1-6,0;0,8833333333
Abram-mys;low;3,1-6,0;1,1
Abram-mys;low;3,1-6,0;1,02
Abram-mys;low;6,1-9,0;1,075
Abram-mys;low;6,1-9,0;1,425
Abram-mys;low;6,1-9,0;1,7333333333
Abram-mys;low;6,1-9,0;1,425
Abram-mys;low;6,1-9,0;0,9
Abram-mys;low;6,1-9,0;0,975
Abram-mys;low;6,1-9,0;0,8
Abram-mys;low;6,1-9,0;1,025
Abram-mys;low;6,1-9,0;1,275
Abram-mys;low;6,1-9,0;1,1333333333
Abram-mys;low;6,1-9,0;0,875
Abram-mys;low;6,1-9,0;1,4
Abram-mys;low;9,1-12,0;1,1
Abram-mys;low;9,1-12,0;0,9666666667
Abram-mys;low;9,1-12,0;1,4
Abram-mys;low;9,1-12,0;0,9
Abram-mys;low;9,1-12,0;1,5
Abram-mys;low;9,1-12,0;0,675
Abram-mys;low;9,1-12,0;0,8
Pala;middle;< 3,0;1,1327272727
Pala;middle;< 3,0;0,9298051948
Pala;middle;< 3,0;1,0547619048
Pala;middle;< 3,0;0,7666666667
Pala;middle;< 3,0;
Pala;middle;< 3,0;1,6666666667
Pala;middle;< 3,0;1,2755519481
Pala;middle;< 3,0;1,4933333333
Pala;middle;< 3,0;1,8666666667
Pala;middle;< 3,0;1,1
Pala;middle;< 3,0;1,2333333333
Pala;middle;< 3,0;2,15
Pala;middle;< 3,0;2,12
Pala;middle;< 3,0;0,9
Pala;middle;3,1-6,0;1,2
Pala;middle;3,1-6,0;1,7333333333
Pala;middle;3,1-6,0;1,32
Pala;middle;3,1-6,0;2,4
Pala;middle;3,1-6,0;2
Pala;middle;3,1-6,0;1,4
Pala;middle;3,1-6,0;2,9
Pala;middle;6,1-9,0;1,68
Pala;middle;6,1-9,0;1,05
Pala;middle;6,1-9,0;1,1
Pala;middle;6,1-9,0;1,52
Pala;middle;6,1-9,0;1,45
Pala;middle;9,1-12,0;1,4
Pala;low;< 3,0;1,25
Pala;low;< 3,0;1,0076923077
Pala;low;< 3,0;1,0523809524
Pala;low;< 3,0;1,1194444444
Pala;low;< 3,0;1,00625
Pala;low;< 3,0;1,1876190476
Pala;low;< 3,0;1,33
Pala;low;< 3,0;1,1384615385
Pala;low;< 3,0;1,3357142857
Pala;low;< 3,0;1,2
Pala;low;< 3,0;1,0875
Pala;low;< 3,0;1,2171428571
Pala;low;< 3,0;1,4325
Pala;low;< 3,0;1,4285714286
Pala;low;3,1-6,0;1,4666666667
Pala;low;3,1-6,0;1,1875
Pala;low;3,1-6,0;1,2619047619
Pala;low;3,1-6,0;1,1625
Pala;low;3,1-6,0;1,3833333333
Pala;low;3,1-6,0;1,6333333333
Pala;low;3,1-6,0;1,4125
Pala;low;3,1-6,0;1,4761904762
Pala;low;3,1-6,0;1,475
Pala;low;3,1-6,0;1,7333333333
Pala;low;3,1-6,0;1,85625
Pala;low;3,1-6,0;1,6364285714
Pala;low;3,1-6,0;1,0125
Pala;low;6,1-9,0;1,4125
Pala;low;6,1-9,0;1,7333333333
Pala;low;6,1-9,0;1,425
Pala;low;6,1-9,0;1,4666666667
Pala;low;6,1-9,0;1,4254761905
Pala;low;6,1-9,0;0,8333333333
Pala;low;9,1-12,0;0,85
Gavrilovo;middle;< 3,0;0,7
Gavrilovo;middle;< 3,0;0,9
Gavrilovo;middle;< 3,0;1
Gavrilovo;middle;< 3,0;0,7
Gavrilovo;middle;< 3,0;0,8
Gavrilovo;middle;< 3,0;1,2
Gavrilovo;middle;< 3,0;0,8
Gavrilovo;middle;< 3,0;1,3
Gavrilovo;middle;< 3,0;1,3
Gavrilovo;middle;< 3,0;0,9
Gavrilovo;middle;< 3,0;1
Gavrilovo;middle;< 3,0;1
Gavrilovo;middle;< 3,0;1,2
Gavrilovo;middle;< 3,0;0,7
Gavrilovo;middle;< 3,0;0,95
Gavrilovo;middle;< 3,0;2,1
Gavrilovo;middle;< 3,0;0,8
Gavrilovo;middle;< 3,0;1,6
Gavrilovo;middle;< 3,0;1,1833333333
Gavrilovo;middle;< 3,0;1,1
Gavrilovo;middle;3,1-6,0;1,7
Gavrilovo;middle;3,1-6,0;2,25
Gavrilovo;middle;3,1-6,0;1,4
Gavrilovo;middle;3,1-6,0;1
Gavrilovo;middle;3,1-6,0;1,15
Gavrilovo;middle;3,1-6,0;1,35
Gavrilovo;middle;3,1-6,0;2,4
Gavrilovo;middle;3,1-6,0;1,5
Gavrilovo;middle;3,1-6,0;1,55
Gavrilovo;middle;3,1-6,0;1,4
Gavrilovo;middle;3,1-6,0;1,19
Gavrilovo;middle;3,1-6,0;1,275
Gavrilovo;middle;3,1-6,0;1,6
Gavrilovo;middle;3,1-6,0;1,1
Gavrilovo;middle;3,1-6,0;1,5
Gavrilovo;middle;3,1-6,0;1,52
Gavrilovo;middle;3,1-6,0;0,925
Gavrilovo;middle;6,1-9,0;1
Gavrilovo;middle;6,1-9,0;2,1
Gavrilovo;middle;6,1-9,0;1,45
Gavrilovo;middle;6,1-9,0;1,15
Gavrilovo;middle;6,1-9,0;1,4
Gavrilovo;middle;6,1-9,0;1,05
Gavrilovo;middle;6,1-9,0;1,75
Gavrilovo;middle;6,1-9,0;0,8
Gavrilovo;middle;6,1-9,0;0,94
Gavrilovo;middle;6,1-9,0;0,975
Gavrilovo;middle;6,1-9,0;2
Gavrilovo;middle;6,1-9,0;1,1
Gavrilovo;middle;6,1-9,0;1,35
Gavrilovo;middle;6,1-9,0;1,24
Gavrilovo;middle;6,1-9,0;1,15
Gavrilovo;middle;9,1-12,0;1,4
Gavrilovo;middle;9,1-12,0;1,65
Gavrilovo;middle;9,1-12,0;1,6
Gavrilovo;middle;9,1-12,0;1,55
Gavrilovo;middle;9,1-12,0;1,05
Gavrilovo;middle;9,1-12,0;1,44
Gavrilovo;middle;9,1-12,0;1,075
Gavrilovo;middle;9,1-12,0;1,4
Gavrilovo;middle;9,1-12,0;1,32
Gavrilovo;middle;9,1-12,0;1,1
Gavrilovo;middle;9,1-12,0;1,275
Gavrilovo;middle;9,1-12,0;1,6
