area;tidal_level;start_size;growth.mm
Abram-mys;middle;<3,0;1,3
Abram-mys;middle;<3,0;1,2083333333
Abram-mys;middle;<3,0;1,0041666667
Abram-mys;middle;<3,0;1,325
Abram-mys;middle;<3,0;0,7333333333
Abram-mys;middle;<3,0;1,0666666667
Abram-mys;middle;<3,0;1,15
Abram-mys;middle;<3,0;1,1
Abram-mys;middle;<3,0;1,5
Abram-mys;middle;<3,0;1,675
Abram-mys;middle;<3,0;1,225
Abram-mys;middle;<3,0;0,685
Abram-mys;middle;<3,0;1,2666666667
Abram-mys;middle;<3,0;1,1208333333
Abram-mys;middle;<3,0;1,4166666667
Abram-mys;middle;<3,0;1,2
Abram-mys;middle;3,1-6,0;0,825
Abram-mys;middle;3,1-6,0;1,1
Abram-mys;middle;3,1-6,0;1
Abram-mys;middle;3,1-6,0;1,26
Abram-mys;middle;3,1-6,0;1,2013888889
Abram-mys;middle;3,1-6,0;0,6933333333
Abram-mys;middle;3,1-6,0;0,7
Abram-mys;middle;3,1-6,0;1,1
Abram-mys;middle;3,1-6,0;1,175
Abram-mys;middle;3,1-6,0;0,88
Abram-mys;middle;3,1-6,0;1,0036363636
Abram-mys;middle;3,1-6,0;1,3111111111
Abram-mys;middle;3,1-6,0;1,165
Abram-mys;middle;3,1-6,0;0,86
Abram-mys;middle;3,1-6,0;1
Abram-mys;middle;3,1-6,0;0,88
Abram-mys;middle;3,1-6,0;1,2363636364
Abram-mys;middle;3,1-6,0;1,1909090909
Abram-mys;middle;3,1-6,0;1,2583333333
Abram-mys;middle;3,1-6,0;1,0233333333
Abram-mys;middle;3,1-6,0;0,7
Abram-mys;middle;6,1-9,0;1,0727272727
Abram-mys;middle;6,1-9,0;1,2272727273
Abram-mys;middle;6,1-9,0;1,1166666667
Abram-mys;middle;6,1-9,0;1,3
Abram-mys;middle;6,1-9,0;0,7333333333
Abram-mys;middle;6,1-9,0;0,8909090909
Abram-mys;middle;6,1-9,0;1,1
Abram-mys;middle;6,1-9,0;1,05
Abram-mys;middle;6,1-9,0;1,5666666667
Abram-mys;middle;6,1-9,0;0,95
Abram-mys;middle;6,1-9,0;0,95
Abram-mys;middle;6,1-9,0;1,4
Abram-mys;middle;9,1-12,0;1,0333333333
Abram-mys;middle;9,1-12,0;1,2333333333
Abram-mys;middle;9,1-12,0;1
Pala;middle;<3,0;1,1327272727
Pala;middle;<3,0;0,9298051948
Pala;middle;<3,0;1,0547619048
Pala;middle;<3,0;0,7666666667
Pala;middle;<3,0;
Pala;middle;<3,0;1,6666666667
Pala;middle;<3,0;1,2755519481
Pala;middle;<3,0;1,4933333333
Pala;middle;<3,0;1,8666666667
Pala;middle;<3,0;1,1
Pala;middle;<3,0;1,2333333333
Pala;middle;<3,0;2,15
Pala;middle;<3,0;2,12
Pala;middle;<3,0;0,9
Pala;middle;3,1-6,0;1,2
Pala;middle;3,1-6,0;1,7333333333
Pala;middle;3,1-6,0;1,32
Pala;middle;3,1-6,0;2,4
Pala;middle;3,1-6,0;2
Pala;middle;3,1-6,0;1,4
Pala;middle;3,1-6,0;2,9
Pala;middle;6,1-9,0;1,68
Pala;middle;6,1-9,0;1,05
Pala;middle;6,1-9,0;1,1
Pala;middle;6,1-9,0;1,52
Pala;middle;6,1-9,0;1,45
Pala;middle;9,1-12,0;1,4
Gavrilovo;middle;<3,0;0,7
Gavrilovo;middle;<3,0;0,9
Gavrilovo;middle;<3,0;1
Gavrilovo;middle;<3,0;0,7
Gavrilovo;middle;<3,0;0,8
Gavrilovo;middle;<3,0;1,2
Gavrilovo;middle;<3,0;0,8
Gavrilovo;middle;<3,0;1,3
Gavrilovo;middle;<3,0;1,3
Gavrilovo;middle;<3,0;0,9
Gavrilovo;middle;<3,0;1
Gavrilovo;middle;<3,0;1
Gavrilovo;middle;<3,0;1,2
Gavrilovo;middle;<3,0;0,7
Gavrilovo;middle;<3,0;0,95
Gavrilovo;middle;<3,0;2,1
Gavrilovo;middle;<3,0;0,8
Gavrilovo;middle;<3,0;1,6
Gavrilovo;middle;<3,0;1,1833333333
Gavrilovo;middle;<3,0;1,1
Gavrilovo;middle;3,1-6,0;1,7
Gavrilovo;middle;3,1-6,0;2,25
Gavrilovo;middle;3,1-6,0;1,4
Gavrilovo;middle;3,1-6,0;1
Gavrilovo;middle;3,1-6,0;1,15
Gavrilovo;middle;3,1-6,0;1,35
Gavrilovo;middle;3,1-6,0;2,4
Gavrilovo;middle;3,1-6,0;1,5
Gavrilovo;middle;3,1-6,0;1,55
Gavrilovo;middle;3,1-6,0;1,4
Gavrilovo;middle;3,1-6,0;1,19
Gavrilovo;middle;3,1-6,0;1,275
Gavrilovo;middle;3,1-6,0;1,6
Gavrilovo;middle;3,1-6,0;1,1
Gavrilovo;middle;3,1-6,0;1,5
Gavrilovo;middle;3,1-6,0;1,52
Gavrilovo;middle;3,1-6,0;0,925
Gavrilovo;middle;6,1-9,0;1
Gavrilovo;middle;6,1-9,0;2,1
Gavrilovo;middle;6,1-9,0;1,45
Gavrilovo;middle;6,1-9,0;1,15
Gavrilovo;middle;6,1-9,0;1,4
Gavrilovo;middle;6,1-9,0;1,05
Gavrilovo;middle;6,1-9,0;1,75
Gavrilovo;middle;6,1-9,0;0,8
Gavrilovo;middle;6,1-9,0;0,94
Gavrilovo;middle;6,1-9,0;0,975
Gavrilovo;middle;6,1-9,0;2
Gavrilovo;middle;6,1-9,0;1,1
Gavrilovo;middle;6,1-9,0;1,35
Gavrilovo;middle;6,1-9,0;1,24
Gavrilovo;middle;6,1-9,0;1,15
Gavrilovo;middle;9,1-12,0;1,4
Gavrilovo;middle;9,1-12,0;1,65
Gavrilovo;middle;9,1-12,0;1,6
Gavrilovo;middle;9,1-12,0;1,55
Gavrilovo;middle;9,1-12,0;1,05
Gavrilovo;middle;9,1-12,0;1,44
Gavrilovo;middle;9,1-12,0;1,075
Gavrilovo;middle;9,1-12,0;1,4
Gavrilovo;middle;9,1-12,0;1,32
Gavrilovo;middle;9,1-12,0;1,1
Gavrilovo;middle;9,1-12,0;1,275
Gavrilovo;middle;9,1-12,0;1,6
Gavrilovo;middle;12,1-15,0;1,3
Gavrilovo;middle;12,1-15,0;1,45
Gavrilovo;middle;12,1-15,0;1,05
Gavrilovo;middle;12,1-15,0;1,7
Gavrilovo;middle;12,1-15,0;0,8
Gavrilovo;middle;12,1-15,0;1,15
Gavrilovo;middle;12,1-15,0;1,05
Gavrilovo;middle;12,1-15,0;1,18
Gavrilovo;middle;12,1-15,0;1,75
Gavrilovo;middle;12,1-15,0;1,08
Gavrilovo;middle;12,1-15,0;1,35
Gavrilovo;middle;12,1-15,0;0,9
Gavrilovo;middle;12,1-15,0;1,25
Gavrilovo;middle;12,1-15,0;0,775
Gavrilovo;middle;>15,1;0,8
Gavrilovo;middle;>15,1;1,4
Gavrilovo;middle;>15,1;0,7
Gavrilovo;middle;>15,1;0,85
Yarnyshnaya;middle;<3,0;1,5
Yarnyshnaya;middle;<3,0;3,3
Yarnyshnaya;middle;<3,0;1,08
Yarnyshnaya;middle;<3,0;3,2833333333
Yarnyshnaya;middle;<3,0;2,34
Yarnyshnaya;middle;<3,0;2,1
Yarnyshnaya;middle;<3,0;2,4333333333
Yarnyshnaya;middle;<3,0;2,16
Yarnyshnaya;middle;3,1-6,0;1,8
Yarnyshnaya;middle;3,1-6,0;2,38
Yarnyshnaya;middle;3,1-6,0;3,5833333333
Yarnyshnaya;middle;3,1-6,0;3,1
Yarnyshnaya;middle;3,1-6,0;3,2
Yarnyshnaya;middle;3,1-6,0;1,85
Yarnyshnaya;middle;6,1-9,0;2,7
Yarnyshnaya;middle;6,1-9,0;2,6
Yarnyshnaya;middle;6,1-9,0;2,675
Yarnyshnaya;middle;6,1-9,0;2,75
Yarnyshnaya;middle;9,1-12,0;2,5166666667
Yarnyshnaya;middle;9,1-12,0;1,2166666667
Yarnyshnaya;middle;9,1-12,0;2,06
Yarnyshnaya;middle;9,1-12,0;2,35
Yarnyshnaya;middle;9,1-12,0;2,35
Yarnyshnaya;middle;9,1-12,0;1,25
Yarnyshnaya;middle;12,1-15,0;1,84
Yarnyshnaya;middle;12,1-15,0;1,55
Yarnyshnaya;middle;12,1-15,0;1,75
Yarnyshnaya;middle;12,1-15,0;1,475
DP;middle;<3,0;3,4058823529
DP;middle;<3,0;2,5
DP;middle;<3,0;4
DP;middle;<3,0;4,48
DP;middle;<3,0;1,8777777778
DP;middle;<3,0;2,9666666667
DP;middle;<3,0;2,9666666667
DP;middle;<3,0;2,9
DP;middle;<3,0;1,6
DP;middle;3,1-6,0;3
DP;middle;3,1-6,0;4,15
DP;middle;3,1-6,0;4,37
DP;middle;3,1-6,0;3,0555555556
DP;middle;3,1-6,0;2,65
DP;middle;3,1-6,0;1,8333333333
DP;middle;3,1-6,0;2,2
DP;middle;3,1-6,0;1,6
DP;middle;3,1-6,0;2,2
DP;middle;3,1-6,0;2
DP;middle;3,1-6,0;2,8
DP;middle;3,1-6,0;1,95
DP;middle;6,1-9,0;2,8333333333
DP;middle;6,1-9,0;2,3166666667
DP;middle;6,1-9,0;2,969047619
DP;middle;6,1-9,0;1,7
DP;middle;6,1-9,0;1,7
DP;middle;6,1-9,0;1,3
DP;middle;6,1-9,0;1
DP;middle;6,1-9,0;1,3
DP;middle;6,1-9,0;1,45
DP;middle;6,1-9,0;1
DP;middle;6,1-9,0;1
DP;middle;6,1-9,0;1,3
DP;middle;9,1-12,0;2,025
