area;tidal_level;Amphiporus_lactiflorens;Arenicola_marina;Capitella_capitata;Cerastoderma_edule;Chironomidae_gen.sp.;Clitellio_arenarius;Crangon_crangon;Cricotopus_sp.;Echiuridae_?;Enchytraeidae;Epheria_vincta;Eteone_longa;Fabricia_sabella;Gammarus_sp.;Hyale_prevosti;Hydrobia_ulvae;Jaera_sp.;Lineus_gesserensis;Lineus_ruber;Lineus_sp.;Littorina_saxatilis;Macoma_balthica;Mya_arenaria;Mytilus_edulis;Nainereis_quadricuspida;Nais_sp.;Nemertini;Nereis_pelagica;Nereis_sp.;Nereis_virens;Onoba_aculeas;Paranais_littoralis;Pectinaria_koreni;Phyllodoce_groenlandica;Polydora_quadrilobata;Priapulus_caudatus;Pseudolibrotus_littoralis;Pygospio_elegans;Scalibregma_infundibulum;Scoloplos_armiger;Skineopsis_planorbis;Spio_sp.;Travisia_forbesii;Tubifex_costatus;Tubificidae_gen.sp.;Tubificoides_benedeni;Turbellaria_gen.sp.;Turtonia_minuta;ДТО;зеленая_Sabellidae;нитчатка
Pala;middle;0;0;1;1;0;0;0;0;0;1;0;1;1;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0
DZ;middle;0;1;1;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0
Porchnikha;middle;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0
Yarnyshnaya;middle;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;1
Pala;low;0;0;1;1;0;0;1;1;0;0;1;1;0;1;1;1;0;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1
Abram;middle;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0
Abram;low;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Shelpino;high;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
Shelpino;middle;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
Gavrilovo;middle;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0
Gavrilovo;low;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Yarnyshnaya;low;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0
Yarnyshnaya;high;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ivanovskaya;subtidal;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0
