taxon;species
Turbellaria;Turbellaria varia
Nemertini;Amphiporus lactiflorens
Nemertini;Lineus gesserensis
Nemertini;Lineus ruber
Nemertini;Nemertini varia
Priapulida;Priapulus caudatus
Oligochaeta;Capitella capitata
Oligochaeta;Enchytraeidae varia
Oligochaeta;Nais sp.
Oligochaeta;Oligochaeta gen. sp.
Oligochaeta;Paranais littoralis
Oligochaeta;Tubifex costatus
Oligochaeta;Tubificidae varia
Oligochaeta;Tubificoides benedeni
Polychaeta;Alitta virens
Polychaeta;Arenicola marina
Polychaeta;Clitellio arenarius
Polychaeta;Eteone longa
Polychaeta;Fabricia sabella
Polychaeta;Nainereis quadricuspida
Polychaeta;Nereis pelagica
Polychaeta;Nereis sp.
Polychaeta;Pectinaria koreni
Polychaeta;Phyllodoce groenlandica
Polychaeta;Polydora quadrilobata
Polychaeta;Pygospio elegans
Polychaeta;Sabellidae varia
Polychaeta;Scalibregma infundibulum
Polychaeta;Scoloplos armiger
Polychaeta;Spio sp.
Polychaeta;Travisia forbesii
Isopoda;Jaera sp.
Amphipoda;Gammarus sp.
Amphipoda;Hyale prevosti
Amphipoda;Pseudolibrotus littoralis
Decapoda;Crangon crangon
Diptera;Chironomidae varia
Gastropoda;Epheria vincta
Gastropoda;Hydrobia ulvae
Gastropoda;Littorina gr. obtusata
Gastropoda;Littorina gr. saxatilis
Gastropoda;Onoba aculeas
Gastropoda;Skineopsis planorbis
Bivalvia;Cerastoderma edule
Bivalvia;Macoma balthica
Bivalvia;Mya arenaria
Bivalvia;Mytilus edulis
Bivalvia;Turtonia minuta
