"Year";"jan";"feb";"mar";"apr";"may";"jun";"jul";"aug";"sep";"oct";"nov";"dec"
2000;4,50;3,76;3,16;2,96;3,32;4,30;5,50;7,88;8,29;7,70;6,60;5,70
2001;4,75;3,86;3,20;2,96;3,20;5,06;6,94;8,11;8,70;7,30;6,00;4,65
2002;3,70;3,12;2,76;2,72;3,80;5,35;6,98;8,56;8,20;7,52;5,88;4,66
2003;3,52;2,71;2,41;2,41;3,46;5,01;6,78;8,43;8,73;7,64;6,22;5,25
2004;4,48;3,76;3,05;2,97;4,61;6,04;7,80;9,02;8,84;7,55;6,03;5,13
2005;4,46;3,77;3,15;2,91;3,42;5,30;7,34;8,77;8,99;7,98;6,84;5,96
2006;5,18;4,42;3,68;3,50;4,40;5,10;6,89;8,46;8,52;7,64;6,48;5,24
2007;4,66;4,07;3,57;3,40;4,18;5,46;7,22;9,07;8,88;8,07;6,86;6,00
2008;5,14;4,36;3,63;3,35;3,54;4,86;6,50;7,97;8,00;7,07;6,18;5,27
2009;4,55;3,82;3,29;3,08;3,55;4,60;6,60;8,04;8,17;7,44;6,41;5,74
2010;4,76;3,78;3,20;3,20;3,49;4,85;6,81;8,51;8,33;7,33;6,17;4,80
2011;3,95;3,18;2,52;2,78;3,68;5,08;7,50;8,14;8,52;8,13;6,34;5,78
2012;5,06;4,05;3,34;3,37;4,04;5,75;7,25;8,43;8,56;7,58;6,47;5,14
2013;4,46;3,82;3,24;3,03;4,30;5,99;8,10;9,99;9,91;8,60;7,03;5,76
