"";"Eclust1";"Eclust2";"Eclust3";"Eclust4";"Eclust5";"Eclust6"
"1";2,2175;5,69;1,34428571428571;0,923125;6,5225;5
"2";5,335;8,45;3,36;2,04125;9,605;10,36
"3";8,5775;10,34;6,21;3,345625;12,2125;14,45
"4";11,4625;12,07;9,08714285714286;4,655625;14,4625;16,64
"5";13,94;13,45;11,22;6,071875;16,445;18,82
"6";15,57;14,66;12,4657142857143;7,531875;18,205;20,91
"7";16,8533333333333;NA;13,7428571428571;8,8025;21,135;21,91
"8";8,75;NA;14,47;9,976875;22,805;22,09
"9";9;NA;14,62;11,0406666666667;NA;23
"10";NA;NA;15,485;12,0169230769231;NA;NA
"11";NA;NA;16,2;12,8666666666667;NA;NA
"12";NA;NA;16,45;13,4211111111111;NA;NA
"13";NA;NA;NA;13,5457142857143;NA;NA
"14";NA;NA;NA;12,794;NA;NA
"15";NA;NA;NA;13,32;NA;NA
"16";NA;NA;NA;13,55;NA;NA
"17";NA;NA;NA;14,01;NA;NA
"18";NA;NA;NA;14,44;NA;NA
"19";NA;NA;NA;14,8066666666667;NA;NA
"20";NA;NA;NA;12,6;NA;NA
"21";NA;NA;NA;12,95;NA;NA
"22";NA;NA;NA;13,4;NA;NA
"23";NA;NA;NA;13,7;NA;NA
"24";NA;NA;NA;14,05;NA;NA
"25";NA;NA;NA;14,4;NA;NA
