,cluster1,cl2_mean,cl3_mean,cl4_mean,Ermolinskaya_Bay,cl6_mean,cl7_mean,cl8_mean,cl9_mean
1,10.28571,4.477877,1.347396,1.983431,0.8,1.936508,0.8336755,1.191667,1.063691
2,18.00000,7.723167,3.190119,4.191690,1.5,3.412698,2.3384140,2.208333,2.336455
3,21.14286,10.734876,6.457361,6.508000,2.4,5.071429,3.8290827,3.950000,3.571786
4,22.28571,12.829841,9.672417,8.643201,3.4,6.706349,5.0421875,5.950000,4.807976
5,22.85714,14.755788,12.051562,10.105298,4.4,8.142857,6.7637248,8.104167,5.912500
6,23.14286,16.519706,13.230417,11.287755,5.3,9.579365,8.3388878,9.683333,7.055056
7,NA,18.455766,14.640625,12.548016,6.1,10.873016,9.6212654,11.258333,8.372500
8,NA,20.763636,15.975000,12.963333,6.8,11.547619,11.0522638,12.612500,9.364375
9,NA,20.500000,16.100000,13.137500,7.5,12.111111,12.4159677,14.200000,10.576944
10,NA,18.500000,16.400000,14.566667,8.1,12.730159,13.3059812,15.233333,11.436667
11,NA,18.500000,16.700000,15.700000,8.6,13.142857,14.1203333,16.175000,12.428333
12,NA,19.500000,16.900000,16.000000,9.1,13.714286,14.8763038,17.100000,13.733333
13,NA,19.500000,NaN,NaN,9.6,NaN,16.1122849,NaN,14.000000
14,NA,NaN,NaN,NaN,10.1,NaN,16.5815323,NaN,NaN
15,NA,NaN,NaN,NaN,10.6,NaN,17.1516129,NaN,NaN
16,NA,NaN,NaN,NaN,11.0,NaN,18.5483871,NaN,NaN
17,NA,NaN,NaN,NaN,11.4,NaN,19.0322581,NaN,NaN
18,NA,NaN,NaN,NaN,11.8,NaN,19.5161290,NaN,NaN
19,NA,NaN,NaN,NaN,12.1,NaN,19.9193548,NaN,NaN
20,NA,NaN,NaN,NaN,12.4,NaN,NaN,NaN,NaN
21,NA,NaN,NaN,NaN,12.7,NaN,NaN,NaN,NaN
22,NA,NaN,NaN,NaN,13.0,NaN,NaN,NaN,NaN
23,NA,NaN,NaN,NaN,13.4,NaN,NaN,NaN,NaN
24,NA,NaN,NaN,NaN,13.7,NaN,NaN,NaN,NaN
25,NA,NaN,NaN,NaN,14.0,NaN,NaN,NaN,NaN
26,NA,NaN,NaN,NaN,14.3,NaN,NaN,NaN,NaN
27,NA,NaN,NaN,NaN,14.6,NaN,NaN,NaN,NaN
28,NA,NaN,NaN,NaN,14.9,NaN,NaN,NaN,NaN
29,NA,NaN,NaN,NaN,15.2,NaN,NaN,NaN,NaN
30,NA,NaN,NaN,NaN,15.5,NaN,NaN,NaN,NaN
