age;Rand_Harbor;Wadden_Sea;Hudsons_Bay;MLW;Finland_Gulf_6m;Finland_Gulf_20m;Finland_Gulf_35m;St_Laurence_River;Cobscook_Bay;Windsor;Mungo_brook;Pekkelinskaya_Bay;WSBS_MSU;Ermolinskaya_Bay;Sukhaya_mid;Sukhaya_low;Sukhaya_low_zostera;Klyushiha_mid;Klyushiha_low;Klyushiha_low_zostera;St_Laurence_high;St_Laurence_mid;St_Laurence_low;IPB;GN;H75;Tvaren_Bay;North_sea;Kiel_area;Tvarminne_area;Le_Verdon_high;Le_Verdon_mid;Phare_de_Richard;Abram_mid;Abram_low;Dalnezeleneckaya_high;Dalnezeleneckaya_mid;Gavrilovo_mid;Gavrilovo_low;Shelpino_high;Shelpino_mid;Yarnyshnaya_high;Yarnyshnaya_mid;Yarnyshnaya_low;Pala_mid;Pala_low;Porchnikha_mid;Ivanovskaya;Ythan_estuary;Budle_Bay;Firth_of_Forth;river_Clwyd;Lynher_estuary;Wash
1;10,29;7,43;5,43;3,29;1,71;NA;NA;2,43;4,00;1,44;NA;0,80;0,80;0,80;1,40;1,20;1,10;1,20;1,30;1,60;2,90;3,00;3,20;6,14;6,50;6,90;0,32;5,00;NA;4,00;6,55;5,17;5,69;1,12;1,17;1,23;1,52;0,88;1,15;0,90;1,23;1,05;1,69;0,96;0,67;0,80;1,56;0,89;4,98;6,00;6,00;4,00;5,30;5,00
2;18,00;12,86;10,00;6,43;4,43;NA;0,43;3,71;5,50;3,11;NA;1,50;1,40;1,50;3,10;2,90;2,70;3,20;3,20;5,50;4,90;5,30;5,80;9,45;9,42;9,72;1,29;10,36;8,18;7,09;9,83;8,28;8,45;2,23;2,55;2,15;4,36;1,90;2,27;3,43;2,73;2,24;4,06;2,13;1,81;1,89;4,32;1,64;9,68;12,00;9,00;10,00;9,60;8,50
3;21,14;16,00;13,43;8,86;8,43;NA;NA;5,14;9,50;5,00;3,22;2,40;2,30;2,40;6,20;6,40;6,30;5,20;5,90;8,30;7,10;7,80;8,80;12,29;12,17;12,15;2,82;14,45;12,18;10,09;12,24;10,34;10,34;3,49;3,84;3,50;6,54;3,09;4,40;4,80;4,60;3,33;6,93;3,31;3,34;3,15;7,49;2,76;11,64;16,00;;14,00;11,30;12,50
4;22,29;18,57;16,00;11,71;11,29;NA;NA;6,86;10,00;6,56;4,33;3,50;3,20;3,40;9,50;9,70;10,10;7,80;8,30;11,40;8,80;9,50;10,70;14,42;14,73;14,73;5,00;16,64;14,45;12,27;13,97;12,07;12,07;4,48;5,09;5,30;8,82;4,67;6,60;6,20;4,30;4,70;9,39;4,53;5,03;4,51;10,89;3,98;12,25;18,00;;16,50;12,30;13,50
5;22,86;21,29;17,57;13,86;13,29;2,86;1,29;8,29;12,50;8,00;5,33;4,60;4,20;4,40;11,60;12,10;12,30;9,60;10,60;14,00;9,40;10,80;12,30;16,52;16,95;16,97;7,10;18,82;15,45;14,45;15,34;13,62;13,45;5,45;6,30;7,88;10,13;6,16;8,33;7,25;6,55;5,77;12,21;5,53;6,51;6,04;14,02;5,08;14,13;;;;;14,50
6;23,14;22,14;17,86;16,00;15,29;4,86;1,57;9,71;15,50;9,44;6,22;5,60;5,10;5,30;13,10;13,20;12,90;11,10;12,30;15,90;10,30;11,80;14,30;18,22;19,36;19,21;8,87;20,91;16,64;15,55;16,03;NA;14,66;6,48;7,36;9,80;10,94;7,50;9,57;8,13;8,85;8,87;13,72;6,75;8,43;7,66;15,54;6,24;;;;;;
7;;;;;16,71;6,43;2,57;10,86;16,00;10,89;7,22;6,50;5,90;6,10;14,20;14,50;14,60;12,80;13,20;;;;;NA;21,16;21,11;10,48;21,91;0,00;16,55;;;;7,64;8,59;11,45;11,64;8,92;11,07;8,93;10,15;10,51;15,26;8,16;9,94;9,21;17,30;7,29;;;;;;
8;;;;;;8,00;3,29;11,43;17,50;11,67;8,00;7,30;6,60;6,80;;;15,80;;13,90;;;;;NA;22,91;22,70;11,94;22,09;0,00;0,00;;;;8,74;9,72;13,03;12,03;10,27;12,20;9,85;12,15;11,53;16,15;9,01;11,75;10,20;17,50;8,54;;;;;;
9;;;;;;9,57;4,29;12,00;18,00;12,22;8,44;8,00;7,30;7,50;;;16,10;;;;;;;;;;12,98;23,00;0,00;0,00;;;;9,74;10,43;14,05;13,14;11,83;14,35;11,50;13,35;13,16;;10,72;;11,35;18,00;9,35;;;;;;
10;;;;;;10,86;5,29;12,57;18,50;12,89;9,11;8,60;8,00;8,10;;;16,40;;;;;;;;;;14,03;;;;;;;10,83;11,15;14,87;14,57;13,14;15,60;12,25;13,80;14,13;;11,72;;;;;;;;;;
