region;lat;omega
France;50;1,25
France;48,4615384615;12,125
France;45,2564102564;9,75
France;47,4358974359;9,25
France;46,7948717949;8,125
France;46,1538461538;7,75
France;45,5128205128;6,375
France;45,2564102564;5
France;45,3846153846;4,125
Wadden Sea;55,2564102564;11,5
Wadden Sea;52,8205128205;10,625
Wadden Sea;52,8205128205;9,75
Wadden Sea;53,9743589744;8,125
Wadden Sea;55,3846153846;6,625
Western Sweden;57,8205128205;8,625
Western Sweden;56,4102564103;7,25
Western Sweden;57,9487179487;4,75
Baltia;54,358974359;6,5
Baltia;54,6153846154;4,625
Baltia;54,4871794872;3,625
Baltia;54,7435897436;3,375
Baltia;60;7,875
Baltia;59,8717948718;6,875
Baltia;60;5,375
Baltia;59,358974359;4,875
Baltia;60;4,375
Eastern Denark;51,2820512821;6,625
Britain;50,8974358974;10,25
Britain;52,6923076923;9
Britain;56,0256410256;8,375
Britain;55,2564102564;10,75
Britain;56,0256410256;3
Britain;56,9230769231;6,625
Norway and Russia;63,9743589744;9,75
Norway and Russia;66,7948717949;6,25
Norway and Russia;66,7948717949;4,875
Norway and Russia;66,7948717949;2,875
Norway and Russia;66,2820512821;1,625
Norway and Russia;66,1538461538;1,125
Norway and Russia;66,7948717949;1,125
