"area";"depth.m";"place";"country";"region";"continent";"lat.";"long.";"author";"Lmax";"k";"omega"
"Rand_Harbor";;"Buzzards Bay";"Massachusetts";"Massachusetts";"Amerika";41,5;;"Gilbert.1974";24,0446;0,6401;15,39094846
"Wadden_Sea";;"Der Helder";"Netherlands";"Wadden";"Europe";53;;"Lammens.1967";25,5623;0,3382;8,64516986
"Hudsons_Bay";"1.1";"Churchill";"Manitoba";"Manitoba";"Amerika";58,76667;;"Green, in preparation";21,6428;0,3174;6,86942472
"MLW";;"Churchill";"Manitoba";"Manitoba";"Amerika";58,76667;;"Green, in preparation";38,57715;0,08927;3,4437821805
"Finland_Gulf_3m";3;"Tvarminne, Finland gulf, Baltic Sea";"Finland";"Baltic";"Europe";60;;"Segerstrale.1960";64,38269;0,04463;2,8733994547
"Finland_Gulf_20m";20;"Tvarminne, Finland gulf, Baltic Sea";"Finland";"Baltic";"Europe";60;;"Segerstrale.1960";"NA";"NA";"NA"
"Finland_Gulf_35m";35;"Tvarminne, Finland gulf, Baltic Sea";"Finland";"Baltic";"Europe";60;;"Segerstrale.1960";"NA";"NA";"NA"
"St_Laurence_River";;"Cacouna";"Quebeck";"Quebeck";"Amerika";48,029265;-69,414718;"Lavoie.1968";17,577;0,128;2,249856
"Cobscook bay";;"Maine";"USA";"Maine";"Amerika";44,86667;"67 04 W";"Commito. 1982";22,3183;0,1737;3,87668871
"Windsor";;"Fundy bay";;"Fundy bay";"Amerika";45;"64 W";"Turk et al. 1980";23,9901;0,08069;1,935761169
"Mungo_brook";;"Fundy bay";;"Fundy bay";"Amerika";45;"63 W";"Turk et al. 1980";13,6292;0,1035;1,4106222
"Pekkelinskaya_Bay";;"White Sea";"Russia";"White";"Europe";66,59;32,96;"Semenova. 1970";22,1986;0,04732;1,050437752
"WSBS_MSU";;"White Sea";"Russia";"White";"Europe";66,55;33,1;"Semenova. 1970";22,5669;0,0424;0,95683656
"Ermolinskaya_Bay";;"White Sea";"Russia";"White";"Europe";66,55;33,05;"Semenova. 1970";18,60622;0,05555;1,033575521
"Sukhaya_middle";"middle";"White Sea";"Russia";"White";"Europe";66,310088;33,65288;"Maximovich et al. 1992";351;0,00621;2,1820056
"Sukhaya_low";"low";"White Sea";"Russia";"White";"Europe";66,310088;33,65288;"Maximovich et al. 1992";"NA";"NA";"NA"
"Sukhaya_low_zostera";"low";"White Sea";"Russia";"White";"Europe";66,310088;33,65288;"Maximovich et al. 1992";22,2236;0,1369;3,04241084
