area,lat_N,k
Rand_Harbor,41,
Hudsons_Bay,58,
Finland_Gulf_6m,60,
St_Laurence_River,,
Cobscook_Bay,44,
Windsor,45,
Ermolinskaya_Bay,66,
Sukhaya_mid,,
Sukhaya_low,,
Sukhaya_low_zostera,,
Klyushiha_mid,,
Klyushiha_low,,
Klyushiha_low_zostera,,
St_Laurence_high,,
St_Laurence_mid,,
St_Laurence_low,,
H75,,
Tvaren_Bay,,
North_sea,54,
Tvarminne_area,60,
Le_Verdon_high,,
Le_Verdon_mid,,
Phare_de_Richard,,
Abram_low,68,
Dalnezeleneckaya_high,69,
Dalnezeleneckaya_mid,69,
Gavrilovo_mid,69,
Gavrilovo_low,69,
Shelpino_high,69,
Shelpino_mid,69,
Yarnyshnaya_mid,69,
Yarnyshnaya_low,69,
Porchnikha_mid,69,
