#,area,depth.m,place,country,lat.,long.,author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Rand_Harbor,,"Buzzards Bay",Massachusetts,"41 30",,Gilbert.1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Wadden_Sea,,"Der Helder",Netherlands,53,,Lammens.1967,"from Gilbert.1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Hudsons_Bay,1.1,Churchill,Manitoba,"58 46",,"Green, in preparation","from Gilbert.1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,MLW,,Churchill,Manitoba,"58 46",,"Green, in preparation","from Gilbert.1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Finland_Gulf_3m,3,"Tvarminne, Finland gulf, Baltic Sea",Finland,60,,Segerstrale.1960,"from Gilbert.1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Finland_Gulf_20m,20,"Tvarminne, Finland gulf, Baltic Sea",Finland,60,,Segerstrale.1960,"from Gilbert.1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Finland_Gulf_35m,35,"Tvarminne, Finland gulf, Baltic Sea",Finland,60,,Segerstrale.1960,"from Gilbert.1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,St_Laurence_River,,Cacouna,Quebeck,,,Lavoie.1968,"from Gilbert.1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,"Cobscook bay",,Maine,USA,"44 52 N","67 04 W","Commito. 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Windsor,,"Fundy bay",,45,"64 W","Turk et al. 1980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Mungo_brook,,"Fundy bay",,45,"63 W","Turk et al. 1980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Pekkelinskaya_Bay,,"White Sea",Russia,,,"Semenova. 1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,WSBS_MSU,,"White Sea",Russia,,,"Semenova. 1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Ermolinskaya_Bay,,"White Sea",Russia,,,"Semenova. 1970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Sukhaya_middle,middle,"White Sea",Russia,,,"Maximovich et al. 1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Sukhaya_low,low,"White Sea",Russia,,,"Maximovich et al. 1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Sukhaya_low_zostera,low,"White Sea",Russia,,,"Maximovich et al. 1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Klyushiha_middle,middle,"White Sea",Russia,,,"Maximovich et al. 1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Klyushiha_low,low,"White Sea",Russia,,,"Maximovich et al. 1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Klyushiha_low_zostera,low,"White Sea",Russia,,,"Maximovich et al. 1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,St_Laurence_high,high,,Canada,,,"Vincent et al. 1989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,St_Laurence_middle,middle,,Canada,,,"Vincent et al. 1989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,St_Laurence_low,low,,Canada,,,"Vincent et al. 1989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,IPB_length,,"Baltic Sea",Poland,,,"Venne Klusek. 1985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,GN_length,,"Baltic Sea",Poland,,,"Venne Klusek. 1985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,H75_length,,"Baltic Sea",Poland,,,"Venne Klusek. 1985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Tvaren_Bay,,"Baltic Sea",,,,Bergh.1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,North_sea,,"List, Sylt, Nordernay, North Sea",Germany,54-55,,Vogel.1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Kiel_area,,"Kiel Bay, Baltic Sea",,"54 30",,Vogel.1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Tvarminne_area,,"Tvarminne, Finland gulf, Baltic Sea",Finland,60,,Vogel.1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Le_Verdon_high,high,"Gironde Estuary",France,,,Bachelet.1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Le_Verdon_middle,middle,"Gironde Estuary",France,,,Bachelet.1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Phare_de_Richard,middle,"Gironde Estuary",France,,,Bachelet.1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Abram_mid,middle,"Barents Sea",Russia,"68 59","33 01","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Abram_low,low,"Barents Sea",Russia,"68 59","33 01","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Dalnezeleneckaya_high,high,"Barents Sea",Russia,"69 7","36 6","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Dalnezeleneckaya_mid,middle,"Barents Sea",Russia,"69 7","36 6","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Gavrilovo_mid,middle,"Barents Sea",Russia,"69 1","35 5","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Gavrilovo_low,low,"Barents Sea",Russia,"69 1","35 5","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Shelpino_high,high,"Barents Sea",Russia,"69 6","36 12","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Shelpino_mid,middle,"Barents Sea",Russia,"69 6","36 12","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Yarnyshnaya_high,high,"Barents Sea",Russia,"69 5","36 3","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Yarnyshnaya_mid,middle,"Barents Sea",Russia,"69 5","36 3","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Yarnyshnaya_low,low,"Barents Sea",Russia,"69 5","36 3","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Pala_mid,middle,"Barents Sea",Russia,"69 11","33 24","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Pala_low,low,"Barents Sea",Russia,"69 11","33 24","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Porchnikha_mid,middle,"Barents Sea",Russia,"69 5","36 15","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Ivanovskaya,subtidal,"Barents Sea",Russia,"68 16","38 45","author data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,Rand_Harbor,Wadden_Sea,Hudsons_Bay,MLW,Finland_Gulf_6m,Finland_Gulf_20m,Finland_Gulf_35m,St_Laurence_River,Cobscook_Bay,Windsor,Mungo_brook,Pekkelinskaya_Bay,WSBS_MSU,Ermolinskaya_Bay,Sukhaya_mid,Sukhaya_low,Sukhaya_low_zostera,Klyushiha_mid,Klyushiha_low,Klyushiha_low_zostera,St_Laurence_high,St_Laurence_mid,St_Laurence_low,IPB,GN,H75,Tvaren_Bay,North_sea,Kiel_area,Tvarminne_area,Le_Verdon_high,Le_Verdon_mid,Phare_de_Richard,Abram_mid,Abram_low,Dalnezeleneckaya_high,Dalnezeleneckaya_mid,Gavrilovo_mid,Gavrilovo_low,Shelpino_high,Shelpino_mid,Yarnyshnaya_high,Yarnyshnaya_mid,Yarnyshnaya_low,Pala_mid,Pala_low,Porchnikha_mid,Ivanovskaya
1,10.2857142857143,7.42857142857143,5.42857142857143,3.28571428571429,1.71428571428571,NA,NA,2.42857142857143,4,1.44444444444444,NA,0.8,0.8,0.8,1.4,1.2,1.1,1.2,1.3,1.6,2.9,3.0,3.2,6.14,6.50,6.90,0.32258064516129,5,NA,4,6.55172413793103,5.17241379310345,5.68965517241379,1.11875,1.16982142857143,1.23333333333333,1.5171568627451,0.87878787878788,1.15,0.9,1.23333333333333,1.05174632352941,1.68958333333333,0.95756113256113,0.66612012987013,0.79905296092796,1.56123737373737,0.89326181149098
2,18,12.8571428571429,10,6.42857142857143,4.42857142857143,NA,0.42857142857143,3.71428571428571,5.5,3.11111111111111,NA,1.5,1.4,1.5,3.1,2.9,2.7,3.2,3.2,5.5,4.9,5.3,5.8,9.45,9.42,9.72,1.29032258064516,10.3636363636364,8.18181818181818,7.09090909090909,9.82758620689655,8.27586206896552,8.44827586206897,2.2296875,2.54592592592593,2.15,4.3584477124183,1.89666666666667,2.26666666666667,3.43333333333333,2.73333333333333,2.23683823529412,4.06047619047619,2.12698412698413,1.81212121212121,1.89225863422292,4.31698275862069,1.63956729998397
3,21.1428571428571,16,13.4285714285714,8.85714285714286,8.42857142857143,NA,NA,5.14285714285714,9.5,5,3.22222222222222,2.4,2.3,2.4,6.2,6.4,6.3,5.2,5.9,8.3,7.1,7.8,8.8,12.29,12.17,12.15,2.82258064516129,14.4545454545455,12.1818181818182,10.0909090909091,12.2413793103448,10.3448275862069,10.3448275862069,3.49185185185185,3.835,3.5,6.54,3.09375,4.4,4.8,4.6,3.33033868092692,6.92944444444444,3.30857142857143,3.34244047619048,3.14911368393511,7.49342911877395,2.76313492063492
4,22.2857142857143,18.5714285714286,16,11.7142857142857,11.2857142857143,NA,NA,6.85714285714286,10,6.55555555555556,4.33333333333333,3.5,3.2,3.4,9.5,9.7,10.1,7.8,8.3,11.4,8.8,9.5,10.7,14.42,14.73,14.73,5,16.6363636363636,14.4545454545455,12.2727272727273,13.9655172413793,12.0689655172414,12.0689655172414,4.47579861111111,5.08595238095238,5.3,8.81600529100529,4.66875,6.6,6.2,4.3,4.69596774193548,9.38966666666667,4.53,5.03,4.50699404761905,10.885,3.97502322071288
5,22.8571428571429,21.2857142857143,17.5714285714286,13.8571428571429,13.2857142857143,2.85714285714286,1.28571428571429,8.28571428571429,12.5,8,5.33333333333333,4.6,4.2,4.4,11.6,12.1,12.3,9.6,10.6,14,9.4,10.8,12.3,16.52,16.95,16.97,7.09677419354839,18.8181818181818,15.4545454545455,14.4545454545455,15.3448275862069,13.6206896551724,13.448275862069,5.44659090909091,6.29583333333333,7.875,10.1264880952381,6.158125,8.33333333333333,7.25,6.55,5.76666666666667,12.20625,5.52916666666667,6.50916666666667,6.04446428571429,14.0158333333333,5.07897701149425
6,23.1428571428571,22.1428571428571,17.8571428571429,16,15.2857142857143,4.85714285714286,1.57142857142857,9.71428571428571,15.5,9.44444444444444,6.22222222222222,5.6,5.1,5.3,13.1,13.2,12.9,11.1,12.3,15.9,10.3,11.8,14.3,18.22,19.36,19.21,8.87096774193548,20.9090909090909,16.6363636363636,15.5454545454545,16.0344827586207,NA,14.6551724137931,6.47959595959596,7.35611111111111,9.8,10.9387755102041,7.50125,9.56666666666667,8.13333333333333,8.85,8.86666666666667,13.7216666666667,6.754,8.43333333333333,7.663125,15.5416666666667,6.23541666666667
7,,,,,16.7142857142857,6.42857142857143,2.57142857142857,10.8571428571429,16,10.8888888888889,7.22222222222222,6.5,5.9,6.1,14.2,14.5,14.6,12.8,13.2,,,,,NA,21.16,21.11,10.4838709677419,21.9090909090909,0,16.5454545454545,,,,7.64151515151515,8.585,11.45,11.6440476190476,8.91785714285714,11.0666666666667,8.93333333333333,10.15,10.5111111111111,15.2625,8.16,9.935,9.21488095238095,17.3,7.29444444444444
8,,,,,,8,3.28571428571429,11.4285714285714,17.5,11.6666666666667,8,7.3,6.6,6.8,,,15.8,,13.9,,,,,NA,22.91,22.7,11.9354838709677,22.0909090909091,0,0,,,,8.73560606060606,9.71875,13.025,12.0266666666667,10.2735714285714,12.2,9.85,12.15,11.5333333333333,16.15,9.01,11.75,10.2,17.5,8.54166666666667
9,,,,,,9.57142857142857,4.28571428571429,12,18,12.2222222222222,8.44444444444444,8,7.3,7.5,,,16.1,,,,,,,,,,12.9838709677419,23,0,0,,,,9.74444444444445,10.4305555555556,14.05,13.1375,11.83,14.35,11.5,13.35,13.1583333333333,,10.7233333333333,,11.35,18,9.35
10,,,,,,10.8571428571429,5.28571428571429,12.5714285714286,18.5,12.8888888888889,9.11111111111111,8.6,8,8.1,,,16.4,,,,,,,,,,14.0322580645161,,,,,,,10.825,11.15,14.8666666666667,14.5666666666667,13.1416666666667,15.6,12.25,13.8,14.1333333333333,,11.7233333333333,,,,
11,,,,,,12,6.42857142857143,13.1428571428571,18.5,,9.33333333333333,9.1,8.6,8.6,,,16.7,,,,,,,,,,15,,,,,,,12.2333333333333,12,15.85,15.7,14.061,16.5,13.3,,16.3,,12.8566666666667,,,,
12,,,,,,12.8571428571429,7.42857142857143,13.7142857142857,19.5,,9.77777777777778,9.6,9.1,9.1,,,16.9,,,,,,,,,,15.6451612903226,,,,,,,,,,16,14.98375,17.1,14,,17.525,,13.7333333333333,,,,
13,,,,,,13.4285714285714,8.57142857142857,,19.5,,10,10.1,9.6,9.6,,,,,,,,,,,,,16.6129032258065,,,,,,,,,,,15.6116666666667,,,,19.3,,14,,,,
14,,,,,,14.1428571428571,9.71428571428571,,,,10.3333333333333,10.6,10.1,10.1,,,,,,,,,,,,,17.258064516129,,,,,,,,,,,15.905,,,,,,,,,,
15,,,,,,15,10.5714285714286,,,,10.4444444444444,11.1,10.6,10.6,,,,,,,,,,,,,17.9032258064516,,,,,,,,,,,16.4,,,,,,,,,,
16,,,,,,,11.4285714285714,,,,,,11.1,11,,,,,,,,,,,,,18.5483870967742,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,NA,,,,,,11.6,11.4,,,,,,,,,,,,,19.0322580645161,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,NA,,,,,,12,11.8,,,,,,,,,,,,,19.5161290322581,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,NA,,,,,,12.4,12.1,,,,,,,,,,,,,19.9193548387097,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,NA,,,,,,12.8,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,NA,,,,,,13.2,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,NA,,,,,,13.8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,NA,,,,,,14,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,NA,,,,,,14.4,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,15,,,,,,14.8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
