"site";"year";"sample";"N1y_t1";"MAY_t";"JUN_t";"JUL_t";"AUG_t";"SEP_t";"OCT_t";"NOV_t";"DEC_t";"JAN_t1";"FEB_t1";"MAR_t1";"APR_t1";"MAY_t1";"JUN_t1";"JUL_t1"
"Estuary";"1992";"me1";0;;;;;;;;;;;;;;;
"Estuary";"1992";"me2";0;;;;;;;;;;;;;;;
"Estuary";"1992";"me3";0;;;;;;;;;;;;;;;
"Estuary";"1992";"me4";0;;;;;;;;;;;;;;;
"Estuary";"1992";"me5";0;;;;;;;;;;;;;;;
"Estuary";"1992";"me6";0;;;;;;;;;;;;;;;
"Estuary";"1993";"me1";0;;;;;;;;;;;;;;;
"Estuary";"1993";"me2";2;;;;;;;;;;;;;;;
"Estuary";"1993";"me3";0;;;;;;;;;;;;;;;
"Estuary";"1993";"me4";0;;;;;;;;;;;;;;;
"Estuary";"1993";"me5";0;;;;;;;;;;;;;;;
"Estuary";"1993";"me6";0;;;;;;;;;;;;;;;
"Estuary";"1994";"me1";8;;;;;;;;;;;;;;;
"Estuary";"1994";"me2";5;;;;;;;;;;;;;;;
"Estuary";"1994";"me3";2;;;;;;;;;;;;;;;
"Estuary";"1995";"me1";3;;;;;;;;;;;;;;;
"Estuary";"1995";"me2";8;;;;;;;;;;;;;;;
"Estuary";"1995";"me3";1;;;;;;;;;;;;;;;
"Estuary";"1996";"me1";0;;;;;;;;;;;;;;;
"Estuary";"1996";"me2";0;;;;;;;;;;;;;;;
"Estuary";"1996";"me3";0;;;;;;;;;;;;;;;
"Estuary";"1997";"me1";0;;;;;;;;;;;;;;;
"Estuary";"1997";"me2";0;;;;;;;;;;;;;;;
"Estuary";"1997";"me3";0;;;;;;;;;;;;;;;
"Estuary";"1998";"me1";20;;;;;;;;;;;;;;;
"Estuary";"1998";"me2";19;;;;;;;;;;;;;;;
"Estuary";"1998";"me3";22;;;;;;;;;;;;;;;
"Estuary";"1999";"me1";70;;;;;;;;;;;;;;;
"Estuary";"1999";"me2";46;;;;;;;;;;;;;;;
"Estuary";"1999";"me3";5;;;;;;;;;;;;;;;
"Estuary";"2000";"me1";5;;;;;;;;;;;;;;;
"Estuary";"2000";"me2";5;;;;;;;;;;;;;;;
"Estuary";"2000";"me3";7;;;;;;;;;;;;;;;
"Estuary";"2001";"me1";16;;;;;;;;;;;;;;;
"Estuary";"2001";"me2";12;;;;;;;;;;;;;;;
"Estuary";"2001";"me3";9;;;;;;;;;;;;;;;
"Estuary";"2002";"me1";0;;;;;;;;;;;;;;;
"Estuary";"2002";"me2";6;;;;;;;;;;;;;;;
"Estuary";"2002";"me3";8;;;;;;;;;;;;;;;
"Estuary";"2003";"me1";57;;;;;;;;;;;;;;;
"Estuary";"2003";"me2";17;;;;;;;;;;;;;;;
"Estuary";"2003";"me3";35;;;;;;;;;;;;;;;
"Estuary";"2004";"me1";72;;;;;;;;;;;;;;;
"Estuary";"2004";"me2";99;;;;;;;;;;;;;;;
"Estuary";"2004";"me3";40;;;;;;;;;;;;;;;
"Estuary";"2005";"me1";16;;;;;;;;;;;;;;;
"Estuary";"2005";"me2";20;;;;;;;;;;;;;;;
"Estuary";"2005";"me3";16;;;;;;;;;;;;;;;
"Estuary";"2006";"me1";9;;;;;;;;;;;;;;;
"Estuary";"2006";"me2";5;;;;;;;;;;;;;;;
"Estuary";"2006";"me3";6;;;;;;;;;;;;;;;
"Estuary";"2007";"1me1";16;;;;;;;;;;;;;;;
"Estuary";"2007";"1me2";23;;;;;;;;;;;;;;;
"Estuary";"2007";"1me3";48;;;;;;;;;;;;;;;
"Estuary";"2007";"2me1";9;;;;;;;;;;;;;;;
"Estuary";"2007";"2me2";68;;;;;;;;;;;;;;;
"Estuary";"2007";"2me3";28;;;;;;;;;;;;;;;
"Estuary";"2007";"3me1";11;;;;;;;;;;;;;;;
"Estuary";"2007";"3me2";12;;;;;;;;;;;;;;;
"Estuary";"2007";"3me3";49;;;;;;;;;;;;;;;
"Estuary";"2008";"me1";80;;;;;;;;;;;;;;;
"Estuary";"2008";"me2";24;;;;;;;;;;;;;;;
"Estuary";"2008";"me3";21;;;;;;;;;;;;;;;
"Estuary";"2009";"me1";24;;;;;;;;;;;;;;;
"Estuary";"2009";"me2";39;;;;;;;;;;;;;;;
"Estuary";"2009";"me3";41;;;;;;;;;;;;;;;
"Estuary";"2010";"me1";13;;;;;;;;;;;;;;;
"Estuary";"2010";"me2";23;;;;;;;;;;;;;;;
"Estuary";"2010";"me3";26;;;;;;;;;;;;;;;
"Estuary";"2011";"me11";1;;;;;;;;;;;;;;;
"Estuary";"2011";"me12";5;;;;;;;;;;;;;;;
"Estuary";"2011";"me13";3;;;;;;;;;;;;;;;
"Estuary";"2011";"me21";4;;;;;;;;;;;;;;;
"Estuary";"2011";"me22";5;;;;;;;;;;;;;;;
"Estuary";"2011";"me23";4;;;;;;;;;;;;;;;
"Estuary";"2011";"me31";2;;;;;;;;;;;;;;;
"Estuary";"2011";"me32";7;;;;;;;;;;;;;;;
"Estuary";"2011";"me33";3;;;;;;;;;;;;;;;
"Estuary";"2012";"me1";3;;;;;;;;;;;;;;;
"Estuary";"2012";"me2";7;;;;;;;;;;;;;;;
"Estuary";"2012";"me3";5;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg1";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg10";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg11";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg12";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg13";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg14";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg15";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg16";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg17";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg2";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg3";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg4";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg5";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg6";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg7";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg8";0;;;;;;;;;;;;;;;
"Goreliy";"1992";"mg9";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg1";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg10";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg11";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg12";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg13";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg2";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg3";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg4";30;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg5";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg6";10;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg7";70;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg8";0;;;;;;;;;;;;;;;
"Goreliy";"1993";"mg9";30;;;;;;;;;;;;;;;
"Goreliy";"1994";"mg1";50;;;;;;;;;;;;;;;
"Goreliy";"1994";"mg2";250;;;;;;;;;;;;;;;
"Goreliy";"1994";"mg3";70;;;;;;;;;;;;;;;
"Goreliy";"1994";"mg4";0;;;;;;;;;;;;;;;
"Goreliy";"1995";"mg1";10;;;;;;;;;;;;;;;
"Goreliy";"1995";"mg2";10;;;;;;;;;;;;;;;
"Goreliy";"1995";"mg3";230;;;;;;;;;;;;;;;
"Goreliy";"1995";"mg4";260;;;;;;;;;;;;;;;
