"";"year";"(0,1]";"(1,2]";"(2,3]";"(3,4]";"(4,5]";"(5,6]";"(6,7]";"(7,8]";"(8,9]";"(9,10]";"(10,11]";"(11,12]";"(12,13]";"(13,14]";"(14,15]";"(15,16]";"(16,17]";"(17,18]";"(18,19]";"(19,20]";""
"me1";1992;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"me2";1992;0;0;0;0;0;0;1;1;0;2;1;1;2;0;1;0;0;0;0;0;9
"me3";1992;0;0;0;0;0;0;0;0;4;1;1;0;1;2;0;1;0;0;0;0;10
"me4";1992;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2
"me5";1992;0;0;0;0;0;0;0;1;0;0;0;1;2;1;0;0;0;0;0;0;5
"me6";1992;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;2;0;0;0;0;6
"me1";1993;0;0;1;1;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
"me2";1993;1;3;3;9;6;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;25
"me3";1993;0;1;11;15;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;31
"me4";1993;0;0;3;4;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;11
"me5";1993;0;0;5;7;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;16
"me6";1993;0;0;2;10;5;1;0;1;0;0;0;0;1;4;1;0;0;0;0;0;25
"me1";1994;0;12;10;2;3;6;8;21;13;9;4;0;1;0;2;3;0;0;0;0;94
"me2";1994;0;7;9;2;2;2;11;11;15;14;5;0;1;1;3;4;0;0;0;0;87
"me3";1994;0;4;7;1;6;6;7;8;2;0;0;1;4;4;1;1;0;0;0;0;52
"me1";1995;0;6;2;0;3;7;3;2;7;6;7;0;0;1;1;0;0;0;0;0;45
"me2";1995;1;13;8;3;1;3;7;5;2;2;4;3;4;0;1;0;0;0;0;0;57
"me3";1995;0;2;2;0;2;1;2;0;1;10;12;3;2;2;2;0;0;0;0;0;41
"me1";1996;0;0;8;8;4;2;1;2;3;3;1;1;2;2;1;0;1;0;0;0;39
"me2";1996;0;0;3;0;0;0;2;2;4;2;9;4;3;3;1;0;0;0;0;0;33
"me3";1996;0;0;0;1;2;0;4;1;4;5;3;7;1;0;0;1;0;0;0;0;29
"me1";1997;0;0;0;0;0;2;0;1;2;1;0;4;7;2;1;1;0;0;0;0;21
"me2";1997;1;0;0;0;0;1;3;4;3;2;1;3;2;0;0;0;0;0;0;0;20
"me3";1997;0;0;0;0;1;3;2;1;2;1;1;8;3;2;0;0;0;0;0;0;24
"me1";1998;187;33;19;0;1;0;0;0;0;1;2;3;4;5;3;0;1;0;0;0;259
"me2";1998;900;34;20;3;1;1;0;1;0;1;8;5;1;0;0;1;1;0;0;0;977
"me3";1998;1448;35;18;1;0;1;3;0;2;1;1;3;4;3;1;1;2;0;0;0;1524
"me1";1999;0;120;138;13;7;10;1;0;1;1;0;0;0;1;1;1;0;0;0;0;294
"me2";1999;0;74;140;13;10;3;1;0;0;0;0;1;0;1;1;0;0;0;0;0;244
"me3";1999;1;10;39;18;4;2;6;2;0;1;0;1;1;0;0;0;0;0;0;0;85
"me1";2000;1;11;21;49;48;24;8;13;5;2;0;0;2;1;2;0;0;1;0;0;188
"me2";2000;2;7;28;55;36;23;8;7;5;4;0;0;4;0;0;1;1;0;0;0;181
"me3";2000;0;9;19;51;76;33;7;6;1;3;0;0;0;3;0;0;0;0;0;0;208
"me1";2001;2;28;14;23;31;50;67;37;14;11;6;0;0;1;1;0;0;0;0;0;285
"me2";2001;0;14;10;23;31;37;46;42;18;5;1;2;0;1;3;2;0;0;0;0;235
"me3";2001;0;15;18;34;33;63;47;31;14;4;3;0;2;0;0;0;0;0;0;0;264
"me1";2002;0;2;6;16;38;32;34;32;15;3;0;1;0;2;0;0;0;0;0;0;181
"me2";2002;1;10;7;9;8;24;44;32;18;2;6;0;1;0;1;0;0;0;0;0;163
"me3";2002;8;22;7;15;35;45;41;32;16;9;4;0;1;2;2;1;0;0;0;0;240
"me1";2003;8;77;3;5;16;16;45;48;41;10;4;0;1;2;1;0;0;0;0;0;277
"me2";2003;4;29;4;6;7;11;26;37;50;20;7;1;1;1;0;1;0;0;0;0;205
"me3";2003;11;58;3;2;6;14;23;38;32;13;6;0;1;0;0;0;0;0;0;0;207
"me1";2004;31;131;40;9;6;7;13;43;54;17;8;2;0;0;0;0;0;0;0;0;361
"me2";2004;35;180;38;7;3;6;19;41;50;34;11;0;0;0;0;0;0;0;0;0;424
"me3";2004;5;59;36;11;7;10;14;53;47;27;12;4;0;0;0;0;0;0;0;0;285
"me1";2005;5;20;13;15;6;6;4;6;18;32;8;1;1;1;0;0;0;0;0;0;136
"me2";2005;22;37;25;19;13;6;6;10;22;20;11;2;0;0;0;0;0;0;0;0;193
"me3";2005;10;34;13;15;10;7;12;27;39;25;2;0;1;0;0;0;0;0;0;0;195
"me1";2006;2;14;6;8;13;5;11;10;8;16;20;4;1;2;0;0;0;0;0;0;120
"me2";2006;10;10;7;5;5;10;9;13;8;15;15;8;1;0;0;0;0;0;0;0;116
"me3";2006;1;8;6;0;1;6;5;6;7;10;19;6;0;0;0;0;0;0;0;0;75
"1me1";2007;0;32;7;1;2;2;4;6;3;4;2;3;0;2;0;0;0;0;0;0;68
"1me2";2007;4;35;10;3;0;2;0;0;4;2;1;5;2;0;0;0;0;0;0;0;68
"1me3";2007;9;71;6;6;3;3;3;6;4;5;7;3;1;0;0;0;0;0;0;0;127
"2me1";2007;2;19;1;1;1;1;4;5;1;3;5;2;1;0;1;0;0;0;0;0;47
"2me2";2007;2;86;6;2;3;2;3;1;2;4;4;1;1;0;0;0;0;0;0;0;117
"2me3";2007;3;50;3;1;3;0;0;8;7;4;7;7;3;0;1;0;0;0;0;0;97
"3me1";2007;0;17;6;7;0;1;7;5;1;3;6;1;2;0;0;0;0;0;0;0;56
"3me2";2007;7;24;1;2;5;1;2;5;4;7;6;2;1;0;0;0;0;0;0;0;67
"3me3";2007;23;96;4;5;2;1;3;6;5;2;9;7;1;1;2;0;0;0;0;0;167
"me1";2008;6;105;19;17;10;11;6;5;6;8;14;17;11;3;2;0;0;0;0;0;240
"me2";2008;2;28;13;12;10;6;5;5;2;9;10;8;7;3;0;0;0;0;0;0;120
"me3";2008;1;30;24;25;9;6;5;2;5;9;12;11;10;5;0;0;0;0;0;0;154
"me1";2009;3;39;26;27;19;11;9;13;5;3;6;6;8;2;1;0;0;0;0;0;178
"me2";2009;1;63;35;11;9;16;9;7;3;2;2;6;3;2;0;0;0;0;0;0;169
"me3";2009;7;70;29;20;8;18;5;7;7;5;11;15;13;6;0;0;1;0;0;0;222
"me1";2010;7;23;24;23;11;8;14;11;8;10;9;10;6;5;1;1;0;0;0;0;171
"me2";2010;9;44;47;29;23;16;14;17;12;9;10;10;10;3;0;0;0;0;0;0;253
"me3";2010;7;52;31;24;17;5;7;13;10;10;15;19;4;2;0;0;0;0;0;0;216
"me11";2011;1;2;2;2;3;7;5;5;10;5;2;2;1;2;0;0;0;0;0;0;49
"me12";2011;0;5;2;5;6;7;5;8;6;8;3;5;5;1;0;0;0;0;0;0;66
"me13";2011;2;5;0;4;5;5;6;6;7;2;7;5;4;0;0;0;0;0;0;0;58
"me21";2011;0;6;1;5;5;5;2;4;4;7;6;6;5;2;0;0;0;0;0;0;58
"me22";2011;3;5;3;3;1;2;7;4;6;7;3;5;3;1;0;0;0;0;0;0;53
"me23";2011;2;8;1;7;5;3;1;4;7;5;4;11;1;3;0;0;0;0;0;0;62
"me31";2011;0;3;0;8;2;6;1;3;9;10;3;3;2;1;1;0;0;0;0;0;52
"me32";2011;11;11;4;1;2;3;2;3;4;4;2;5;6;1;0;0;0;0;0;0;59
"me33";2011;2;5;5;4;4;7;4;3;4;2;5;9;0;1;0;0;0;0;0;0;55
"me1";2012;6;15;3;2;2;7;10;13;13;15;18;12;5;2;0;0;0;0;0;0;123
"me2";2012;5;14;1;1;4;13;11;18;21;17;3;9;6;3;0;0;0;0;0;0;126
"me3";2012;1;16;7;7;9;8;6;11;19;8;8;7;5;2;0;0;0;0;0;0;114
