year;sample;biomass.g
1992;me1;NA
1992;me2;NA
1992;me3;NA
1992;me4;NA
1992;me5;NA
1992;me6;NA
1993;me1;NA
1993;me2;NA
1993;me3;NA
1993;me4;NA
1993;me5;NA
1993;me6;NA
1994;me1;NA
1994;me2;NA
1994;me3;NA
1995;me1;NA
1995;me2;NA
1995;me3;NA
1996;me1;NA
1996;me2;NA
1996;me3;NA
1997;me1;NA
1997;me2;NA
1997;me3;NA
1998;me1;NA
1998;me2;NA
1998;me3;NA
1999;me1;NA
1999;me2;NA
1999;me3;NA
2000;me1;6,044
2000;me2;5,55
2000;me3;4,95
2001;me1;19
2001;me2;12,146
2001;me3;13,7
2002;me1;9,994
2002;me2;9,982
2002;me3;11,112
2003;me1;15,32
2003;me2;15,545
2003;me3;12,495
2004;me1;14,884
2004;me2;129,97
2004;me3;18,032
2005;me1;10,727
2005;me2;10,056
2005;me3;13,398
2006;me1;10,4
2006;me2;9,55
2006;me3;8,25
2007;1me1;3,264
2007;1me2;2,688
2007;1me3;4,403
2007;2me1;2,854
2007;2me2;2,548
2007;2me3;6,288
2007;3me1;3,25
2007;3me2;3,589
2007;3me3;5,672
2008;me1;15,018
2008;me2;9,065
2008;me3;11,685
2009;me1;9,189
2009;me2;4,509
2009;me3;15,475
2010;me1;0,333
2010;me2;0,141
2010;me3;16,255
2012;me1;NA
2012;me2;NA
2012;me3;NA
2011;me11;4,327
2011;me12;7,67
2011;me13;6,783
2011;me21;7,185
2011;me22;6,722
2011;me23;7,954
2011;me31;6,681
2011;me32;6,116
2011;me33;5,41
