"Var1";"Var2";"Freq"
"1";"1me1";"1992";NA
"2";"1me2";"1992";NA
"3";"1me3";"1992";NA
"4";"2me1";"1992";NA
"5";"2me2";"1992";NA
"6";"2me3";"1992";NA
"7";"3me1";"1992";NA
"8";"3me2";"1992";NA
"9";"3me3";"1992";NA
"10";"me1";"1992";10
"11";"me11";"1992";NA
"12";"me12";"1992";NA
"13";"me13";"1992";NA
"14";"me2";"1992";90
"15";"me21";"1992";NA
"16";"me22";"1992";NA
"17";"me23";"1992";NA
"18";"me3";"1992";100
"19";"me31";"1992";NA
"20";"me32";"1992";NA
"21";"me33";"1992";NA
"22";"me4";"1992";20
"23";"me5";"1992";50
"24";"me6";"1992";60
"25";"1me1";"1993";NA
"26";"1me2";"1993";NA
"27";"1me3";"1993";NA
"28";"2me1";"1993";NA
"29";"2me2";"1993";NA
"30";"2me3";"1993";NA
"31";"3me1";"1993";NA
"32";"3me2";"1993";NA
"33";"3me3";"1993";NA
"34";"me1";"1993";140
"35";"me11";"1993";NA
"36";"me12";"1993";NA
"37";"me13";"1993";NA
"38";"me2";"1993";240
"39";"me21";"1993";NA
"40";"me22";"1993";NA
"41";"me23";"1993";NA
"42";"me3";"1993";310
"43";"me31";"1993";NA
"44";"me32";"1993";NA
"45";"me33";"1993";NA
"46";"me4";"1993";110
"47";"me5";"1993";160
"48";"me6";"1993";250
"49";"1me1";"1994";NA
"50";"1me2";"1994";NA
"51";"1me3";"1994";NA
"52";"2me1";"1994";NA
"53";"2me2";"1994";NA
"54";"2me3";"1994";NA
"55";"3me1";"1994";NA
"56";"3me2";"1994";NA
"57";"3me3";"1994";NA
"58";"me1";"1994";940
"59";"me11";"1994";NA
"60";"me12";"1994";NA
"61";"me13";"1994";NA
"62";"me2";"1994";870
"63";"me21";"1994";NA
"64";"me22";"1994";NA
"65";"me23";"1994";NA
"66";"me3";"1994";520
"67";"me31";"1994";NA
"68";"me32";"1994";NA
"69";"me33";"1994";NA
"70";"me4";"1994";NA
"71";"me5";"1994";NA
"72";"me6";"1994";NA
"73";"1me1";"1995";NA
"74";"1me2";"1995";NA
"75";"1me3";"1995";NA
"76";"2me1";"1995";NA
"77";"2me2";"1995";NA
"78";"2me3";"1995";NA
"79";"3me1";"1995";NA
"80";"3me2";"1995";NA
"81";"3me3";"1995";NA
"82";"me1";"1995";450
"83";"me11";"1995";NA
"84";"me12";"1995";NA
"85";"me13";"1995";NA
"86";"me2";"1995";560
"87";"me21";"1995";NA
"88";"me22";"1995";NA
"89";"me23";"1995";NA
"90";"me3";"1995";410
"91";"me31";"1995";NA
"92";"me32";"1995";NA
"93";"me33";"1995";NA
"94";"me4";"1995";NA
"95";"me5";"1995";NA
"96";"me6";"1995";NA
"97";"1me1";"1996";NA
"98";"1me2";"1996";NA
"99";"1me3";"1996";NA
"100";"2me1";"1996";NA
"101";"2me2";"1996";NA
"102";"2me3";"1996";NA
"103";"3me1";"1996";NA
"104";"3me2";"1996";NA
"105";"3me3";"1996";NA
"106";"me1";"1996";390
"107";"me11";"1996";NA
"108";"me12";"1996";NA
"109";"me13";"1996";NA
"110";"me2";"1996";330
"111";"me21";"1996";NA
"112";"me22";"1996";NA
"113";"me23";"1996";NA
"114";"me3";"1996";290
"115";"me31";"1996";NA
"116";"me32";"1996";NA
"117";"me33";"1996";NA
"118";"me4";"1996";NA
"119";"me5";"1996";NA
"120";"me6";"1996";NA
"121";"1me1";"1997";NA
"122";"1me2";"1997";NA
"123";"1me3";"1997";NA
"124";"2me1";"1997";NA
"125";"2me2";"1997";NA
"126";"2me3";"1997";NA
"127";"3me1";"1997";NA
"128";"3me2";"1997";NA
"129";"3me3";"1997";NA
"130";"me1";"1997";210
"131";"me11";"1997";NA
"132";"me12";"1997";NA
"133";"me13";"1997";NA
"134";"me2";"1997";190
"135";"me21";"1997";NA
"136";"me22";"1997";NA
"137";"me23";"1997";NA
"138";"me3";"1997";240
"139";"me31";"1997";NA
"140";"me32";"1997";NA
"141";"me33";"1997";NA
"142";"me4";"1997";NA
"143";"me5";"1997";NA
"144";"me6";"1997";NA
"145";"1me1";"1998";NA
"146";"1me2";"1998";NA
"147";"1me3";"1998";NA
"148";"2me1";"1998";NA
"149";"2me2";"1998";NA
"150";"2me3";"1998";NA
"151";"3me1";"1998";NA
"152";"3me2";"1998";NA
"153";"3me3";"1998";NA
"154";"me1";"1998";720
"155";"me11";"1998";NA
"156";"me12";"1998";NA
"157";"me13";"1998";NA
"158";"me2";"1998";770
"159";"me21";"1998";NA
"160";"me22";"1998";NA
"161";"me23";"1998";NA
"162";"me3";"1998";760
"163";"me31";"1998";NA
"164";"me32";"1998";NA
"165";"me33";"1998";NA
"166";"me4";"1998";NA
"167";"me5";"1998";NA
"168";"me6";"1998";NA
"169";"1me1";"1999";NA
"170";"1me2";"1999";NA
"171";"1me3";"1999";NA
"172";"2me1";"1999";NA
"173";"2me2";"1999";NA
"174";"2me3";"1999";NA
"175";"3me1";"1999";NA
"176";"3me2";"1999";NA
"177";"3me3";"1999";NA
"178";"me1";"1999";2940
"179";"me11";"1999";NA
"180";"me12";"1999";NA
"181";"me13";"1999";NA
"182";"me2";"1999";2440
"183";"me21";"1999";NA
"184";"me22";"1999";NA
"185";"me23";"1999";NA
"186";"me3";"1999";840
"187";"me31";"1999";NA
"188";"me32";"1999";NA
"189";"me33";"1999";NA
"190";"me4";"1999";NA
"191";"me5";"1999";NA
"192";"me6";"1999";NA
"193";"1me1";"2000";NA
"194";"1me2";"2000";NA
"195";"1me3";"2000";NA
"196";"2me1";"2000";NA
"197";"2me2";"2000";NA
"198";"2me3";"2000";NA
"199";"3me1";"2000";NA
"200";"3me2";"2000";NA
"201";"3me3";"2000";NA
"202";"me1";"2000";1870
"203";"me11";"2000";NA
"204";"me12";"2000";NA
"205";"me13";"2000";NA
"206";"me2";"2000";1790
"207";"me21";"2000";NA
"208";"me22";"2000";NA
"209";"me23";"2000";NA
"210";"me3";"2000";2080
"211";"me31";"2000";NA
"212";"me32";"2000";NA
"213";"me33";"2000";NA
"214";"me4";"2000";NA
"215";"me5";"2000";NA
"216";"me6";"2000";NA
"217";"1me1";"2001";NA
"218";"1me2";"2001";NA
"219";"1me3";"2001";NA
"220";"2me1";"2001";NA
"221";"2me2";"2001";NA
"222";"2me3";"2001";NA
"223";"3me1";"2001";NA
"224";"3me2";"2001";NA
"225";"3me3";"2001";NA
"226";"me1";"2001";2830
"227";"me11";"2001";NA
"228";"me12";"2001";NA
"229";"me13";"2001";NA
"230";"me2";"2001";2350
"231";"me21";"2001";NA
"232";"me22";"2001";NA
"233";"me23";"2001";NA
"234";"me3";"2001";2640
"235";"me31";"2001";NA
"236";"me32";"2001";NA
"237";"me33";"2001";NA
"238";"me4";"2001";NA
"239";"me5";"2001";NA
"240";"me6";"2001";NA
"241";"1me1";"2002";NA
"242";"1me2";"2002";NA
"243";"1me3";"2002";NA
"244";"2me1";"2002";NA
"245";"2me2";"2002";NA
"246";"2me3";"2002";NA
"247";"3me1";"2002";NA
"248";"3me2";"2002";NA
"249";"3me3";"2002";NA
"250";"me1";"2002";1810
"251";"me11";"2002";NA
"252";"me12";"2002";NA
"253";"me13";"2002";NA
"254";"me2";"2002";1620
"255";"me21";"2002";NA
"256";"me22";"2002";NA
"257";"me23";"2002";NA
"258";"me3";"2002";2320
"259";"me31";"2002";NA
"260";"me32";"2002";NA
"261";"me33";"2002";NA
"262";"me4";"2002";NA
"263";"me5";"2002";NA
"264";"me6";"2002";NA
"265";"1me1";"2003";NA
"266";"1me2";"2003";NA
"267";"1me3";"2003";NA
"268";"2me1";"2003";NA
"269";"2me2";"2003";NA
