"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"(1,2]";0;3,30578512396694;9,87124463519313;14,7887323943662;0;0;45,3333333333333;32,7974276527331;4,70383275261324;7,28900255754476;5,91304347826087;24,6246246246246;37,037037037037;18,6858316221766;10,738255033557;56,282722513089;32,2772277227723;30,8243727598566;19,2868719611021;10,183299389002;12,8205128205128
"(2,3]";0;20,6611570247934;11,1587982832618;8,45070422535211;10,8910891089109;0;25,3333333333333;50,9646302250804;11,8466898954704;5,37084398976982;3,47826086956522;1,5015015015015;11,4114114114114;10,4722792607803;6,3758389261745;5,75916230366492;11,0891089108911;16,1290322580645;16,5316045380875;3,66598778004073;3,13390313390313
"(3,4]";0;38,0165289256198;2,14592274678112;2,11267605633803;8,91089108910891;0;1,77777777777778;7,07395498392283;27,0034843205575;10,230179028133;6,95652173913043;1,95195195195195;2,7027027027027;10,0616016427105;4,36241610738255;3,66492146596859;10,6930693069307;10,3942652329749;12,3176661264182;7,94297352342159;2,84900284900285
"(4,5]";0;16,5289256198347;4,72103004291846;4,22535211267606;5,94059405940594;1,5625;0,888888888888889;3,37620578778135;27,8745644599303;12,1483375959079;14,0869565217391;4,35435435435435;1,6016016016016;5,95482546201232;6,3758389261745;2,4869109947644;5,74257425742574;6,45161290322581;8,26580226904376;6,72097759674134;4,27350427350427
"(5,6]";0;6,61157024793388;6,00858369098712;7,74647887323944;1,98019801980198;9,375;0,888888888888889;2,41157556270096;13,9372822299652;19,1815856777494;17,5652173913043;6,15615615615616;2,3023023023023;3,90143737166324;7,04697986577181;1,70157068062827;4,55445544554455;8,06451612903226;4,70016207455429;9,16496945010183;7,97720797720798
"(6,7]";3,03030303030303;0;11,1587982832618;8,45070422535211;6,93069306930693;7,8125;1,33333333333333;1,28617363344051;4,00696864111498;20,460358056266;20,695652173913;14,1141141141141;4,6046046046046;4,51745379876797;8,38926174496644;3,40314136125654;3,16831683168317;4,12186379928315;5,67260940032415;6,72097759674134;7,69230769230769
"(7,8]";6,06060606060606;1,65289256198347;17,1673819742489;4,92957746478873;4,95049504950495;9,375;0,444444444444444;0,321543408360129;4,52961672473868;14,0664961636829;16,695652173913;18,4684684684685;13,7137137137137;8,82956878850103;9,73154362416107;5,49738219895288;2,37623762376238;4,83870967741935;6,645056726094;8,14663951120163;11,965811965812
"(8,9]";15,1515151515152;0;12,8755364806867;7,04225352112676;10,8910891089109;10,9375;0,888888888888889;0,160771704180064;1,91637630662021;5,88235294117647;8,52173913043478;18,4684684684685;15,1151151151151;16,2217659137577;7,71812080536913;4,05759162303665;2,57425742574257;2,68817204301075;4,86223662884927;11,6089613034623;15,0997150997151
"(9,10]";12,1212121212121;0;9,87124463519313;12,6760563380282;9,9009900990099;6,25;1,33333333333333;0,321543408360129;1,56794425087108;2,55754475703325;2,43478260869565;6,45645645645646;7,80780780780781;15,8110882956879;13,758389261745;4,45026178010471;5,14851485148515;1,7921146953405;4,70016207455429;10,183299389002;11,3960113960114
"(10,11]";9,09090909090909;0;3,86266094420601;16,1971830985916;12,8712871287129;3,125;4,88888888888889;0;0;1,27877237851662;1,73913043478261;2,55255255255255;3,1031031031031;4,31211498973306;18,1208053691275;6,15183246073298;7,12871287128713;3,40501792114695;5,51053484602917;7,12830957230142;8,26210826210826
"(11,12]";12,1212121212121;1,65289256198347;0,429184549356223;4,22535211267606;11,8811881188119;23,4375;4,88888888888889;0,321543408360129;0;0,255754475703325;0,173913043478261;0,15015015015015;0,600600600600601;0,616016427104723;6,04026845637584;4,05759162303665;7,12871287128713;4,83870967741935;6,32090761750405;10,3869653767821;7,97720797720798
"(12,13]";15,1515151515152;2,47933884297521;2,57510729613734;4,22535211267606;5,94059405940594;18,75;4;0,160771704180064;1,04529616724739;0,255754475703325;0,347826086956522;0,45045045045045;0;0,410677618069815;0,671140939597315;1,57068062827225;5,54455445544555;4,3010752688172;3,24149108589951;5,4989816700611;4,55840455840456
"(13,14]";9,09090909090909;5,78512396694215;2,14592274678112;2,11267605633803;4,95049504950495;6,25;3,55555555555556;0,321543408360129;0,696864111498258;0,255754475703325;0,695652173913043;0,45045045045045;0;0,205338809034908;0,671140939597315;0,392670157068063;2,17821782178218;1,7921146953405;1,62074554294976;2,44399185336049;1,99430199430199
"(14,15]";6,06060606060606;0,826446280991736;2,57510729613734;2,8169014084507;1,98019801980198;1,5625;1,77777777777778;0,321543408360129;0,348432055749129;0,51150895140665;0,521739130434783;0,15015015015015;0;0;0;0,523560209424084;0,396039603960396;0,17921146953405;0,162074554294976;0,203665987780041;0
"(15,16]";9,09090909090909;0,826446280991736;3,43347639484979;0;0,99009900990099;1,5625;0,888888888888889;0,160771704180064;0,174216027874564;0,255754475703325;0,173913043478261;0,15015015015015;0;0;0;0;0;0;0,162074554294976;0;0
"(16,17]";3,03030303030303;0,826446280991736;0;0;0,99009900990099;0;1,77777777777778;0;0,174216027874564;0;0;0;0;0;0;0;0;0,17921146953405;0;0;0
"(17,18]";0;0;0;0;0;0;0;0;0,174216027874564;0;0;0;0;0;0;0;0;0;0;0;0
"(18,19]";0;0,826446280991736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(19,20]";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
