year;sample;Length.mm
1992;me1;9,8
1992;me2;6,7
1992;me2;7,2
1992;me2;9,5
1992;me2;10
1992;me2;12,2
1992;me2;11
1992;me2;11,1
1992;me2;12,5
1992;me2;14,9
1992;me3;8,6
1992;me3;8,5
1992;me3;8,5
1992;me3;8,7
1992;me3;9,9
1992;me3;10,4
1992;me3;13,5
1992;me3;12,8
1992;me3;13,3
1992;me3;15,3
1992;me4;10,1
1992;me4;16,1
1992;me5;13,5
1992;me5;7,7
1992;me5;11,7
1992;me5;12,9
1992;me5;12,8
1992;me6;8,3
1992;me6;11,9
1992;me6;11,5
1992;me6;14,3
1992;me6;15,9
1992;me6;15,9
1993;me1;5,3
1993;me1;5
1993;me1;4,7
1993;me1;3
1993;me1;5,5
1993;me1;4,3
1993;me1;4,8
1993;me1;5,1
1993;me1;4,8
1993;me1;4,7
1993;me1;3,5
1993;me1;5,6
1993;me1;4,2
1993;me1;4,1
1993;me2;3,2
1993;me2;18,2
1993;me2;1,2
1993;me2;4,6
1993;me2;3,7
1993;me2;3,5
1993;me2;3,8
1993;me2;1,6
1993;me2;3,7
1993;me2;2,3
1993;me2;4
1993;me2;3,4
1993;me2;1,4
1993;me2;4,3
1993;me2;4,1
1993;me2;3,6
1993;me2;4,2
1993;me2;5,8
1993;me2;1
1993;me2;4
1993;me2;2,8
1993;me2;2,8
1993;me2;4,3
1993;me2;4,2
1993;me2;7,2
1993;me3;3,6
1993;me3;2
1993;me3;2,5
1993;me3;2,6
1993;me3;2,6
1993;me3;3,1
1993;me3;3,8
1993;me3;3,5
1993;me3;3
1993;me3;2,8
1993;me3;4
1993;me3;3,6
1993;me3;12
1993;me3;2,8
1993;me3;3,7
1993;me3;2,5
1993;me3;3,2
1993;me3;5,7
1993;me3;3,8
1993;me3;2,8
1993;me3;3,8
1993;me3;3,9
1993;me3;2,5
1993;me3;4,5
1993;me3;3,8
1993;me3;3,9
1993;me3;3,2
1993;me3;2,7
1993;me3;13,9
1993;me3;3,4
1993;me3;2,5
1993;me4;15,1
1993;me4;3,5
1993;me4;3,5
1993;me4;2,9
1993;me4;2,2
1993;me4;4
1993;me4;5,3
1993;me4;16,2
1993;me4;3,4
1993;me4;13,5
1993;me4;2,9
1993;me5;13,9
1993;me5;3
1993;me5;12,1
1993;me5;3,5
1993;me5;11,9
1993;me5;3,7
1993;me5;12,5
1993;me5;3,6
1993;me5;3,4
1993;me5;3
1993;me5;2,7
1993;me5;3,1
1993;me5;2,9
1993;me5;3,2
1993;me5;3,5
