"oneyear.int";"year";"sample";"Freq"
"2";"(1.2,1.8]";"1992";"1me1";NA
"6";"(1.2,1.8]";"1993";"1me1";NA
"10";"(1.2,1.8]";"1994";"1me1";NA
"14";"(1.2,1.8]";"1995";"1me1";NA
"18";"(1.2,1.8]";"1996";"1me1";NA
"22";"(1.2,1.8]";"1997";"1me1";NA
"26";"(1.2,1.8]";"1998";"1me1";NA
"30";"(1.2,1.8]";"1999";"1me1";NA
"34";"(1.2,1.8]";"2000";"1me1";NA
"38";"(1.2,1.8]";"2001";"1me1";NA
"42";"(1.2,1.8]";"2002";"1me1";NA
"46";"(1.2,1.8]";"2003";"1me1";NA
"50";"(1.2,1.8]";"2004";"1me1";NA
"54";"(1.2,1.8]";"2005";"1me1";NA
"58";"(1.2,1.8]";"2006";"1me1";NA
"62";"(1.2,1.8]";"2007";"1me1";16
"66";"(1.2,1.8]";"2008";"1me1";NA
"70";"(1.2,1.8]";"2009";"1me1";NA
"74";"(1.2,1.8]";"2010";"1me1";NA
"78";"(1.2,1.8]";"2011";"1me1";NA
"82";"(1.2,1.8]";"2012";"1me1";NA
"86";"(1.2,1.8]";"1992";"1me2";NA
"90";"(1.2,1.8]";"1993";"1me2";NA
"94";"(1.2,1.8]";"1994";"1me2";NA
"98";"(1.2,1.8]";"1995";"1me2";NA
"102";"(1.2,1.8]";"1996";"1me2";NA
"106";"(1.2,1.8]";"1997";"1me2";NA
"110";"(1.2,1.8]";"1998";"1me2";NA
"114";"(1.2,1.8]";"1999";"1me2";NA
"118";"(1.2,1.8]";"2000";"1me2";NA
"122";"(1.2,1.8]";"2001";"1me2";NA
"126";"(1.2,1.8]";"2002";"1me2";NA
"130";"(1.2,1.8]";"2003";"1me2";NA
"134";"(1.2,1.8]";"2004";"1me2";NA
"138";"(1.2,1.8]";"2005";"1me2";NA
"142";"(1.2,1.8]";"2006";"1me2";NA
"146";"(1.2,1.8]";"2007";"1me2";23
"150";"(1.2,1.8]";"2008";"1me2";NA
"154";"(1.2,1.8]";"2009";"1me2";NA
"158";"(1.2,1.8]";"2010";"1me2";NA
"162";"(1.2,1.8]";"2011";"1me2";NA
"166";"(1.2,1.8]";"2012";"1me2";NA
"170";"(1.2,1.8]";"1992";"1me3";NA
"174";"(1.2,1.8]";"1993";"1me3";NA
"178";"(1.2,1.8]";"1994";"1me3";NA
"182";"(1.2,1.8]";"1995";"1me3";NA
"186";"(1.2,1.8]";"1996";"1me3";NA
"190";"(1.2,1.8]";"1997";"1me3";NA
"194";"(1.2,1.8]";"1998";"1me3";NA
"198";"(1.2,1.8]";"1999";"1me3";NA
"202";"(1.2,1.8]";"2000";"1me3";NA
"206";"(1.2,1.8]";"2001";"1me3";NA
"210";"(1.2,1.8]";"2002";"1me3";NA
"214";"(1.2,1.8]";"2003";"1me3";NA
"218";"(1.2,1.8]";"2004";"1me3";NA
"222";"(1.2,1.8]";"2005";"1me3";NA
"226";"(1.2,1.8]";"2006";"1me3";NA
"230";"(1.2,1.8]";"2007";"1me3";48
"234";"(1.2,1.8]";"2008";"1me3";NA
"238";"(1.2,1.8]";"2009";"1me3";NA
"242";"(1.2,1.8]";"2010";"1me3";NA
"246";"(1.2,1.8]";"2011";"1me3";NA
"250";"(1.2,1.8]";"2012";"1me3";NA
"254";"(1.2,1.8]";"1992";"2me1";NA
"258";"(1.2,1.8]";"1993";"2me1";NA
"262";"(1.2,1.8]";"1994";"2me1";NA
"266";"(1.2,1.8]";"1995";"2me1";NA
"270";"(1.2,1.8]";"1996";"2me1";NA
"274";"(1.2,1.8]";"1997";"2me1";NA
"278";"(1.2,1.8]";"1998";"2me1";NA
"282";"(1.2,1.8]";"1999";"2me1";NA
"286";"(1.2,1.8]";"2000";"2me1";NA
"290";"(1.2,1.8]";"2001";"2me1";NA
"294";"(1.2,1.8]";"2002";"2me1";NA
"298";"(1.2,1.8]";"2003";"2me1";NA
"302";"(1.2,1.8]";"2004";"2me1";NA
"306";"(1.2,1.8]";"2005";"2me1";NA
"310";"(1.2,1.8]";"2006";"2me1";NA
"314";"(1.2,1.8]";"2007";"2me1";9
"318";"(1.2,1.8]";"2008";"2me1";NA
"322";"(1.2,1.8]";"2009";"2me1";NA
"326";"(1.2,1.8]";"2010";"2me1";NA
"330";"(1.2,1.8]";"2011";"2me1";NA
"334";"(1.2,1.8]";"2012";"2me1";NA
"338";"(1.2,1.8]";"1992";"2me2";NA
"342";"(1.2,1.8]";"1993";"2me2";NA
"346";"(1.2,1.8]";"1994";"2me2";NA
"350";"(1.2,1.8]";"1995";"2me2";NA
"354";"(1.2,1.8]";"1996";"2me2";NA
"358";"(1.2,1.8]";"1997";"2me2";NA
"362";"(1.2,1.8]";"1998";"2me2";NA
"366";"(1.2,1.8]";"1999";"2me2";NA
"370";"(1.2,1.8]";"2000";"2me2";NA
"374";"(1.2,1.8]";"2001";"2me2";NA
"378";"(1.2,1.8]";"2002";"2me2";NA
"382";"(1.2,1.8]";"2003";"2me2";NA
"386";"(1.2,1.8]";"2004";"2me2";NA
"390";"(1.2,1.8]";"2005";"2me2";NA
"394";"(1.2,1.8]";"2006";"2me2";NA
"398";"(1.2,1.8]";"2007";"2me2";68
"402";"(1.2,1.8]";"2008";"2me2";NA
"406";"(1.2,1.8]";"2009";"2me2";NA
"410";"(1.2,1.8]";"2010";"2me2";NA
"414";"(1.2,1.8]";"2011";"2me2";NA
"418";"(1.2,1.8]";"2012";"2me2";NA
"422";"(1.2,1.8]";"1992";"2me3";NA
"426";"(1.2,1.8]";"1993";"2me3";NA
"430";"(1.2,1.8]";"1994";"2me3";NA
"434";"(1.2,1.8]";"1995";"2me3";NA
"438";"(1.2,1.8]";"1996";"2me3";NA
"442";"(1.2,1.8]";"1997";"2me3";NA
"446";"(1.2,1.8]";"1998";"2me3";NA
"450";"(1.2,1.8]";"1999";"2me3";NA
"454";"(1.2,1.8]";"2000";"2me3";NA
"458";"(1.2,1.8]";"2001";"2me3";NA
"462";"(1.2,1.8]";"2002";"2me3";NA
"466";"(1.2,1.8]";"2003";"2me3";NA
"470";"(1.2,1.8]";"2004";"2me3";NA
"474";"(1.2,1.8]";"2005";"2me3";NA
"478";"(1.2,1.8]";"2006";"2me3";NA
"482";"(1.2,1.8]";"2007";"2me3";28
"486";"(1.2,1.8]";"2008";"2me3";NA
"490";"(1.2,1.8]";"2009";"2me3";NA
"494";"(1.2,1.8]";"2010";"2me3";NA
"498";"(1.2,1.8]";"2011";"2me3";NA
"502";"(1.2,1.8]";"2012";"2me3";NA
"506";"(1.2,1.8]";"1992";"3me1";NA
"510";"(1.2,1.8]";"1993";"3me1";NA
"514";"(1.2,1.8]";"1994";"3me1";NA
"518";"(1.2,1.8]";"1995";"3me1";NA
"522";"(1.2,1.8]";"1996";"3me1";NA
"526";"(1.2,1.8]";"1997";"3me1";NA
"530";"(1.2,1.8]";"1998";"3me1";NA
"534";"(1.2,1.8]";"1999";"3me1";NA
"538";"(1.2,1.8]";"2000";"3me1";NA
"542";"(1.2,1.8]";"2001";"3me1";NA
"546";"(1.2,1.8]";"2002";"3me1";NA
"550";"(1.2,1.8]";"2003";"3me1";NA
"554";"(1.2,1.8]";"2004";"3me1";NA
"558";"(1.2,1.8]";"2005";"3me1";NA
"562";"(1.2,1.8]";"2006";"3me1";NA
"566";"(1.2,1.8]";"2007";"3me1";11
"570";"(1.2,1.8]";"2008";"3me1";NA
"574";"(1.2,1.8]";"2009";"3me1";NA
"578";"(1.2,1.8]";"2010";"3me1";NA
"582";"(1.2,1.8]";"2011";"3me1";NA
"586";"(1.2,1.8]";"2012";"3me1";NA
"590";"(1.2,1.8]";"1992";"3me2";NA
"594";"(1.2,1.8]";"1993";"3me2";NA
"598";"(1.2,1.8]";"1994";"3me2";NA
"602";"(1.2,1.8]";"1995";"3me2";NA
"606";"(1.2,1.8]";"1996";"3me2";NA
