year;sample
1992;me1
1992;me2
1992;me3
1992;me4
1992;me5
1992;me6
1993;me1
1993;me2
1993;me3
1993;me4
1993;me5
1993;me6
1994;me1
1994;me2
1994;me3
1995;me1
1995;me2
1995;me3
1996;me1
1996;me2
1996;me3
1997;me1
1997;me2
1997;me3
1998;me1
1998;me2
1998;me3
1999;me1
1999;me2
1999;me3
2000;me1
2000;me2
2000;me3
2001;me1
2001;me2
2001;me3
2002;me1
2002;me2
2002;me3
2003;me1
2003;me2
2003;me3
2004;me1
2004;me2
2004;me3
2005;me1
2005;me2
2005;me3
2006;me1
2006;me2
2006;me3
2007;1me1
2007;1me2
2007;1me3
2007;2me1
2007;2me2
2007;2me3
2007;3me1
2007;3me2
2007;3me3
2008;me1
2008;me2
2008;me3
2009;me1
2009;me2
2009;me3
2010;me1
2010;me2
2010;me3
2012;me1
2012;me2
2012;me3
2011;me11
2011;me12
2011;me13
2011;me21
2011;me22
2011;me23
2011;me31
2011;me32
2011;me33
