"Length.int" "year" "sample" "Freq"
"1" "(0,1]" "1992" "1me1" NA
"2" "(1,2]" "1992" "1me1" NA
"3" "(2,3]" "1992" "1me1" NA
"4" "(3,4]" "1992" "1me1" NA
"5" "(4,5]" "1992" "1me1" NA
"6" "(5,6]" "1992" "1me1" NA
"7" "(6,7]" "1992" "1me1" NA
"8" "(7,8]" "1992" "1me1" NA
"9" "(8,9]" "1992" "1me1" NA
"10" "(9,10]" "1992" "1me1" NA
"11" "(10,11]" "1992" "1me1" NA
"12" "(11,12]" "1992" "1me1" NA
"13" "(12,13]" "1992" "1me1" NA
"14" "(13,14]" "1992" "1me1" NA
"15" "(14,15]" "1992" "1me1" NA
"16" "(15,16]" "1992" "1me1" NA
"17" "(16,17]" "1992" "1me1" NA
"18" "(17,18]" "1992" "1me1" NA
"19" "(18,19]" "1992" "1me1" NA
"20" "(19,20]" "1992" "1me1" NA
"21" "(0,1]" "1993" "1me1" NA
"22" "(1,2]" "1993" "1me1" NA
"23" "(2,3]" "1993" "1me1" NA
"24" "(3,4]" "1993" "1me1" NA
"25" "(4,5]" "1993" "1me1" NA
"26" "(5,6]" "1993" "1me1" NA
"27" "(6,7]" "1993" "1me1" NA
"28" "(7,8]" "1993" "1me1" NA
"29" "(8,9]" "1993" "1me1" NA
"30" "(9,10]" "1993" "1me1" NA
"31" "(10,11]" "1993" "1me1" NA
"32" "(11,12]" "1993" "1me1" NA
"33" "(12,13]" "1993" "1me1" NA
"34" "(13,14]" "1993" "1me1" NA
"35" "(14,15]" "1993" "1me1" NA
"36" "(15,16]" "1993" "1me1" NA
"37" "(16,17]" "1993" "1me1" NA
"38" "(17,18]" "1993" "1me1" NA
"39" "(18,19]" "1993" "1me1" NA
"40" "(19,20]" "1993" "1me1" NA
"41" "(0,1]" "1994" "1me1" NA
"42" "(1,2]" "1994" "1me1" NA
"43" "(2,3]" "1994" "1me1" NA
"44" "(3,4]" "1994" "1me1" NA
"45" "(4,5]" "1994" "1me1" NA
"46" "(5,6]" "1994" "1me1" NA
"47" "(6,7]" "1994" "1me1" NA
"48" "(7,8]" "1994" "1me1" NA
"49" "(8,9]" "1994" "1me1" NA
"50" "(9,10]" "1994" "1me1" NA
"51" "(10,11]" "1994" "1me1" NA
"52" "(11,12]" "1994" "1me1" NA
"53" "(12,13]" "1994" "1me1" NA
"54" "(13,14]" "1994" "1me1" NA
"55" "(14,15]" "1994" "1me1" NA
"56" "(15,16]" "1994" "1me1" NA
"57" "(16,17]" "1994" "1me1" NA
"58" "(17,18]" "1994" "1me1" NA
"59" "(18,19]" "1994" "1me1" NA
"60" "(19,20]" "1994" "1me1" NA
"61" "(0,1]" "1995" "1me1" NA
"62" "(1,2]" "1995" "1me1" NA
"63" "(2,3]" "1995" "1me1" NA
"64" "(3,4]" "1995" "1me1" NA
"65" "(4,5]" "1995" "1me1" NA
"66" "(5,6]" "1995" "1me1" NA
"67" "(6,7]" "1995" "1me1" NA
"68" "(7,8]" "1995" "1me1" NA
"69" "(8,9]" "1995" "1me1" NA
"70" "(9,10]" "1995" "1me1" NA
"71" "(10,11]" "1995" "1me1" NA
"72" "(11,12]" "1995" "1me1" NA
"73" "(12,13]" "1995" "1me1" NA
"74" "(13,14]" "1995" "1me1" NA
"75" "(14,15]" "1995" "1me1" NA
"76" "(15,16]" "1995" "1me1" NA
"77" "(16,17]" "1995" "1me1" NA
"78" "(17,18]" "1995" "1me1" NA
"79" "(18,19]" "1995" "1me1" NA
"80" "(19,20]" "1995" "1me1" NA
"81" "(0,1]" "1996" "1me1" NA
"82" "(1,2]" "1996" "1me1" NA
"83" "(2,3]" "1996" "1me1" NA
"84" "(3,4]" "1996" "1me1" NA
"85" "(4,5]" "1996" "1me1" NA
"86" "(5,6]" "1996" "1me1" NA
"87" "(6,7]" "1996" "1me1" NA
"88" "(7,8]" "1996" "1me1" NA
"89" "(8,9]" "1996" "1me1" NA
"90" "(9,10]" "1996" "1me1" NA
"91" "(10,11]" "1996" "1me1" NA
"92" "(11,12]" "1996" "1me1" NA
"93" "(12,13]" "1996" "1me1" NA
"94" "(13,14]" "1996" "1me1" NA
"95" "(14,15]" "1996" "1me1" NA
"96" "(15,16]" "1996" "1me1" NA
"97" "(16,17]" "1996" "1me1" NA
"98" "(17,18]" "1996" "1me1" NA
"99" "(18,19]" "1996" "1me1" NA
"100" "(19,20]" "1996" "1me1" NA
"101" "(0,1]" "1997" "1me1" NA
"102" "(1,2]" "1997" "1me1" NA
"103" "(2,3]" "1997" "1me1" NA
"104" "(3,4]" "1997" "1me1" NA
"105" "(4,5]" "1997" "1me1" NA
"106" "(5,6]" "1997" "1me1" NA
"107" "(6,7]" "1997" "1me1" NA
"108" "(7,8]" "1997" "1me1" NA
"109" "(8,9]" "1997" "1me1" NA
"110" "(9,10]" "1997" "1me1" NA
"111" "(10,11]" "1997" "1me1" NA
"112" "(11,12]" "1997" "1me1" NA
"113" "(12,13]" "1997" "1me1" NA
"114" "(13,14]" "1997" "1me1" NA
"115" "(14,15]" "1997" "1me1" NA
"116" "(15,16]" "1997" "1me1" NA
"117" "(16,17]" "1997" "1me1" NA
"118" "(17,18]" "1997" "1me1" NA
"119" "(18,19]" "1997" "1me1" NA
"120" "(19,20]" "1997" "1me1" NA
"121" "(0,1]" "1998" "1me1" NA
"122" "(1,2]" "1998" "1me1" NA
"123" "(2,3]" "1998" "1me1" NA
"124" "(3,4]" "1998" "1me1" NA
"125" "(4,5]" "1998" "1me1" NA
"126" "(5,6]" "1998" "1me1" NA
"127" "(6,7]" "1998" "1me1" NA
"128" "(7,8]" "1998" "1me1" NA
"129" "(8,9]" "1998" "1me1" NA
"130" "(9,10]" "1998" "1me1" NA
"131" "(10,11]" "1998" "1me1" NA
"132" "(11,12]" "1998" "1me1" NA
"133" "(12,13]" "1998" "1me1" NA
"134" "(13,14]" "1998" "1me1" NA
"135" "(14,15]" "1998" "1me1" NA
"136" "(15,16]" "1998" "1me1" NA
"137" "(16,17]" "1998" "1me1" NA
"138" "(17,18]" "1998" "1me1" NA
"139" "(18,19]" "1998" "1me1" NA
"140" "(19,20]" "1998" "1me1" NA
"141" "(0,1]" "1999" "1me1" NA
"142" "(1,2]" "1999" "1me1" NA
"143" "(2,3]" "1999" "1me1" NA
"144" "(3,4]" "1999" "1me1" NA
"145" "(4,5]" "1999" "1me1" NA
"146" "(5,6]" "1999" "1me1" NA
"147" "(6,7]" "1999" "1me1" NA
"148" "(7,8]" "1999" "1me1" NA
"149" "(8,9]" "1999" "1me1" NA
"150" "(9,10]" "1999" "1me1" NA
"151" "(10,11]" "1999" "1me1" NA
"152" "(11,12]" "1999" "1me1" NA
"153" "(12,13]" "1999" "1me1" NA
"154" "(13,14]" "1999" "1me1" NA
"155" "(14,15]" "1999" "1me1" NA
"156" "(15,16]" "1999" "1me1" NA
"157" "(16,17]" "1999" "1me1" NA
"158" "(17,18]" "1999" "1me1" NA
"159" "(18,19]" "1999" "1me1" NA
"160" "(19,20]" "1999" "1me1" NA
"161" "(0,1]" "2000" "1me1" NA
"162" "(1,2]" "2000" "1me1" NA
"163" "(2,3]" "2000" "1me1" NA
"164" "(3,4]" "2000" "1me1" NA
"165" "(4,5]" "2000" "1me1" NA
"166" "(5,6]" "2000" "1me1" NA
"167" "(6,7]" "2000" "1me1" NA
"168" "(7,8]" "2000" "1me1" NA
"169" "(8,9]" "2000" "1me1" NA
"170" "(9,10]" "2000" "1me1" NA
"171" "(10,11]" "2000" "1me1" NA
"172" "(11,12]" "2000" "1me1" NA
"173" "(12,13]" "2000" "1me1" NA
"174" "(13,14]" "2000" "1me1" NA
"175" "(14,15]" "2000" "1me1" NA
"176" "(15,16]" "2000" "1me1" NA
"177" "(16,17]" "2000" "1me1" NA
"178" "(17,18]" "2000" "1me1" NA
"179" "(18,19]" "2000" "1me1" NA
"180" "(19,20]" "2000" "1me1" NA
"181" "(0,1]" "2001" "1me1" NA
"182" "(1,2]" "2001" "1me1" NA
"183" "(2,3]" "2001" "1me1" NA
"184" "(3,4]" "2001" "1me1" NA
"185" "(4,5]" "2001" "1me1" NA
"186" "(5,6]" "2001" "1me1" NA
"187" "(6,7]" "2001" "1me1" NA
"188" "(7,8]" "2001" "1me1" NA
"189" "(8,9]" "2001" "1me1" NA
"190" "(9,10]" "2001" "1me1" NA
"191" "(10,11]" "2001" "1me1" NA
"192" "(11,12]" "2001" "1me1" NA
"193" "(12,13]" "2001" "1me1" NA
"194" "(13,14]" "2001" "1me1" NA
"195" "(14,15]" "2001" "1me1" NA
"196" "(15,16]" "2001" "1me1" NA
"197" "(16,17]" "2001" "1me1" NA
"198" "(17,18]" "2001" "1me1" NA
"199" "(18,19]" "2001" "1me1" NA
"200" "(19,20]" "2001" "1me1" NA
"201" "(0,1]" "2002" "1me1" NA
"202" "(1,2]" "2002" "1me1" NA
"203" "(2,3]" "2002" "1me1" NA
"204" "(3,4]" "2002" "1me1" NA
"205" "(4,5]" "2002" "1me1" NA
"206" "(5,6]" "2002" "1me1" NA
"207" "(6,7]" "2002" "1me1" NA
"208" "(7,8]" "2002" "1me1" NA
"209" "(8,9]" "2002" "1me1" NA
"210" "(9,10]" "2002" "1me1" NA
"211" "(10,11]" "2002" "1me1" NA
"212" "(11,12]" "2002" "1me1" NA
"213" "(12,13]" "2002" "1me1" NA
"214" "(13,14]" "2002" "1me1" NA
"215" "(14,15]" "2002" "1me1" NA
"216" "(15,16]" "2002" "1me1" NA
"217" "(16,17]" "2002" "1me1" NA
