"diff";"lwr";"upr";"p adj"
"1993-1992";146,666666666667;-20,4927339422445;313,826067275578;0,109936523442049
"1994-1992";721,666666666667;516,939048066011;926,394285267322;5,35500754850204e-09
"1995-1992";418,333333333333;213,605714732677;623,060951933989;3,03748641072854e-05
"1996-1992";281,666666666666;76,9390480660105;486,394285267322;0,00351007272316339
"1997-1992";158,333333333333;-46,3942852673228;363,060951933989;0,202126357032758
"1998-1992";695;490,272381399344;899,727618600656;1,03012665064739e-08
"1994-1993";575;370,272381399344;779,727618600656;2,47398750263805e-07
"1995-1993";271,666666666667;66,9390480660107;476,394285267322;0,00500564916592283
"1996-1993";135;-69,727618600656;339,727618600656;0,361224906781223
"1997-1993";11,6666666666666;-193,060951933989;216,394285267322;0,999995445280196
"1998-1993";548,333333333333;343,605714732677;753,060951933989;5,31026637218268e-07
"1995-1994";-303,333333333333;-539,732424752613;-66,9342419140541;0,00687520132227226
"1996-1994";-440;-676,399091419279;-203,600908580721;0,0001067487010038
"1997-1994";-563,333333333333;-799,732424752613;-326,934241914054;3,26183369803168e-06
"1998-1994";-26,6666666666669;-263,065758085946;209,732424752612;0,999747908666165
"1996-1995";-136,666666666667;-373,065758085946;99,7324247526126;0,509441399619514
"1997-1995";-260;-496,399091419279;-23,6009085807207;0,0253125510901019
"1998-1995";276,666666666667;40,2675752473872;513,065758085946;0,0154273624993478
"1997-1996";-123,333333333333;-359,732424752613;113,065758085946;0,621073885445859
"1998-1996";413,333333333333;176,934241914054;649,732424752613;0,000236856614708514
"1998-1997";536,666666666667;300,267575247387;773,065758085946;6,72913397770092e-06
