year;tidal_level;sample;Length.mm;;;;
1992;high_beatch;II-1;12;;;;kafedra
1992;high_beatch;II-1;9,4;;;;hydrobiiology1
1992;high_beatch;II-1;10,25;;;;
1992;high_beatch;II-2;11,5;;;;
1992;high_beatch;II-2;8;;;;
1992;high_beatch;II-2;9,7;;;;
1992;high_beatch;II-2;9;;;;
1992;high_beatch;II-2;9;;;;
1992;high_beatch;II-2;8,7;;;;
1992;high_beatch;II-2;8;;;;
1992;high_beatch;II-2;7;;;;
1992;high_beatch;II-3;12,5;;;;
1992;high_beatch;II-3;11;;;;
1992;high_beatch;II-14;9;;;;
1992;high_beatch;II-14;9,5;;;;
1992;high_beatch;II-14;10;;;;
1992;high_beatch;II-14;7;;;;
1992;high_beatch;II-14;7;;;;
1992;high_beatch;II-14;7,3;;;;
1992;high_beatch;II-14;5,5;;;;
1992;high_beatch;II-15;6,5;;;;
1992;high_beatch;II-18;4,75;;;;
1992;fucus_zone;II-16;24;;;;
1992;fucus_zone;II-8;9,2;;;;
1992;fucus_zone;II-8;7,2;;;;
1992;fucus_zone;II-8;6;;;;
1992;fucus_zone;II-8;10,1;;;;
1992;fucus_zone;II-9;14;;;;
1992;fucus_zone;II-9;9,3;;;;
1992;fucus_zone;II-9;8,7;;;;
1992;fucus_zone;II-9;5,9;;;;
1992;fucus_zone;II-9;5,1;;;;
1992;fucus_zone;II-9;5,2;;;;
1992;fucus_zone;II-9;4,2;;;;
1992;fucus_zone;II-9;4,2;;;;
1992;fucus_zone;II-9;4;;;;
1992;fucus_zone;II-9;3,7;;;;
1992;fucus_zone;II-10;7,7;;;;
1992;fucus_zone;II-10;6,2;;;;
1992;fucus_zone;II-10;6;;;;
1992;fucus_zone;II-10;4,3;;;;
1992;fucus_zone;II-10;5,5;;;;
1992;zostera_zone;II-4;16,2;;4;;
1992;zostera_zone;II-4;13,3;;7;;
1992;zostera_zone;II-4;12,1;;11;;
1992;zostera_zone;II-4;9,4;;12;;
1992;zostera_zone;II-4;7,1;;20;;
1992;zostera_zone;II-4;11,9;;;;
1992;zostera_zone;II-4;7,4;;;;
1992;zostera_zone;II-4;5,8;;;;
1992;zostera_zone;II-4;3,6;;;;
1992;zostera_zone;II-4;3,8;;;;
1992;zostera_zone;II-4;4,6;;;;
1992;zostera_zone;II-4;4;;;;
1992;zostera_zone;II-4;3,9;;;;
1992;zostera_zone;II-4;3,6;;;;
1992;zostera_zone;II-4;3,2;;;;
1992;zostera_zone;II-4;3,3;;;;
