day;month;year;area;Nst;sample;N.sample;B.sample
15;7;1987;Seldyanaya;1;n1;9;0,30
4;8;1988;Seldyanaya;1;n1;0;0,00
21;7;1989;Seldyanaya;1;n1;1;0,15
21;7;1990;Seldyanaya;1;n1;9;0,24
27;7;1991;Seldyanaya;1;n1;11;0,22
22;7;1992;Seldyanaya;1;n1;18;0,80
24;7;1993;Seldyanaya;1;n1;11;0,91
9;8;1994;Seldyanaya;1;n1;7;1,30
4;8;1995;Seldyanaya;1;n1;29,4;0,67
27;7;1996;Seldyanaya;1;n1;122,9;3,64
20;7;1997;Seldyanaya;1;n1;78,25;0,42
25;7;1998;Seldyanaya;1;n1;97,45;0,31
15;8;1999;Seldyanaya;1;n1;110,15;8,27
13;8;2000;Seldyanaya;1;n1;85,15;3,47
6;8;2001;Seldyanaya;1;n1;75,325;10,57
4;8;2002;Seldyanaya;1;n1;39,3;3,23
5;8;2003;Seldyanaya;1;n1;9,825;0,54
7;8;2004;Seldyanaya;1;n1;16,375;2,65
23;7;2005;Seldyanaya;1;n1;32,75;1,00
30;7;2006;Seldyanaya;1;n1;170,3;3,03
4;8;2007;Seldyanaya;1;n1;140,825;1,56
5;8;2008;Seldyanaya;1;n1;64,7;4,07
6;8;2009;Seldyanaya;1;n1;55,675;1,82
28;7;2010;Seldyanaya;1;n1;26,2;3,07
6;8;2011;Seldyanaya;1;n1;151,125;6,40
30;7;2012;Seldyanaya;1;n1;65,5;2,45
29;7;2013;Seldyanaya;1;n1;26,2;3,77
12;7;1987;Seldyanaya;2;n1;7;0,03
28;7;1988;Seldyanaya;2;n1;6;1,51
17;7;1989;Seldyanaya;2;n1;6;2,50
19;7;1990;Seldyanaya;2;n1;4;0,49
22;7;1991;Seldyanaya;2;n1;14;7,78
26;7;1992;Seldyanaya;2;n1;11;1,01
27;7;1993;Seldyanaya;2;n1;24;1,33
9;8;1994;Seldyanaya;2;n1;7;2,40
4;8;1995;Seldyanaya;2;n1;5;0,81
30;7;1996;Seldyanaya;2;n1;22,65;0,76
21;7;1997;Seldyanaya;2;n1;30,65;1,42
27;7;1998;Seldyanaya;2;n1;178,8;0,42
15;8;1999;Seldyanaya;2;n1;28,675;0,19
6;8;2000;Seldyanaya;2;n1;22,925;3,01
6;8;2001;Seldyanaya;2;n1;6,55;1,58
4;8;2002;Seldyanaya;2;n1;36,025;3,84
5;8;2003;Seldyanaya;2;n1;129;7,61
7;8;2004;Seldyanaya;2;n1;32,75;1,89
23;7;2005;Seldyanaya;2;n1;293,625;13,04
30;7;2006;Seldyanaya;2;n1;310,325;5,94
4;8;2007;Seldyanaya;2;n1;337;4,94
5;8;2008;Seldyanaya;2;n1;65,1;6,16
6;8;2009;Seldyanaya;2;n1;124,45;5,46
28;7;2010;Seldyanaya;2;n1;131,875;3,27
6;8;2011;Seldyanaya;2;n1;16,375;1,04
30;7;2012;Seldyanaya;2;n1;13,1;1,94
29;7;2013;Seldyanaya;2;n1;6,55;0,01
18;7;1987;Seldyanaya;3;n1;1;0,03
1;8;1988;Seldyanaya;3;n1;2;0,67
14;7;1989;Seldyanaya;3;n1;3;0,45
20;7;1990;Seldyanaya;3;n1;6;0,34
25;7;1991;Seldyanaya;3;n1;7;1,67
28;7;1992;Seldyanaya;3;n1;3;1,07
30;7;1993;Seldyanaya;3;n1;17;2,08
9;8;1994;Seldyanaya;3;n1;10;2,60
4;8;1995;Seldyanaya;3;n1;10;4,15
25;7;1996;Seldyanaya;3;n1;7;1,90
22;7;1997;Seldyanaya;3;n1;37,2;2,17
31;7;1998;Seldyanaya;3;n1;9,55;2,01
15;8;1999;Seldyanaya;3;n1;3,275;0,54
6;8;2000;Seldyanaya;3;n1;16,375;7,53
6;8;2001;Seldyanaya;3;n1;0;0
4;8;2002;Seldyanaya;3;n1;0;0
5;8;2003;Seldyanaya;3;n1;3,275;1,54
7;8;2004;Seldyanaya;3;n1;108,95;6,53
23;7;2005;Seldyanaya;3;n1;55,275;6,83
30;7;2006;Seldyanaya;3;n1;16,375;5,50
4;8;2007;Seldyanaya;3;n1;22,925;5,32
5;8;2008;Seldyanaya;3;n1;6,55;2,12
6;8;2009;Seldyanaya;3;n1;9,825;3,47
28;7;2010;Seldyanaya;3;n1;12,7;0,01
6;8;2011;Seldyanaya;3;n1;13,1;4,77
30;7;2012;Seldyanaya;3;n1;3,275;0,61
29;7;2013;Seldyanaya;3;n1;12,7;0,01
20;7;1987;Seldyanaya;4;n1;0;0,00
24;7;1990;Seldyanaya;4;n1;0;0,00
30;7;1991;Seldyanaya;4;n1;1;0,19
29;7;1992;Seldyanaya;4;n1;3;0,25
1;8;1993;Seldyanaya;4;n1;4;1,85
9;8;1994;Seldyanaya;4;n1;1;0,60
4;8;1995;Seldyanaya;4;n1;6;2,20
29;7;1996;Seldyanaya;4;n1;1;0,50
23;7;1997;Seldyanaya;4;n1;4;0,06
3;8;1998;Seldyanaya;4;n1;0;0
15;8;1999;Seldyanaya;4;n1;13,1;3,54
6;8;2000;Seldyanaya;4;n1;6,55;2,03
6;8;2001;Seldyanaya;4;n1;6,55;3,37
4;8;2002;Seldyanaya;4;n1;16,375;7,34
5;8;2003;Seldyanaya;4;n1;32,75;4,21
7;8;2004;Seldyanaya;4;n1;44,65;0,02
23;7;2005;Seldyanaya;4;n1;6,55;0,00
30;7;2006;Seldyanaya;4;n1;3,275;0,36
4;8;2007;Seldyanaya;4;n1;9,825;0,94
5;8;2008;Seldyanaya;4;n1;3,275;1,03
28;7;2010;Seldyanaya;4;n1;12,7;0,03
6;8;2011;Seldyanaya;4;n1;13,1;2,38
30;7;2012;Seldyanaya;4;n1;0;0
