day;month;year;area;Nst;sample;N.sqmeter
15;7;1987;Seldyanaya;1;n1;9
4;8;1988;Seldyanaya;1;n1;0
21;7;1989;Seldyanaya;1;n1;1
21;7;1990;Seldyanaya;1;n1;9
27;7;1991;Seldyanaya;1;n1;11
22;7;1992;Seldyanaya;1;n1;18
24;7;1993;Seldyanaya;1;n1;11
9;8;1994;Seldyanaya;1;n1;7
4;8;1995;Seldyanaya;1;n1;29,4
27;7;1996;Seldyanaya;1;n1;122,9
20;7;1997;Seldyanaya;1;n1;78,25
25;7;1998;Seldyanaya;1;n1;97,45
15;8;1999;Seldyanaya;1;n1;110,15
13;8;2000;Seldyanaya;1;n1;85,15
6;8;2001;Seldyanaya;1;n1;75,325
4;8;2002;Seldyanaya;1;n1;39,3
5;8;2003;Seldyanaya;1;n1;9,825
7;8;2004;Seldyanaya;1;n1;16,375
23;7;2005;Seldyanaya;1;n1;32,75
30;7;2006;Seldyanaya;1;n1;170,3
4;8;2007;Seldyanaya;1;n1;140,825
5;8;2008;Seldyanaya;1;n1;64,7
6;8;2009;Seldyanaya;1;n1;55,675
28;7;2010;Seldyanaya;1;n1;26,2
6;8;2011;Seldyanaya;1;n1;151,125
30;7;2012;Seldyanaya;1;n1;65,5
29;7;2013;Seldyanaya;1;n1;26,2
12;7;1987;Seldyanaya;2;n1;7
28;7;1988;Seldyanaya;2;n1;6
17;7;1989;Seldyanaya;2;n1;6
19;7;1990;Seldyanaya;2;n1;4
22;7;1991;Seldyanaya;2;n1;14
26;7;1992;Seldyanaya;2;n1;11
27;7;1993;Seldyanaya;2;n1;24
9;8;1994;Seldyanaya;2;n1;7
4;8;1995;Seldyanaya;2;n1;5
30;7;1996;Seldyanaya;2;n1;22,65
21;7;1997;Seldyanaya;2;n1;30,65
27;7;1998;Seldyanaya;2;n1;178,8
15;8;1999;Seldyanaya;2;n1;28,675
6;8;2000;Seldyanaya;2;n1;22,925
6;8;2001;Seldyanaya;2;n1;6,55
4;8;2002;Seldyanaya;2;n1;36,025
5;8;2003;Seldyanaya;2;n1;129
7;8;2004;Seldyanaya;2;n1;32,75
23;7;2005;Seldyanaya;2;n1;293,625
30;7;2006;Seldyanaya;2;n1;310,325
4;8;2007;Seldyanaya;2;n1;337
5;8;2008;Seldyanaya;2;n1;65,1
6;8;2009;Seldyanaya;2;n1;124,45
