day;month;year;area;Nst;samples;square
15;7;1987;Seldyanaya;1;3;20
4;8;1988;Seldyanaya;1;3;20
21;7;1989;Seldyanaya;1;3;20
21;7;1990;Seldyanaya;1;3;20
27;7;1991;Seldyanaya;1;3;20
22;7;1992;Seldyanaya;1;3;20
24;7;1993;Seldyanaya;1;3;20
9;8;1994;Seldyanaya;1;1;20
4;8;1995;Seldyanaya;1;1;20
27;7;1996;Seldyanaya;1;3;20
20;7;1997;Seldyanaya;1;3;20
25;7;1998;Seldyanaya;1;3;20
15;8;1999;Seldyanaya;1;1;20
13;8;2000;Seldyanaya;1;3;20
6;8;2001;Seldyanaya;1;3;20
4;8;2002;Seldyanaya;1;3;20
5;8;2003;Seldyanaya;1;3;20
7;8;2004;Seldyanaya;1;3;20
23;7;2005;Seldyanaya;1;3;20
30;7;2006;Seldyanaya;1;3;20
4;8;2007;Seldyanaya;1;3;20
5;8;2008;Seldyanaya;1;3;20
6;8;2009;Seldyanaya;1;3;20
28;7;2010;Seldyanaya;1;3;20
6;8;2011;Seldyanaya;1;3;20
30;7;2012;Seldyanaya;1;3;20
29;7;2013;Seldyanaya;1;3;20
12;7;1987;Seldyanaya;2;3;20
28;7;1988;Seldyanaya;2;3;20
17;7;1989;Seldyanaya;2;3;20
19;7;1990;Seldyanaya;2;3;20
22;7;1991;Seldyanaya;2;3;20
26;7;1992;Seldyanaya;2;3;20
27;7;1993;Seldyanaya;2;3;20
9;8;1994;Seldyanaya;2;1;20
4;8;1995;Seldyanaya;2;1;20
30;7;1996;Seldyanaya;2;3;20
21;7;1997;Seldyanaya;2;3;20
27;7;1998;Seldyanaya;2;3;20
15;8;1999;Seldyanaya;2;1;20
6;8;2000;Seldyanaya;2;3;20
6;8;2001;Seldyanaya;2;3;20
4;8;2002;Seldyanaya;2;3;20
5;8;2003;Seldyanaya;2;3;20
7;8;2004;Seldyanaya;2;3;20
23;7;2005;Seldyanaya;2;3;20
30;7;2006;Seldyanaya;2;3;20
4;8;2007;Seldyanaya;2;3;20
5;8;2008;Seldyanaya;2;3;20
6;8;2009;Seldyanaya;2;3;20
28;7;2010;Seldyanaya;2;3;20
6;8;2011;Seldyanaya;2;3;20
30;7;2012;Seldyanaya;2;3;20
29;7;2013;Seldyanaya;2;3;20
18;7;1987;Seldyanaya;3;3;20
1;8;1988;Seldyanaya;3;3;20
14;7;1989;Seldyanaya;3;3;20
20;7;1990;Seldyanaya;3;3;20
25;7;1991;Seldyanaya;3;3;20
28;7;1992;Seldyanaya;3;3;20
30;7;1993;Seldyanaya;3;3;20
9;8;1994;Seldyanaya;3;1;20
4;8;1995;Seldyanaya;3;1;20
25;7;1996;Seldyanaya;3;3;20
22;7;1997;Seldyanaya;3;3;20
31;7;1998;Seldyanaya;3;3;20
15;8;1999;Seldyanaya;3;1;20
6;8;2000;Seldyanaya;3;3;20
6;8;2001;Seldyanaya;3;3;20
4;8;2002;Seldyanaya;3;3;20
5;8;2003;Seldyanaya;3;3;20
7;8;2004;Seldyanaya;3;3;20
23;7;2005;Seldyanaya;3;3;20
30;7;2006;Seldyanaya;3;3;20
4;8;2007;Seldyanaya;3;3;20
5;8;2008;Seldyanaya;3;3;20
6;8;2009;Seldyanaya;3;3;20
28;7;2010;Seldyanaya;3;3;20
6;8;2011;Seldyanaya;3;3;20
30;7;2012;Seldyanaya;3;3;20
29;7;2013;Seldyanaya;3;3;20
20;7;1987;Seldyanaya;4;3;20
24;7;1990;Seldyanaya;4;3;20
30;7;1991;Seldyanaya;4;3;20
29;7;1992;Seldyanaya;4;3;20
1;8;1993;Seldyanaya;4;3;20
9;8;1994;Seldyanaya;4;1;20
4;8;1995;Seldyanaya;4;1;20
29;7;1996;Seldyanaya;4;3;20
23;7;1997;Seldyanaya;4;3;20
3;8;1998;Seldyanaya;4;3;20
15;8;1999;Seldyanaya;4;1;20
6;8;2000;Seldyanaya;4;3;20
6;8;2001;Seldyanaya;4;3;20
4;8;2002;Seldyanaya;4;3;20
5;8;2003;Seldyanaya;4;3;20
7;8;2004;Seldyanaya;4;3;20
23;7;2005;Seldyanaya;4;3;20
30;7;2006;Seldyanaya;4;3;20
4;8;2007;Seldyanaya;4;3;20
5;8;2008;Seldyanaya;4;3;20
28;7;2010;Seldyanaya;4;3;20
6;8;2011;Seldyanaya;4;3;20
30;7;2012;Seldyanaya;4;3;20
29;7;2013;Seldyanaya;4;3;20
1;8;1987;Medvezhya;5;3;20
16;8;1988;Medvezhya;5;3;20
25;7;1989;Medvezhya;5;3;20
3;8;1990;Medvezhya;5;3;20
3;8;1991;Medvezhya;5;3;20
3;8;1992;Medvezhya;5;3;20
16;8;1993;Medvezhya;5;3;20
12;8;1994;Medvezhya;5;3;20
9;8;1995;Medvezhya;5;3;20
2;8;1996;Medvezhya;5;3;20
24;7;1997;Medvezhya;5;3;20
10;8;1998;Medvezhya;5;3;20
16;8;1999;Medvezhya;5;1;20
30;7;2000;Medvezhya;5;3;20
13;8;2001;Medvezhya;5;3;20
