year;tidal;sample;square;N.indd
2006;middle;sgl1;20;23
2006;middle;sgl2;20;18
2006;middle;sgl3;20;15
2006;middle;sgl4;20;41
2006;middle;sgl5;20;22
2006;middle;sgl6;20;12
2006;middle;sgl7;20;21
2006;middle;sgl8;20;30
2006;middle;sgl9;20;15
2006;middle;sgl10;20;25
2006;low;ngl1;20;15
2006;low;ngl2;20;17
2006;low;ngl3;20;10
2006;low;ngl4;20;16
2006;low;ngl5;20;21
2006;low;ngl6;20;22
2006;low;ngl7;20;22
2006;low;ngl8;20;17
2006;low;ngl9;20;17
2006;low;ngl10;20;24
2006;subtidal;vsl1;20;48
2006;subtidal;vsl2;20;64
2006;subtidal;vsl3;20;62
2006;subtidal;vsl4;20;56
2006;subtidal;vsl5;20;51
2006;subtidal;vsl6;20;64
2006;subtidal;vsl7;20;51
2006;subtidal;vsl8;20;41
2006;subtidal;vsl9;20;68
2006;subtidal;vsl10;20;63
