year;tidal_level;sample;Length.mm
2006;middle;sgl1;13,7
2006;middle;sgl1;6,5
2006;middle;sgl1;1,6
2006;middle;sgl1;2
2006;middle;sgl1;2
2006;middle;sgl1;2,2
2006;middle;sgl1;1,6
2006;middle;sgl1;2,1
2006;middle;sgl1;12,7
2006;middle;sgl1;10,8
2006;middle;sgl1;4,4
2006;middle;sgl1;1,4
2006;middle;sgl1;2
2006;middle;sgl1;2,2
2006;middle;sgl1;1,8
2006;middle;sgl1;1,8
2006;middle;sgl1;9
2006;middle;sgl1;8,1
2006;middle;sgl1;2
2006;middle;sgl1;3,4
2006;middle;sgl1;2
2006;middle;sgl1;1,5
2006;middle;sgl1;2,1
2006;middle;sgl1;1,7
2006;middle;sgl1;10,2
2006;middle;sgl1;10,4
2006;middle;sgl1;2,3
2006;middle;sgl1;3,7
2006;middle;sgl1;2,5
2006;middle;sgl1;1,7
2006;middle;sgl1;2,1
2006;middle;sgl1;2,5
2006;middle;sgl1;10,6
2006;middle;sgl1;8,5
2006;middle;sgl1;1,9
2006;middle;sgl1;1,5
2006;middle;sgl1;1,2
2006;middle;sgl1;1,5
2006;middle;sgl1;3
2006;middle;sgl1;2,2
2006;middle;sgl1;14,3
2006;middle;sgl1;10,1
2006;middle;sgl1;2
2006;middle;sgl1;2,3
2006;middle;sgl1;3,3
2006;middle;sgl1;2,2
2006;middle;sgl1;2,8
2006;middle;sgl1;1,7
2006;middle;sgl1;7,8
2006;middle;sgl1;8,5
2006;middle;sgl1;1,9
2006;middle;sgl1;5,5
2006;middle;sgl1;1,4
2006;middle;sgl1;1,8
2006;middle;sgl1;2
2006;middle;sgl1;5,3
2006;middle;sgl1;6,3
2006;middle;sgl1;2,1
2006;middle;sgl1;2,2
2006;middle;sgl1;2,1
2006;middle;sgl1;2,5
2006;middle;sgl1;2
2006;middle;sgl2;12,3
2006;middle;sgl2;7
2006;middle;sgl2;1
2006;middle;sgl2;2,2
2006;middle;sgl2;2,4
2006;middle;sgl2;1,9
2006;middle;sgl2;3,5
2006;middle;sgl2;2,6
2006;middle;sgl2;2
2006;middle;sgl2;11,3
2006;middle;sgl2;6,2
2006;middle;sgl2;1,1
2006;middle;sgl2;2,7
2006;middle;sgl2;1,7
2006;middle;sgl2;2,5
2006;middle;sgl2;1,8
2006;middle;sgl2;2,7
2006;middle;sgl2;1,8
2006;middle;sgl2;10,5
2006;middle;sgl2;2,5
2006;middle;sgl2;1,9
2006;middle;sgl2;1,9
2006;middle;sgl2;2,2
2006;middle;sgl2;2,1
2006;middle;sgl2;2
2006;middle;sgl2;1,5
2006;middle;sgl2;4,6
2006;middle;sgl2;11,7
2006;middle;sgl2;4,2
2006;middle;sgl2;5
2006;middle;sgl2;1,3
2006;middle;sgl2;3,7
2006;middle;sgl2;3,6
2006;middle;sgl2;3
2006;middle;sgl2;2,1
2006;middle;sgl2;3,5
2006;middle;sgl2;9
2006;middle;sgl2;3,3
2006;middle;sgl2;2,9
2006;middle;sgl2;4,6
2006;middle;sgl2;3,7
2006;middle;sgl2;2,6
2006;middle;sgl2;2,8
2006;middle;sgl2;2,1
2006;middle;sgl2;2,1
2006;middle;sgl2;12
2006;middle;sgl2;3,3
2006;middle;sgl2;2
2006;middle;sgl2;1,6
2006;middle;sgl2;2,3
2006;middle;sgl2;3,1
2006;middle;sgl2;1,9
2006;middle;sgl2;2,4
2006;middle;sgl2;2
2006;middle;sgl2;8,2
2006;middle;sgl2;2
