year;tidal;sample;square;N.indd
2006;middle;sgl1;20;65
2006;middle;sgl2;20;71
2006;middle;sgl3;20;84
2006;middle;sgl4;20;55
2006;middle;sgl5;20;25
2006;middle;sgl6;20;27
2006;middle;sgl7;20;28
2006;middle;sgl8;20;104
2006;middle;sgl9;20;108
2006;middle;sgl10;20;106
2006;low;ngl1;20;148
2006;low;ngl2;20;138
2006;low;ngl3;20;244
2006;low;ngl4;20;174
2006;low;ngl5;20;122
2006;low;ngl6;20;146
2006;low;ngl7;20;102
2006;low;ngl8;20;87
2006;low;ngl9;20;113
2006;low;ngl10;20;142
2006;subtidal;vsl1;20;45
2006;subtidal;vsl2;20;31
2006;subtidal;vsl3;20;28
2006;subtidal;vsl4;20;35
2006;subtidal;vsl5;20;100
2006;subtidal;vsl6;20;47
2006;subtidal;vsl7;20;75
2006;subtidal;vsl8;20;70
2006;subtidal;vsl9;20;17
2006;subtidal;vsl10;20;55
