"Var1";"Var2";"Freq"
"1";"1";"2007";570
"2";"2";"2007";720
"3";"3";"2007";270
"4";"4";"2007";990
"5";"5";"2007";330
"6";"6";"2007";390
"7";"7";"2007";330
"8";"8";"2007";540
"9";"9";"2007";810
"10";"10";"2007";60
"11";"1";"2008";1410
"12";"2";"2008";1800
"13";"3";"2008";1830
"14";"4";"2008";2160
"15";"5";"2008";450
"16";"6";"2008";NA
"17";"7";"2008";NA
"18";"8";"2008";NA
"19";"9";"2008";NA
"20";"10";"2008";NA
"21";"1";"2009";30
"22";"2";"2009";90
"23";"3";"2009";0
"24";"4";"2009";60
"25";"5";"2009";690
"26";"6";"2009";1530
"27";"7";"2009";990
"28";"8";"2009";1980
"29";"9";"2009";1770
"30";"10";"2009";990
"31";"1";"2010";0
"32";"2";"2010";0
"33";"3";"2010";390
"34";"4";"2010";360
"35";"5";"2010";960
"36";"6";"2010";930
"37";"7";"2010";360
"38";"8";"2010";1680
"39";"9";"2010";60
"40";"10";"2010";660
"41";"1";"2011";150
"42";"2";"2011";690
"43";"3";"2011";210
"44";"4";"2011";360
"45";"5";"2011";120
"46";"6";"2011";1320
"47";"7";"2011";270
"48";"8";"2011";390
"49";"9";"2011";150
"50";"10";"2011";120
"51";"1";"2012";390
"52";"2";"2012";270
"53";"3";"2012";120
"54";"4";"2012";660
"55";"5";"2012";450
"56";"6";"2012";750
"57";"7";"2012";1050
"58";"8";"2012";180
"59";"9";"2012";690
"60";"10";"2012";570
