year;sample;Length.mm
2007;1;6,8
2007;1;2,7
2007;1;2,7
2007;1;3,2
2007;1;2,8
2007;1;2,2
2007;1;2,3
2007;1;2,9
2007;1;2,1
2007;1;6,5
2007;1;1,9
2007;1;6,2
2007;1;4,2
2007;1;2,5
2007;1;2,7
2007;1;3,3
2007;1;1,7
2007;1;2,0
2007;1;3,1
2007;2;3,8
2007;2;2,3
2007;2;2,3
2007;2;4,2
2007;2;2,4
2007;2;5,8
2007;2;2,0
2007;2;2,8
2007;2;2,6
2007;2;4,2
2007;2;1,9
2007;2;1,8
2007;2;2,1
2007;2;2,0
2007;2;2,4
2007;2;1,7
2007;2;4,6
2007;2;1,9
2007;2;4,0
2007;2;2,1
2007;2;1,8
2007;2;2,1
2007;2;1,2
2007;2;1,5
2007;3;4,3
2007;3;3,0
2007;3;2,2
2007;3;2,2
2007;3;2,6
2007;3;5,1
2007;3;2,1
2007;3;4,2
2007;3;2,4
2007;4;8,5
2007;4;2,1
2007;4;2,9
2007;4;2,2
2007;4;2,0
2007;4;2,8
2007;4;2,6
2007;4;2,1
2007;4;2,9
2007;4;1,8
2007;4;3,1
2007;4;2,2
2007;4;1,8
2007;4;1,6
2007;4;2,2
2007;4;2,2
2007;4;4,1
2007;4;2,3
2007;4;8,0
2007;4;2,1
2007;4;2,9
2007;4;2,7
2007;4;4,4
2007;4;3,0
2007;4;2,7
2007;4;1,7
2007;4;1,9
2007;4;2,0
2007;4;2,4
2007;4;10,6
2007;4;2,2
2007;4;2,1
2007;4;2,4
2007;5;16,9
2007;5;8,6
2007;5;8,1
2007;5;3,2
2007;5;1,7
2007;5;12,8
2007;5;2,2
2007;5;11,0
2007;5;7,0
2007;5;2,7
2007;5;4,9
2007;6;3,3
2007;6;3,6
2007;6;1,7
2007;6;3,5
2007;6;3,4
2007;6;3,2
2007;6;2,6
2007;6;3,6
2007;6;3,3
2007;6;2,8
2007;6;2,7
2007;6;3,0
2007;6;3,1
2007;7;NA
2007;7;3,3
2007;7;3,1
2007;7;1,6
2007;7;3,1
2007;7;1,8
2007;7;3,5
2007;7;3,2
2007;7;4,3
2007;7;2,5
2007;7;3,5
2007;7;2,9
2007;8;2,3
2007;8;2,9
2007;8;1,7
2007;8;2,5
2007;8;1,5
2007;8;2,9
2007;8;2,4
2007;8;3,7
2007;8;2,7
2007;8;2,5
2007;8;1,5
2007;8;1,6
2007;8;3,3
2007;8;2,2
2007;8;2,8
2007;8;2,8
2007;8;5,2
2007;8;2,2
2007;9;5,7
2007;9;4,2
2007;9;2,6
2007;9;2,0
2007;9;4,8
2007;9;2,5
2007;9;2,5
2007;9;3,3
2007;9;2,5
2007;9;3,0
2007;9;3,3
2007;9;3,3
2007;9;4,9
2007;9;3,5
2007;9;3,1
2007;9;3,3
2007;9;4,2
2007;9;3,3
2007;9;2,3
2007;9;3,6
2007;9;3,9
2007;9;5,0
2007;9;3,8
2007;9;2,6
2007;9;3,7
2007;9;4,2
2007;9;4,0
2007;10;3,4
2007;10;2,2
2008;1;3,1
2008;1;1,7
2008;1;3,2
2008;1;2,3
2008;1;4,3
2008;1;1,8
2008;1;2,8
2008;1;2,5
2008;1;2,3
2008;1;2,2
2008;1;3,1
2008;1;2,2
2008;1;2,0
2008;1;2,1
2008;1;2,8
2008;1;1,8
2008;1;2,1
2008;1;2,3
2008;1;1,8
2008;1;2,8
2008;1;2,3
2008;1;2,2
2008;1;2,3
2008;1;2,3
2008;1;2,4
2008;1;2,1
2008;1;1,8
2008;1;2,5
2008;1;2,8
2008;1;3,1
2008;1;3,6
2008;1;2,9
2008;1;2,2
2008;1;1,6
2008;1;5,0
2008;1;2,4
2008;1;2,5
2008;1;2,2
2008;1;1,5
2008;1;2,9
2008;1;7,7
2008;1;7,6
2008;1;9,1
2008;1;5,1
2008;1;11,5
2008;1;13,1
2008;1;11,9
2008;2;2,0
2008;2;1,5
2008;2;1,6
2008;2;1,8
2008;2;1,6
2008;2;1,8
2008;2;1,8
2008;2;1,9
2008;2;1,6
2008;2;1,5
2008;2;1,5
2008;2;1,6
2008;2;1,2
2008;2;1,2
2008;2;1,3
2008;2;1,7
2008;2;1,7
2008;2;2,2
2008;2;2,3
2008;2;1,4
2008;2;2,1
2008;2;1,9
2008;2;1,7
2008;2;2,1
2008;2;2,1
2008;2;1,9
2008;2;1,7
2008;2;3,1
2008;2;2,9
2008;2;1,2
2008;2;1,4
2008;2;1,2
2008;2;1,7
2008;2;1,7
2008;2;1,5
2008;2;2,3
2008;2;1,4
2008;2;3,4
2008;2;1,1
2008;2;1,6
2008;2;2,5
2008;2;1,5
2008;2;2,4
2008;2;2,9
2008;2;1,7
2008;2;1,7
2008;2;6,4
2008;2;3,3
2008;2;4,0
2008;2;5,1
2008;2;11,8
2008;2;12,1
2008;2;8,7
2008;2;7,8
2008;2;9,6
2008;2;11,9
2008;2;9,5
2008;2;5,2
2008;2;3,2
2008;2;1,6
2008;3;1,1
2008;3;4,3
2008;3;1,5
2008;3;1,3
2008;3;2,3
2008;3;2,2
2008;3;1,8
2008;3;1,7
2008;3;1,8
2008;3;1,5
2008;3;1,6
2008;3;1,8
2008;3;1,2
2008;3;2,2
2008;3;1,5
2008;3;2,0
2008;3;2,3
2008;3;1,4
2008;3;2,1
2008;3;1,1
2008;3;1,6
2008;3;2,7
2008;3;1,3
2008;3;2,6
2008;3;2,2
2008;3;1,6
2008;3;1,9
2008;3;1,5
2008;3;1,7
2008;3;1,5
2008;3;1,4
2008;3;1,4
2008;3;1,9
2008;3;2,0
2008;3;1,7
2008;3;1,2
2008;3;2,3
2008;3;2,1
2008;3;1,5
2008;3;1,1
2008;3;1,3
2008;3;1,4
2008;3;1,6
2008;3;10,0
2008;3;10,1
2008;3;7,7
2008;3;10,5
2008;3;9,5
2008;3;9,7
2008;3;2,0
2008;3;10,7
2008;3;10,1
2008;3;7,1
2008;3;7,0
2008;3;10,7
2008;3;9,1
2008;3;1,6
2008;3;3,4
2008;3;6,7
2008;3;8,8
2008;3;7,2
2008;4;2,4
2008;4;2,2
2008;4;2,3
2008;4;2,2
2008;4;1,9
2008;4;2,0
2008;4;1,8
2008;4;2,0
2008;4;2,1
2008;4;2,7
2008;4;1,7
2008;4;1,6
2008;4;2,3
2008;4;2,3
2008;4;1,7
2008;4;2,4
2008;4;2,5
2008;4;1,7
2008;4;1,4
2008;4;2,4
2008;4;1,5
2008;4;2,1
2008;4;2,0
2008;4;2,4
2008;4;1,8
2008;4;2,0
2008;4;1,9
2008;4;1,6
2008;4;2,3
2008;4;1,7
2008;4;2,0
2008;4;1,8
2008;4;1,4
2008;4;1,4
2008;4;1,9
2008;4;1,7
2008;4;2,0
2008;4;1,4
2008;4;2,6
2008;4;1,5
2008;4;1,9
2008;4;1,6
2008;4;1,7
2008;4;1,9
2008;4;2,2
2008;4;1,9
2008;4;1,4
2008;4;2,3
2008;4;1,6
2008;4;1,5
2008;4;1,6
2008;4;1,4
2008;4;1,6
2008;4;1,5
2008;4;1,8
2008;4;1,5
2008;4;2,8
2008;4;1,6
2008;4;1,8
2008;4;1,9
2008;4;1,4
2008;4;1,4
2008;4;1,8
2008;4;1,6
2008;4;1,2
2008;4;1,3
2008;4;1,3
2008;4;1,7
2008;4;2,0
2008;4;1,2
2008;4;6,0
2008;4;6,4
2008;5;2,4
2008;5;1,7
2008;5;2,1
2008;5;2,6
2008;5;10,5
2008;5;2,6
2008;5;3,0
2008;5;1,6
2008;5;2,4
2008;5;8,7
2008;5;3,5
2008;5;1,7
2008;5;2,8
2008;5;2,3
2008;5;11,4
2009;1;1,5
2009;2;5,2
2009;2;10,2
2009;2;6,7
2009;4;4,0
2009;4;6,1
2009;5;4,5
2009;5;5,5
2009;5;4,4
2009;5;5,4
2009;5;5,3
2009;5;4,2
2009;5;4,1
2009;5;4,7
2009;5;2,5
2009;5;4,3
2009;5;4,0
2009;5;4,4
2009;5;3,4
2009;5;3,1
2009;5;1,7
2009;5;4,5
2009;5;4,4
2009;5;3,5
2009;5;2,7
2009;5;2,5
2009;5;12,1
2009;5;11,8
2009;5;8,7
2009;6;5,8
2009;6;2,8
2009;6;2,4
2009;6;3,7
2009;6;4,7
2009;6;4,9
2009;6;5,2
2009;6;5,3
2009;6;4,9
2009;6;4,4
2009;6;5,5
2009;6;7,1
2009;6;7,0
2009;6;7,6
2009;6;6,8
2009;6;10,3
2009;6;12,3
2009;6;10,1
2009;6;9,0
2009;6;4,7
2009;6;7,8
2009;6;7,4
2009;6;10,3
2009;6;8,1
2009;6;6,9
2009;6;12,6
2009;6;6,8
2009;6;7,6
2009;6;7,8
2009;6;12,3
2009;6;10,2
2009;6;11,9
2009;6;13,7
2009;6;7,4
2009;6;6,6
2009;6;7,7
2009;6;9,4
2009;6;6,6
2009;6;5,5
2009;6;12,0
2009;6;8,2
2009;6;6,6
2009;6;9,4
2009;6;6,7
2009;6;8,6
2009;6;5,3
2009;6;7,8
2009;6;6,5
2009;6;6,9
2009;6;8,1
2009;6;11,6
2009;7;4,1
2009;7;4,3
2009;7;4,9
2009;7;3,3
2009;7;3,0
2009;7;3,5
2009;7;4,6
2009;7;5,5
2009;7;4,7
2009;7;4,7
2009;7;2,4
2009;7;2,3
2009;7;7,1
2009;7;8,4
2009;7;6,1
2009;7;11,2
2009;7;5,1
2009;7;6,7
2009;7;11,3
2009;7;7,2
2009;7;6,3
2009;7;9,0
2009;7;10,2
2009;7;6,2
2009;7;6,9
2009;7;6,5
2009;7;7,5
2009;7;7,2
2009;7;7,7
2009;7;6,8
2009;7;6,2
2009;7;8,3
2009;7;12,5
2009;8;2,8
2009;8;3,4
2009;8;3,3
2009;8;4,7
2009;8;4,2
2009;8;3,7
2009;8;3,3
2009;8;2,6
2009;8;3,7
2009;8;2,2
2009;8;3,4
2009;8;2,1
2009;8;3,6
2009;8;3,6
2009;8;3,1
2009;8;4,2
2009;8;2,9
2009;8;4,2
2009;8;2,0
2009;8;2,9
2009;8;2,7
2009;8;3,5
2009;8;4,1
2009;8;4,4
2009;8;3,1
2009;8;2,3
2009;8;4,0
2009;8;2,1
2009;8;3,6
2009;8;2,2
2009;8;2,3
2009;8;2,2
2009;8;3,9
2009;8;6,1
2009;8;3,7
2009;8;2,6
2009;8;3,4
2009;8;3,6
2009;8;3,7
2009;8;9,7
2009;8;4,6
2009;8;4,4
2009;8;6,0
2009;8;5,1
2009;8;10,2
2009;8;9,4
2009;8;5,1
2009;8;9,5
2009;8;7,4
2009;8;5,7
2009;8;4,4
2009;8;4,5
2009;8;8,8
2009;8;6,6
2009;8;5,2
2009;8;8,3
2009;8;5,8
2009;8;8,7
2009;8;6,3
2009;8;7,2
2009;8;6,4
2009;8;5,5
2009;8;9,8
2009;8;5,6
2009;8;8,1
2009;8;11,2
2009;9;3,7
2009;9;4,0
2009;9;4,8
2009;9;3,9
2009;9;5,1
2009;9;5,3
2009;9;4,6
2009;9;2,5
2009;9;4,5
2009;9;2,3
2009;9;5,1
2009;9;3,7
2009;9;5,2
2009;9;3,6
2009;9;3,1
2009;9;4,2
2009;9;3,7
2009;9;4,9
2009;9;4,6
2009;9;1,6
2009;9;4,7
2009;9;4,3
2009;9;3,1
2009;9;4,5
2009;9;3,7
2009;9;3,5
2009;9;5,4
2009;9;3,8
2009;9;3,7
2009;9;5,7
2009;9;2,1
2009;9;1,3
2009;9;3,5
2009;9;2,2
2009;9;2,2
2009;9;4,7
2009;9;4,2
2009;9;1,4
2009;9;4,1
2009;9;4,3
2009;9;4,4
2009;9;4,4
2009;9;4,6
2009;9;1,4
2009;9;4,1
2009;9;6,1
2009;9;5,7
2009;9;6,2
2009;9;6,6
2009;9;6,8
2009;9;6,5
2009;9;13,9
2009;9;11,2
2009;9;4,6
2009;9;5,2
2009;9;7,3
2009;9;7,6
2009;9;7,2
2009;9;4,6
2009;10;15,2
2009;10;13,2
2009;10;3,9
2009;10;5,8
2009;10;10,4
2009;10;5,5
2009;10;5,6
2009;10;6,2
2009;10;10,3
2009;10;6,3
2009;10;2,2
2009;10;4,2
2009;10;3,5
2009;10;3,0
2009;10;2,6
2009;10;2,3
2009;10;3,2
2009;10;3,1
2009;10;4,1
2009;10;4,3
2009;10;2,7
2009;10;2,2
2009;10;2,2
2009;10;2,6
2009;10;2,2
2009;10;3,0
2009;10;1,7
2009;10;3,3
2009;10;2,3
2009;10;2,7
2009;10;3,7
2009;10;2,1
2009;10;2,5
2010;3;2,6
2010;3;4,9
2010;3;3,1
2010;3;2,2
2010;3;2,7
2010;3;1,7
2010;3;2,5
2010;3;3,7
2010;3;3,2
2010;3;4,7
2010;3;2,3
2010;3;2,3
2010;3;2,1
2010;4;13,1
2010;4;10,1
2010;4;15,1
2010;4;13,5
2010;4;11,2
2010;4;10,6
2010;4;11,2
2010;4;11,8
2010;4;3,0
2010;4;14,0
2010;4;4,7
2010;4;2,0
2010;5;7,8
2010;5;6,5
2010;5;3,7
2010;5;8,8
2010;5;8,1
2010;5;5,0
2010;5;6,4
2010;5;3,9
2010;5;9,4
2010;5;6,7
2010;5;6,7
2010;5;7,4
2010;5;6,4
2010;5;11,7
2010;5;4,9
2010;5;7,8
2010;5;5,8
2010;5;10,5
2010;5;9,4
2010;5;9,8
2010;5;5,8
2010;5;9,4
2010;5;7,7
2010;5;5,7
2010;5;5,3
2010;5;2,8
2010;5;7,3
2010;5;6,9
2010;5;7,7
2010;5;5,8
2010;5;7,0
2010;5;7,0
2010;6;12,3
2010;6;6,6
2010;6;11,1
2010;6;13,8
2010;6;9,2
2010;6;12,3
2010;6;15,5
2010;6;12,4
2010;6;12,5
2010;6;8,2
2010;6;6,2
2010;6;6,8
2010;6;6,5
2010;6;7,3
2010;6;10,7
2010;6;2,4
2010;6;6,3
2010;6;4,8
2010;6;6,0
2010;6;7,0
2010;6;7,7
2010;6;8,4
2010;6;10,7
2010;6;7,2
2010;6;1,9
2010;6;2,0
2010;6;8,3
2010;6;7,6
2010;6;7,7
2010;6;8,8
2010;6;7,2
2010;7;7,0
2010;7;2,0
2010;7;11,6
2010;7;2,8
2010;7;2,6
2010;7;2,7
2010;7;2,2
2010;7;9,8
2010;7;6,8
2010;7;2,7
2010;7;2,8
2010;7;2,8
2010;8;6,5
2010;8;7,6
2010;8;6,7
2010;8;9,7
2010;8;8,3
2010;8;9,1
2010;8;10,3
2010;8;6,2
2010;8;8,6
2010;8;6,9
2010;8;9,4
2010;8;8,7
2010;8;9,3
2010;8;11,0
2010;8;8,6
2010;8;12,1
2010;8;7,4
2010;8;10,4
2010;8;7,4
2010;8;10,5
2010;8;8,0
2010;8;8,1
2010;8;8,2
2010;8;5,6
2010;8;3,7
2010;8;3,3
2010;8;7,2
2010;8;5,7
2010;8;5,4
2010;8;4,6
2010;8;3,4
2010;8;3,7
2010;8;9,3
2010;8;5,0
2010;8;3,8
2010;8;9,2
