"2007";"2008";"2009";"2010";"2011";"2012"
"(1,2]";16,7664670658683;51,7647058823529;2,9520295202952;2,77777777777778;8,73015873015873;32,7485380116959
"(2,3]";42,5149700598802;27,843137254902;14,760147601476;11,6666666666667;36,5079365079365;25,7309941520468
"(3,4]";21,5568862275449;4,70588235294118;16,6051660516605;11,6666666666667;23,015873015873;15,2046783625731
"(4,5]";9,58083832335329;1,17647058823529;19,1881918819188;10;9,52380952380952;15,2046783625731
"(5,6]";2,39520958083832;1,56862745098039;11,4391143911439;7,77777777777778;5,55555555555556;3,50877192982456
"(6,7]";2,39520958083832;1,56862745098039;11,4391143911439;14,4444444444444;1,58730158730159;2,92397660818713
"(7,8]";0,598802395209581;2,35294117647059;7,01107011070111;11,1111111111111;4,76190476190476;0,584795321637427
"(8,9]";1,79640718562874;1,17647058823529;4,7970479704797;7,22222222222222;2,38095238095238;1,16959064327485
"(9,10]";0;2,74509803921569;2,2140221402214;8,33333333333333;0,793650793650794;0
"(10,11]";1,19760479041916;2,35294117647059;3,3210332103321;5;0;0
"(11,12]";0;1,96078431372549;2,9520295202952;3,88888888888889;3,17460317460317;0,584795321637427
"(12,13]";0,598802395209581;0,392156862745098;1,8450184501845;2,77777777777778;0;1,75438596491228
"(13,14]";0;0,392156862745098;1,1070110701107;2,22222222222222;0,793650793650794;0
"(14,15]";0;0;0;0;2,38095238095238;0
"(15,16]";0;0;0,3690036900369;1,11111111111111;0,793650793650794;0,584795321637427
"(16,17]";0,598802395209581;0;0;0;0;0
"(17,18]";0;0;0;0;0;0
"(18,19]";0;0;0;0;0;0
"(19,20]";0;0;0;0;0;0
