"oneyear.int";"year";"sample";"Freq"
"2";"(1.3,1.9]";"2007";"1";60
"6";"(1.3,1.9]";"2008";"1";210
"10";"(1.3,1.9]";"2009";"1";30
"14";"(1.3,1.9]";"2010";"1";0
"18";"(1.3,1.9]";"2011";"1";30
"22";"(1.3,1.9]";"2012";"1";240
"26";"(1.3,1.9]";"2007";"2";180
"30";"(1.3,1.9]";"2008";"2";840
"34";"(1.3,1.9]";"2009";"2";0
"38";"(1.3,1.9]";"2010";"2";0
"42";"(1.3,1.9]";"2011";"2";0
"46";"(1.3,1.9]";"2012";"2";150
"50";"(1.3,1.9]";"2007";"3";0
"54";"(1.3,1.9]";"2008";"3";690
"58";"(1.3,1.9]";"2009";"3";0
"62";"(1.3,1.9]";"2010";"3";30
"66";"(1.3,1.9]";"2011";"3";0
"70";"(1.3,1.9]";"2012";"3";0
"74";"(1.3,1.9]";"2007";"4";150
"78";"(1.3,1.9]";"2008";"4";1230
"82";"(1.3,1.9]";"2009";"4";0
"86";"(1.3,1.9]";"2010";"4";0
"90";"(1.3,1.9]";"2011";"4";30
"94";"(1.3,1.9]";"2012";"4";60
"98";"(1.3,1.9]";"2007";"5";30
"102";"(1.3,1.9]";"2008";"5";90
"106";"(1.3,1.9]";"2009";"5";30
"110";"(1.3,1.9]";"2010";"5";0
"114";"(1.3,1.9]";"2011";"5";0
"118";"(1.3,1.9]";"2012";"5";0
"122";"(1.3,1.9]";"2007";"6";30
"126";"(1.3,1.9]";"2008";"6";NA
"130";"(1.3,1.9]";"2009";"6";0
"134";"(1.3,1.9]";"2010";"6";30
"138";"(1.3,1.9]";"2011";"6";270
"142";"(1.3,1.9]";"2012";"6";240
"146";"(1.3,1.9]";"2007";"7";60
"150";"(1.3,1.9]";"2008";"7";NA
"154";"(1.3,1.9]";"2009";"7";0
"158";"(1.3,1.9]";"2010";"7";0
"162";"(1.3,1.9]";"2011";"7";0
"166";"(1.3,1.9]";"2012";"7";390
"170";"(1.3,1.9]";"2007";"8";120
"174";"(1.3,1.9]";"2008";"8";NA
"178";"(1.3,1.9]";"2009";"8";0
"182";"(1.3,1.9]";"2010";"8";0
"186";"(1.3,1.9]";"2011";"8";0
"190";"(1.3,1.9]";"2012";"8";0
"194";"(1.3,1.9]";"2007";"9";0
"198";"(1.3,1.9]";"2008";"9";NA
"202";"(1.3,1.9]";"2009";"9";90
"206";"(1.3,1.9]";"2010";"9";0
"210";"(1.3,1.9]";"2011";"9";0
"214";"(1.3,1.9]";"2012";"9";30
"218";"(1.3,1.9]";"2007";"10";0
"222";"(1.3,1.9]";"2008";"10";NA
"226";"(1.3,1.9]";"2009";"10";30
"230";"(1.3,1.9]";"2010";"10";0
"234";"(1.3,1.9]";"2011";"10";0
"238";"(1.3,1.9]";"2012";"10";270
