year,sample,square,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,Total
1992,mg1,1/10,0,0,0,2,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,8
1992,mg10,1/10,0,0,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,7
1992,mg11,1/10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1992,mg12,1/10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1992,mg13,1/10,0,1,1,0,0,0,1,3,2,3,0,0,0,0,0,0,0,0,0,0,11
1992,mg14,1/10,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,8
1992,mg15,1/10,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,6
1992,mg16,1/10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
1992,mg17,1/10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1992,mg2,1/10,0,0,0,0,1,0,1,1,1,3,3,0,1,0,0,0,0,0,0,0,11
1992,mg3,1/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,mg4,1/10,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4
1992,mg5,1/10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3
1992,mg6,1/10,0,0,0,1,0,0,0,3,4,7,0,2,1,1,0,0,0,0,0,0,19
1992,mg7,1/10,0,0,0,0,1,0,4,1,1,1,1,0,1,0,1,0,0,0,0,0,11
1992,mg8,1/10,0,0,1,1,0,1,1,1,0,2,1,2,0,0,0,0,0,0,0,0,10
1992,mg9,1/10,0,0,0,0,1,0,5,5,2,1,0,0,0,0,0,0,0,0,0,0,14
1993,mg1,1/10,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
1993,mg10,1/10,0,0,3,7,0,0,0,1,1,0,4,0,0,0,1,0,0,0,0,0,17
1993,mg11,1/10,0,0,1,2,0,1,0,0,1,3,1,1,2,1,0,0,0,0,0,0,13
1993,mg12,1/10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1993,mg13,1/10,0,0,1,5,4,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15
1993,mg2,1/10,0,0,3,6,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,15
1993,mg3,1/10,0,0,5,6,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,19
1993,mg4,1/10,0,5,15,11,1,0,0,0,1,1,2,3,6,0,1,0,0,0,0,0,46
1993,mg5,1/10,0,0,9,16,15,2,0,0,2,0,3,0,3,0,0,0,0,0,0,0,50
1993,mg6,1/10,0,3,20,16,0,0,0,0,1,1,1,3,3,0,0,0,0,0,0,0,48
1993,mg7,1/10,0,9,7,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23
1993,mg8,1/10,0,0,0,1,0,0,0,0,0,1,2,4,1,0,0,0,0,0,0,0,9
1993,mg9,1/10,0,4,13,0,0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,24
1994,mg1,1/10,0,11,39,13,3,1,8,12,7,16,1,2,6,3,0,0,0,0,0,0,122
1994,mg2,1/10,0,32,7,4,6,11,23,25,12,2,0,4,2,5,2,1,0,0,0,0,136
1994,mg3,1/10,2,13,17,4,14,17,24,42,18,8,5,9,4,3,3,0,1,0,0,0,184
1994,mg4,1/10,0,1,4,0,2,1,6,9,7,3,2,2,1,1,0,0,0,0,0,0,39
